Test unit,test 14
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.39,22.3,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,34.5,0.031
0.78,35.4,0.041
0.78,39.7,0.041
0.98,40.6,0.051
0.98,45,0.051
1.17,45.9,0.062
1.17,50.2,0.062
1.37,51.1,0.072
1.37,54.6,0.072
1.56,55.5,0.082
1.56,57.2,0.082
1.95,58.9,0.103
1.95,59.8,0.103
1.95,49.3,0.103
1.76,48.5,0.092
1.76,40.6,0.092
1.56,39.7,0.082
1.56,33.6,0.082
1.37,32.7,0.072
1.37,26.6,0.072
1.17,25.8,0.062
1.17,19.7,0.062
0.98,18.8,0.051
0.98,13.5,0.051
0.78,12.7,0.041
0.78,7.4,0.041
0.58,6.5,0.031
0.58,1.3,0.031
0.39,0.4,0.02
0.39,-4.8,0.02
0.19,-5.7,0.01
0.19,-10,0.01
-0,-10.9,-0
-0,-16.2,-0
-0.2,-17,-0.01
-0.2,-21.4,-0.01
-0.2,-20.5,-0.01
-0.39,-19.6,-0.021
-0.39,-27.5,-0.021
-0.59,-28.4,-0.031
-0.59,-33.6,-0.031
-0.78,-34.5,-0.041
-0.78,-39.8,-0.041
-0.98,-40.6,-0.051
-0.98,-45,-0.051
-1.17,-45.9,-0.062
-1.17,-50.2,-0.062
-1.37,-51.1,-0.072
-1.37,-55.5,-0.072
-1.56,-56.3,-0.082
-1.56,-58.1,-0.082
-1.95,-59.8,-0.103
-1.95,-61.6,-0.103
-1.95,-48.5,-0.103
-1.76,-47.6,-0.092
-1.76,-39.8,-0.092
-1.56,-38.9,-0.082
-1.56,-32.8,-0.082
-1.37,-31.9,-0.072
-1.37,-25.8,-0.072
-1.17,-24.9,-0.062
-1.17,-18.8,-0.062
-0.98,-17.9,-0.051
-0.98,-11.8,-0.051
-0.78,-10.9,-0.041
-0.78,-5.7,-0.041
-0.59,-4.8,-0.031
-0.47,-0,-0.025
-0.39,6.5,-0.021
-0.2,7.4,-0.01
-0.2,12.7,-0.01
-0,13.5,-0
-0,17.9,-0
0.19,18.8,0.01
0.19,23.1,0.01
0.39,24,0.02
0.39,28.4,0.02
0.58,29.3,0.031
0.58,33.6,0.031
0.78,34.5,0.041
0.78,38.9,0.041
0.98,39.7,0.051
0.98,43.2,0.051
1.17,44.1,0.062
1.17,47.6,0.062
1.37,48.5,0.072
1.37,51.9,0.072
1.56,52.8,0.082
1.56,56.3,0.082
1.76,57.2,0.092
1.76,59.8,0.092
1.95,60.7,0.103
1.95,51.1,0.103
1.76,50.2,0.092
1.76,41.5,0.092
1.56,40.6,0.082
1.56,34.5,0.082
1.37,33.6,0.072
1.37,27.5,0.072
1.17,26.6,0.062
1.17,21.4,0.062
0.98,20.5,0.051
0.98,14.4,0.051
0.78,13.5,0.041
0.78,9.2,0.041
0.58,8.3,0.031
0.58,3.1,0.031
0.39,2.2,0.02
0.39,-3.1,0.02
0.19,-3.9,0.01
0.19,-8.3,0.01
-0,-9.2,-0
-0,-14.4,-0
-0.2,-15.3,-0.01
-0.2,-20.5,-0.01
