Test unit,WS1.250
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-4.91,-80.3,-0.37
-4.16,-78.9,-0.314
-4.08,-78.3,-0.308
-3.84,-78.3,-0.289
-3.67,-77.4,-0.277
-3.51,-76.8,-0.265
-3.34,-75.7,-0.252
-3.18,-74.5,-0.24
-2.85,-71.5,-0.215
-2.68,-69.8,-0.202
-2.52,-68.3,-0.19
-2.35,-66.3,-0.177
-2.27,-64.1,-0.171
-2.1,-61.9,-0.159
-1.86,-58.8,-0.14
-1.69,-56.8,-0.128
-1.44,-54.4,-0.109
-1.36,-52.1,-0.103
-1.2,-49.7,-0.09
-1.03,-48,-0.078
-0.95,-45.2,-0.072
-0.78,-43.6,-0.059
-0.62,-41.1,-0.047
-0.54,-39.1,-0.04
-0.37,-36.5,-0.028
-0.29,-34.1,-0.022
-0.12,-31.8,-0.009
0.04,-29.4,0.003
0.21,-26.6,0.016
0.29,-24.3,0.022
0.45,-22.3,0.034
0.54,-19.9,0.04
0.78,-14.3,0.059
0.87,-15.2,0.065
0.95,-12.6,0.072
1.2,-9.5,0.09
1.2,-8.2,0.09
1.44,-5.7,0.109
1.53,-2.8,0.115
1.69,-0.2,0.128
1.86,1,0.14
1.86,3.9,0.14
2.1,5.4,0.159
2.1,7.9,0.159
2.27,9.5,0.171
2.35,12.3,0.177
2.6,14.9,0.196
2.76,17.2,0.209
2.85,19.6,0.215
3.01,21.9,0.227
3.18,24,0.24
3.34,25.7,0.252
3.34,26.6,0.252
3.59,29.4,0.271
3.75,31.7,0.283
3.92,33.8,0.296
4.08,36.4,0.308
4.16,38.5,0.314
4.49,43.7,0.339
4.66,46.1,0.352
4.74,48.6,0.358
4.99,50.9,0.377
5.15,53,0.389
5.32,55.3,0.401
5.4,57.3,0.408
5.57,58.8,0.42
5.73,60,0.433
5.9,62.9,0.445
6.14,64.9,0.464
6.23,66.4,0.47
6.47,68.3,0.489
6.64,69.6,0.501
6.72,70.9,0.507
7.05,73.3,0.532
7.3,74.7,0.551
7.3,75,0.551
7.79,76.8,0.588
8.04,77.4,0.607
8.37,78.3,0.632
8.62,78.6,0.65
8.7,78.9,0.657
8.95,79.1,0.675
9.44,80,0.713
9.61,80,0.725
9.77,80.3,0.738
10.1,80.3,0.762
10.27,81.2,0.775
10.6,81.5,0.8
10.85,81.2,0.819
11.01,81.2,0.831
11.26,81.5,0.85
11.34,81.8,0.856
11.59,82.2,0.875
11.75,82.2,0.887
11.92,82.8,0.899
12.16,82.8,0.918
12.33,83.1,0.931
12.49,82.8,0.943
12.66,83.4,0.955
13.07,83.4,0.987
13.32,83.5,1.005
13.48,83.8,1.018
13.73,83.8,1.036
13.4,82.8,1.011
13.73,82.3,1.036
12.99,82.2,0.98
12.49,81.2,0.943
12.08,80.9,0.912
11.75,80.3,0.887
11.59,79.7,0.875
11.09,79.7,0.837
11.01,79.1,0.831
10.76,79.1,0.812
10.35,78.3,0.781
10.19,78.3,0.769
10.02,77.7,0.756
9.77,77.7,0.738
9.61,77.4,0.725
9.36,76.8,0.706
9.2,76.2,0.694
9.11,75.6,0.688
8.87,75,0.669
8.62,73.3,0.65
8.54,71.8,0.644
8.45,70.4,0.638
8.21,68.6,0.619
8.04,66.4,0.607
7.96,64.8,0.601
7.79,62.3,0.588
7.55,59.7,0.57
7.46,57.9,0.563
7.3,55.6,0.551
7.13,53.5,0.538
7.05,51.2,0.532
6.8,49,0.514
6.72,46.8,0.507
6.47,44.3,0.489
6.39,42,0.482
6.23,40.2,0.47
6.06,37.3,0.457
5.98,35.2,0.451
5.81,33.8,0.439
5.73,31.7,0.433
5.65,30.1,0.426
5.48,26.9,0.414
5.24,22.5,0.395
5.15,19.6,0.389
4.91,16.7,0.37
4.74,14,0.358
4.49,11.1,0.339
4.41,8.2,0.333
4.25,5.7,0.321
4.16,3.4,0.314
4.08,1.6,0.308
4,1,0.302
4,0.7,0.302
3.84,-1.3,0.289
3.84,-3.1,0.289
3.67,-5.4,0.277
3.59,-7.6,0.271
3.42,-10.3,0.258
3.26,-12.9,0.246
3.09,-15.2,0.233
3.01,-18.4,0.227
2.76,-19.9,0.209
2.76,-22.5,0.209
2.52,-24.9,0.19
2.52,-27.8,0.19
2.27,-30.3,0.171
2.19,-32.3,0.165
2.02,-34.7,0.152
1.86,-38.2,0.14
1.69,-40.2,0.128
1.53,-42.9,0.115
1.36,-44.8,0.103
1.2,-46.8,0.09
1.03,-49.2,0.078
0.87,-50.9,0.065
0.7,-52.9,0.053
0.62,-54.4,0.047
0.37,-56.5,0.028
0.21,-58.5,0.016
0.12,-60,0.009
-0.12,-61.9,-0.009
-0.29,-63.2,-0.022
-0.45,-65.4,-0.034
-0.62,-67.4,-0.047
-0.78,-68.3,-0.059
-0.95,-69.8,-0.072
-1.11,-71.5,-0.084
-1.28,-72.7,-0.096
-1.44,-74.5,-0.109
-1.61,-75.4,-0.121
-1.86,-77.7,-0.14
-2.1,-78.9,-0.159
-2.19,-80.2,-0.165
-2.35,-80.9,-0.177
-2.52,-81.8,-0.19
-2.76,-82.5,-0.209
-2.85,-83.2,-0.215
-3.01,-83.7,-0.227
-3.26,-83.7,-0.246
-3.42,-84.3,-0.258
-3.59,-84.4,-0.271
-3.75,-84.7,-0.283
-3.92,-84.7,-0.296
-4.16,-85,-0.314
-4.25,-85.4,-0.321
-4.49,-85.7,-0.339
-4.66,-86,-0.352
-4.74,-86.3,-0.358
-4.99,-86.6,-0.377
-5.24,-86.6,-0.395
-5.4,-86.9,-0.408
-5.65,-87.2,-0.426
-5.81,-87.5,-0.439
-5.98,-87.6,-0.451
-6.23,-87.2,-0.47
-6.31,-87.5,-0.476
-6.64,-87.6,-0.501
-7.79,-87.6,-0.588
-8.04,-88.1,-0.607
-8.29,-88.7,-0.626
-8.37,-88.4,-0.632
-8.62,-88.9,-0.65
-8.7,-88.7,-0.657
-9.03,-88.9,-0.682
-9.2,-88.9,-0.694
-9.36,-89.2,-0.706
-9.61,-88.9,-0.725
-9.77,-89.2,-0.738
-9.94,-88.4,-0.75
-10.19,-89.2,-0.769
-10.43,-87.6,-0.787
-10.6,-89.2,-0.8
-10.76,-89.5,-0.812
-10.93,-89.2,-0.825
-11.18,-89.2,-0.843
-11.34,-90.1,-0.856
NaN,NaN,NaN
-14.14,-90.4,-1.067
-14.06,-90.4,-1.061
-13.98,-89.5,-1.055
-13.65,-89.2,-1.03
-13.57,-88.7,-1.024
-13.07,-88.7,-0.987
-12.82,-88.9,-0.968
-12.58,-88.4,-0.949
-12.41,-88.4,-0.937
-12.25,-88.1,-0.924
-12.08,-87.6,-0.912
-11.84,-87.6,-0.893
-11.59,-87.5,-0.875
-11.42,-87.5,-0.862
-11.18,-87.2,-0.843
-11.01,-87.2,-0.831
-10.85,-86.9,-0.819
-10.6,-86.6,-0.8
-10.43,-86.6,-0.787
-10.19,-86.3,-0.769
-10.02,-86,-0.756
-9.44,-86,-0.713
-9.2,-85.7,-0.694
-8.87,-85.7,-0.669
-8.62,-85.7,-0.65
-8.45,-85.7,-0.638
-8.21,-85.4,-0.619
-8.04,-85.4,-0.607
-7.79,-85,-0.588
-7.55,-85,-0.57
-7.38,-84.7,-0.557
-7.22,-84.7,-0.545
-7.05,-84.4,-0.532
-6.8,-84.3,-0.514
-6.64,-84,-0.501
-6.39,-83.7,-0.482
-6.23,-83.7,-0.47
-6.06,-83.2,-0.457
-5.65,-82.5,-0.426
