Test unit,T1-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.42,-45.1,-0.114
-1.27,-38.5,-0.102
-1.09,-31.6,-0.087
-0.92,-24.4,-0.074
-0.74,-16.9,-0.059
-0.62,-11.9,-0.05
-0.6,-11.6,-0.048
-0.05,9.7,-0.004
-0.05,9.7,-0.004
0.05,17.2,0.004
0.24,24.4,0.019
0.44,31.6,0.035
0.62,37.6,0.05
0.8,42.6,0.064
0.99,47.6,0.079
1.16,52.6,0.093
1.33,57,0.106
1.47,60.4,0.117
1.61,62.3,0.128
1.72,63.6,0.138
1.84,64.5,0.147
1.93,64.5,0.154
2,64.8,0.16
2.07,64.5,0.165
2.1,64.2,0.168
2.13,64.2,0.17
2.13,63.2,0.17
2.14,59.8,0.171
2.09,56.7,0.167
2.04,54.8,0.164
1.98,52,0.158
1.9,48.8,0.152
1.8,44.8,0.144
1.68,40.4,0.134
1.54,36,0.123
1.4,31,0.112
1.24,26,0.099
1.08,20,0.087
0.91,13.5,0.073
0.72,6.9,0.057
0.55,-0.3,0.044
0.35,-7.8,0.028
0.25,-11.3,0.02
0.24,-11.6,0.019
-0.04,-17.5,-0.003
-0.01,-15.3,-0.001
0,-14.4,0
0,-16.3,0
0,-16,0
-0.01,-15,-0.001
0,-14.4,0
0,-16,0
0,-14.4,0
0,-15.3,0
-0.17,-25.7,-0.014
-0.36,-32.9,-0.029
-0.56,-37.9,-0.045
-0.75,-43.2,-0.06
-0.93,-47,-0.075
-1.11,-50.7,-0.089
-1.27,-54.5,-0.102
-1.42,-58.9,-0.114
-1.57,-62.3,-0.126
-1.69,-65.4,-0.135
-1.81,-68.2,-0.145
-1.92,-70.4,-0.153
-2,-72,-0.16
-2.06,-73.3,-0.164
-2.11,-73.9,-0.169
-2.14,-74.5,-0.171
-2.15,-74.2,-0.172
-2.15,-73.3,-0.172
-2.12,-71.7,-0.17
-2.09,-69.8,-0.167
-2.02,-67.3,-0.162
-1.95,-64.5,-0.156
-1.85,-61.4,-0.148
-1.73,-57,-0.139
-1.62,-52.3,-0.129
-1.48,-47.3,-0.118
-1.34,-41,-0.107
-1.17,-34.7,-0.093
-1,-27.9,-0.08
-0.82,-21,-0.066
-0.63,-13.1,-0.051
-0.59,-11.9,-0.047
-0.57,-10.6,-0.045
-0.04,10,-0.003
0.16,17.8,0.013
0.34,24.1,0.027
0.55,29.4,0.044
0.74,33.2,0.059
0.92,36.6,0.074
1.09,40.4,0.087
1.25,43.8,0.1
1.41,47.3,0.113
1.55,50.7,0.124
1.68,53.5,0.134
1.8,56,0.144
1.9,57.9,0.152
1.98,59.2,0.158
2.04,60.4,0.164
2.1,60.7,0.168
2.13,61,0.17
2.13,60.7,0.17
2.14,59.5,0.171
2.1,55.4,0.168
2.07,53.2,0.165
2,50.4,0.16
1.93,47.6,0.154
1.83,44.1,0.146
1.72,40.4,0.138
1.6,36,0.128
1.47,31.6,0.117
1.32,26.6,0.105
1.15,21,0.092
0.99,15.3,0.079
0.8,8.8,0.064
0.61,1.9,0.049
0.43,-5,0.034
0.27,-11,0.021
0.25,-11.6,0.02
-0.14,-24.4,-0.011
-0.01,-16,-0.001
0,-16,0
-0.01,-16,-0.001
-0.04,-18.2,-0.003
-0.26,-28.8,-0.021
-0.46,-34.4,-0.037
-0.64,-39.1,-0.051
-0.84,-43.8,-0.067
-1.02,-47.6,-0.081
-1.18,-50.7,-0.094
-1.34,-54.5,-0.107
-1.49,-58.9,-0.119
-1.63,-62.3,-0.13
-1.76,-65.7,-0.14
-1.86,-68.6,-0.149
-1.95,-70.4,-0.156
-2.02,-72,-0.162
-2.09,-73.3,-0.167
-2.12,-73.9,-0.17
-2.15,-73.9,-0.172
-2.15,-73.3,-0.172
-2.13,-71.4,-0.17
-2.1,-69.8,-0.168
-2.06,-67.9,-0.164
-1.99,-65.4,-0.159
-1.91,-62.3,-0.152
-1.8,-58.5,-0.144
-1.69,-54.5,-0.135
-1.55,-49.2,-0.124
-1.41,-44.1,-0.113
-1.26,-38.2,-0.101
-1.09,-31.9,-0.087
-0.92,-25,-0.074
-0.73,-18.2,-0.058
-0.59,-12.2,-0.047
-0.57,-11.9,-0.045
-0.01,9.1,-0.001
0.06,12.8,0.005
0.25,19.4,0.02
0.44,25.4,0.035
0.63,30.4,0.051
0.81,34.7,0.065
1,38.2,0.08
1.17,41.9,0.093
1.33,45.4,0.106
1.48,48.8,0.118
1.61,51.7,0.128
1.73,54.8,0.139
1.84,57,0.147
1.95,58.5,0.156
2.01,59.8,0.161
2.08,61,0.166
2.11,61,0.169
2.13,61.4,0.17
2.13,57,0.17
2.09,54.8,0.167
2.04,52.6,0.164
1.97,49.5,0.158
1.88,47,0.151
1.79,43.2,0.143
1.67,39.4,0.134
1.54,35.4,0.123
1.39,31,0.111
1.24,26.3,0.099
1.07,20.7,0.086
0.9,15.3,0.072
0.72,9.1,0.057
0.52,2.5,0.042
0.33,-4.4,0.027
0.15,-10.6,0.012
0.13,-11.6,0.01
0.11,-11.6,0.009
0.11,-11.6,0.009
-0.06,-15.3,-0.005
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
0,-11.9,0
-0.01,-11.9,-0.001
-0.01,-11.6,-0.001
-0.01,-11.9,-0.001
-0.01,-11.6,-0.001
0,-11.9,0
-0.01,-11.6,-0.001
-0.01,-11.9,-0.001
0,-11.6,0
-0.01,-11.6,-0.001
0,-11.6,0
-0.01,-11.6,-0.001
0,-11.6,0
-0.01,-11.6,-0.001
0,-11.6,0
-0.01,-11.6,-0.001
0,-11.6,0
0,-11.3,0
0,-11.6,0
-0.54,-31.6,-0.043
-0.62,-36,-0.05
-0.88,-41.9,-0.07
-1.09,-47.3,-0.087
-1.32,-52.6,-0.105
-1.52,-58.5,-0.122
-1.71,-63.9,-0.137
-1.91,-68.6,-0.152
-2.07,-72.3,-0.165
-2.21,-75.4,-0.176
-2.34,-77.6,-0.188
-2.45,-78.6,-0.196
-2.54,-79.2,-0.203
-2.6,-79.8,-0.208
-2.64,-80.1,-0.212
-2.67,-79.8,-0.213
-2.67,-78.9,-0.213
-2.64,-76.7,-0.212
-2.6,-75.1,-0.208
-2.53,-72.9,-0.202
-2.43,-69.8,-0.194
-2.33,-66.4,-0.187
-2.19,-62,-0.176
-2.04,-57.3,-0.164
-1.88,-51.7,-0.151
-1.7,-45.7,-0.136
-1.5,-38.8,-0.12
-1.3,-31.9,-0.104
-1.07,-24.1,-0.086
-0.85,-16.3,-0.068
-0.72,-11.9,-0.057
-0.7,-11.3,-0.056
-0.11,7.2,-0.009
0.14,18.5,0.011
0.39,25.4,0.031
0.61,30.7,0.049
0.86,35.4,0.069
1.08,39.4,0.087
1.3,43.8,0.104
1.51,48.2,0.121
1.7,52.6,0.136
1.88,56.7,0.151
2.06,59.5,0.164
2.19,62,0.176
2.33,63.6,0.187
2.45,64.5,0.196
2.54,65.1,0.203
2.6,65.4,0.208
2.63,65.4,0.211
2.67,65.1,0.213
2.67,64.2,0.213
