Test unit,E6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.2,-7.8,0.017
0.19,-9.4,0.016
0.17,-10.9,0.015
0.16,-12.2,0.014
0.15,-13.2,0.013
0.16,-14.2,0.013
0.12,-14.7,0.01
0.11,-15.8,0.01
0.1,-16.9,0.009
0.1,-17.9,0.008
0.09,-18.9,0.008
0.08,-19.9,0.007
0.07,-20.8,0.006
0.05,-22,0.005
0.05,-22.9,0.005
0.05,-23.9,0.005
0.05,-24.9,0.005
0.05,-25.9,0.004
0.05,-27,0.004
0.03,-28,0.003
0.01,-28.9,0.001
-0.01,-29.8,-0.001
-0.02,-30.8,-0.001
-0.03,-31.8,-0.003
-0.05,-32.8,-0.004
-0.06,-33.7,-0.005
-0.06,-34.6,-0.006
-0.06,-35.6,-0.005
-0.07,-36.5,-0.006
-0.08,-37.5,-0.007
-0.11,-37.8,-0.01
-0.12,-38.7,-0.011
-0.13,-39.7,-0.011
-0.13,-40.7,-0.012
-0.16,-41.3,-0.014
-0.16,-42.3,-0.014
-0.16,-43.2,-0.014
-0.19,-44,-0.017
-0.21,-44.9,-0.018
-0.21,-45.6,-0.018
-0.22,-46.5,-0.019
-0.23,-47.4,-0.02
-0.25,-48.2,-0.022
-0.27,-48.9,-0.024
-0.28,-47.8,-0.024
-0.28,-46.7,-0.024
-0.28,-45.7,-0.024
-0.28,-44.6,-0.024
-0.29,-43.5,-0.025
-0.28,-42.4,-0.024
-0.27,-41.4,-0.024
-0.26,-40.3,-0.023
-0.26,-39.2,-0.022
-0.25,-38.2,-0.022
-0.23,-37.3,-0.02
-0.23,-36.2,-0.02
-0.23,-35.2,-0.02
-0.22,-34.1,-0.019
-0.21,-33,-0.018
-0.2,-32,-0.017
-0.19,-30.9,-0.017
-0.18,-30,-0.016
-0.17,-28.9,-0.015
-0.17,-27.7,-0.015
-0.15,-26.8,-0.013
-0.13,-25.9,-0.012
-0.14,-24.8,-0.012
-0.14,-23.7,-0.012
-0.14,-22.5,-0.012
-0.13,-21.6,-0.012
-0.13,-20.6,-0.012
-0.13,-19.4,-0.011
-0.12,-18.2,-0.011
-0.11,-17.2,-0.01
-0.1,-16.2,-0.009
-0.09,-15.1,-0.008
-0.08,-14.1,-0.007
-0.06,-13.1,-0.005
-0.05,-12,-0.005
-0.05,-10.9,-0.005
-0.06,-9.9,-0.005
-0.06,-8.8,-0.005
-0.05,-7.8,-0.004
-0.04,-6.7,-0.003
-0.03,-5.6,-0.002
-0.02,-4.5,-0.002
-0.01,-3.4,-0.001
-0,-2.3,-0
0,-1.3,0
0.02,-0.3,0.002
0.02,0.8,0.002
0.03,2.3,0.003
0.04,4,0.004
0.05,5,0.004
0.06,6,0.005
0.07,7.1,0.006
0.08,8.3,0.007
0.09,9.5,0.008
0.1,10.6,0.009
0.11,11.6,0.009
0.11,13.4,0.01
0.13,14.6,0.011
0.15,13.6,0.013
0.15,14.7,0.013
0.15,15.8,0.013
0.15,16.8,0.013
0.17,18.1,0.014
0.18,19.3,0.016
0.21,20.4,0.018
0.23,21.3,0.02
0.23,22.3,0.02
0.24,23.4,0.021
0.25,24.4,0.022
0.26,25.5,0.022
0.26,26.4,0.023
0.28,27.4,0.024
0.29,28.5,0.025
0.29,29.5,0.025
0.29,30.5,0.025
0.3,31.5,0.026
0.3,32.5,0.026
0.31,33.5,0.027
0.33,34.4,0.029
0.35,35.2,0.031
0.36,36.3,0.031
0.37,37.3,0.032
0.39,38.3,0.033
0.4,39.4,0.035
0.42,40.3,0.036
0.43,41.3,0.037
0.44,42.2,0.039
0.45,43.1,0.039
0.47,44.1,0.041
0.49,45,0.042
0.5,45.8,0.044
0.51,46.8,0.044
0.52,47.7,0.045
0.54,48.6,0.047
0.56,49.3,0.049
0.58,50.2,0.051
0.59,51,0.052
0.63,51.6,0.055
0.64,52.6,0.055
0.66,53.5,0.057
0.68,53.8,0.059
0.7,54.7,0.061
0.73,55.3,0.063
0.75,56.1,0.066
0.77,56.8,0.067
0.79,57.6,0.069
0.83,57.9,0.072
0.85,58.7,0.074
0.87,57.8,0.075
0.88,58.9,0.076
0.88,57.9,0.076
0.89,56.6,0.077
0.89,55.4,0.078
0.87,54.3,0.076
0.87,55.6,0.076
0.87,56.8,0.076
0.87,57.8,0.075
0.89,56.8,0.077
0.9,55.7,0.079
0.9,54.5,0.079
0.87,53.7,0.075
0.85,52.7,0.074
0.84,51.6,0.073
0.82,50.6,0.072
0.79,49.8,0.069
0.78,48.8,0.067
0.76,47.8,0.066
0.75,46.9,0.065
0.74,45.9,0.064
0.73,44.9,0.063
0.71,44,0.061
0.69,43.1,0.06
0.68,42,0.059
0.66,41.1,0.058
0.65,40.1,0.056
0.64,39.1,0.055
0.63,38.1,0.054
0.61,37,0.053
0.6,35.8,0.052
0.6,34.7,0.052
0.58,33.8,0.051
0.56,33,0.049
0.55,32,0.047
0.54,30.9,0.047
0.52,29.8,0.046
0.51,28.8,0.044
0.49,27.9,0.043
0.48,26.8,0.042
0.47,25.6,0.041
0.46,24.4,0.04
0.46,23.4,0.04
0.46,22.4,0.04
0.45,21.4,0.039
0.44,20.5,0.038
0.41,19.6,0.036
0.41,18.5,0.035
0.39,17.3,0.034
0.38,16.1,0.033
0.38,15,0.033
0.37,14.1,0.032
0.36,13.1,0.032
0.36,11.8,0.031
0.35,10.8,0.03
0.33,9.6,0.029
0.32,8.7,0.028
0.31,7.6,0.027
0.31,6.5,0.027
0.31,5.4,0.027
0.29,4.6,0.025
0.28,3.4,0.024
0.26,2.4,0.023
0.25,1.3,0.022
0.24,0.4,0.021
0.23,-0.6,0.02
0.21,-1.7,0.019
0.21,-2.8,0.018
0.2,-4.2,0.017
0.19,-5.4,0.017
0.19,-6.8,0.016
0.18,-8.3,0.016
0.18,-9.8,0.016
0.18,-11.1,0.015
