Test unit,C5
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.06,-30.2,-0.005
-0.07,-31.6,-0.005
-0.08,-32.9,-0.006
-0.09,-34.4,-0.006
-0.09,-35.8,-0.006
-0.09,-37.4,-0.007
-0.1,-38.9,-0.007
-0.11,-40.3,-0.008
-0.12,-41.6,-0.009
-0.12,-43,-0.009
-0.13,-44.5,-0.01
-0.12,-46,-0.009
-0.13,-47.2,-0.01
-0.15,-48.5,-0.011
-0.15,-49.6,-0.011
-0.16,-51.2,-0.012
-0.17,-52.5,-0.013
-0.17,-53.9,-0.013
-0.18,-55.2,-0.013
-0.18,-56.7,-0.013
-0.19,-58,-0.014
-0.2,-59.5,-0.015
-0.21,-60.9,-0.015
-0.21,-62.3,-0.016
-0.22,-63.6,-0.016
-0.23,-65,-0.017
-0.23,-66.3,-0.017
-0.23,-68,-0.017
-0.24,-68.9,-0.018
-0.26,-70,-0.019
-0.27,-71.4,-0.02
-0.28,-72.8,-0.021
-0.29,-74,-0.022
-0.3,-75.3,-0.022
-0.31,-76.7,-0.023
-0.32,-78.1,-0.024
-0.33,-79.5,-0.025
-0.34,-80.9,-0.025
-0.35,-82.3,-0.026
-0.36,-83.7,-0.026
-0.37,-84.9,-0.028
-0.39,-85.9,-0.029
-0.4,-87,-0.03
-0.41,-88.5,-0.03
-0.42,-89.6,-0.031
-0.43,-90.8,-0.032
-0.45,-92.1,-0.033
-0.46,-93.4,-0.034
-0.48,-94.6,-0.036
-0.49,-95.8,-0.037
-0.5,-97,-0.037
-0.51,-95.4,-0.038
-0.51,-97,-0.038
-0.52,-95.6,-0.038
-0.52,-94.1,-0.039
-0.53,-92.5,-0.039
-0.52,-91.1,-0.039
-0.52,-89.5,-0.038
-0.5,-88.3,-0.037
-0.49,-86.9,-0.037
-0.48,-85.5,-0.036
-0.45,-85,-0.034
-0.45,-83,-0.033
-0.45,-81.5,-0.033
-0.45,-80,-0.033
-0.44,-78.6,-0.033
-0.43,-77.3,-0.032
-0.42,-75.9,-0.031
-0.41,-74.5,-0.031
-0.4,-73.2,-0.03
-0.39,-71.8,-0.029
-0.39,-70.2,-0.029
-0.38,-68.9,-0.028
-0.35,-67.9,-0.026
-0.35,-66.3,-0.026
-0.35,-64.8,-0.026
-0.34,-63.2,-0.026
-0.34,-61.9,-0.025
-0.33,-60.5,-0.025
-0.32,-59.1,-0.024
-0.31,-57.7,-0.023
-0.3,-56.3,-0.022
-0.29,-54.9,-0.021
-0.28,-53.7,-0.02
-0.27,-52.2,-0.02
-0.26,-50.8,-0.019
-0.25,-49.3,-0.018
-0.23,-48,-0.017
-0.22,-46.7,-0.016
-0.21,-45.1,-0.016
-0.21,-43.6,-0.016
-0.21,-42.3,-0.016
-0.2,-41,-0.015
-0.2,-39.4,-0.015
-0.19,-38,-0.014
-0.18,-36.7,-0.013
-0.17,-35.1,-0.013
-0.16,-33.7,-0.012
-0.15,-32.3,-0.011
-0.14,-30.9,-0.011
-0.14,-29.4,-0.01
-0.13,-27.9,-0.01
-0.13,-26.3,-0.009
-0.12,-24.8,-0.009
-0.11,-23.5,-0.008
-0.09,-22.3,-0.007
-0.09,-20.9,-0.007
-0.09,-19.5,-0.007
-0.09,-17.9,-0.007
-0.08,-16.5,-0.006
-0.07,-14.9,-0.005
-0.06,-13.2,-0.005
-0.06,-12,-0.004
-0.05,-10.6,-0.004
-0.04,-9.1,-0.003
-0.03,-7.6,-0.002
-0.02,-6.3,-0.002
-0.01,-5,-0.001
-0,-3.7,-0
0.01,-2.4,0.001
0.03,-1.3,0.002
0.03,0.5,0.002
0.03,2,0.002
0.03,3.4,0.002
0.03,4.9,0.002
0.04,6.3,0.003
0.05,7.9,0.004
0.06,9.2,0.004
0.06,10.7,0.005
0.07,12,0.005
0.08,13.7,0.006
0.08,15,0.006
0.09,16.6,0.007
0.1,18,0.007
0.11,19.3,0.008
0.11,20.6,0.008
0.12,22,0.009
0.13,23.3,0.01
0.14,24.8,0.01
0.14,26.3,0.01
0.14,27.8,0.011
0.15,29.1,0.011
0.15,30.6,0.011
0.16,32.1,0.012
0.17,33.2,0.013
0.19,34.8,0.014
0.2,36.4,0.015
0.21,37.9,0.015
0.22,39.5,0.016
0.22,41,0.017
0.24,42.4,0.017
0.24,43.8,0.018
0.26,45.3,0.019
0.27,46.6,0.02
0.29,48.3,0.021
0.3,49.5,0.022
0.31,50.8,0.023
0.32,52.3,0.023
0.33,53.9,0.025
0.34,55.1,0.026
0.36,56.6,0.027
0.37,57.8,0.028
0.39,59.2,0.029
