Test unit,test 3
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.21,-14.7,0.014
0.07,-15.4,0.005
-0.21,-16.6,-0.014
-0.21,-17.2,-0.014
-0.35,-17.9,-0.024
-0.49,-18.5,-0.033
-0.64,-19.1,-0.042
-0.78,-19.8,-0.052
-0.92,-20.4,-0.061
-1.06,-21,-0.07
-1.34,-22.3,-0.089
-1.34,-22.9,-0.089
-1.48,-23.5,-0.099
-1.62,-24.1,-0.108
-1.76,-24.8,-0.117
-1.9,-25.4,-0.127
-2.04,-26,-0.136
-2.19,-26.7,-0.146
-2.33,-27.3,-0.155
-2.47,-27.9,-0.164
-2.61,-28.5,-0.174
-2.75,-29.2,-0.183
-2.89,-29.8,-0.192
-3.03,-30.4,-0.202
-3.17,-30.4,-0.211
-3.31,-31,-0.221
-3.45,-31.7,-0.23
-3.59,-32.3,-0.239
-3.73,-32.9,-0.249
-3.88,-33.5,-0.258
-4.02,-34.2,-0.268
-4.16,-34.2,-0.277
-4.3,-34.8,-0.286
-4.44,-35.4,-0.296
-4.58,-36,-0.305
-4.72,-36.7,-0.315
-4.86,-36.7,-0.324
-5,-37.3,-0.333
-5.14,-37.9,-0.343
-5.28,-37.9,-0.352
-5.42,-38.6,-0.361
-5.56,-39.2,-0.371
-5.7,-39.8,-0.38
-5.85,-39.8,-0.39
-5.99,-40.4,-0.399
-6.13,-40.4,-0.409
-6.27,-41.1,-0.418
-6.41,-41.7,-0.427
-6.55,-42.3,-0.437
-6.69,-42.9,-0.446
-6.83,-43.6,-0.455
-6.97,-44.2,-0.465
-7.11,-44.8,-0.474
-7.25,-44.8,-0.484
-7.39,-45.5,-0.493
-7.53,-46.1,-0.502
-7.68,-46.7,-0.512
-7.82,-47.3,-0.521
-7.96,-48,-0.531
-8.1,-48,-0.54
-8.24,-48.6,-0.549
-8.38,-49.2,-0.559
-8.52,-49.2,-0.568
-8.66,-49.8,-0.578
-8.8,-50.5,-0.587
-8.94,-50.5,-0.596
-9.08,-51.1,-0.606
-9.23,-51.1,-0.615
-9.37,-51.7,-0.624
-9.51,-51.7,-0.634
-9.65,-52.4,-0.643
-9.79,-53,-0.653
-9.93,-53.6,-0.662
-10.07,-53.6,-0.671
-10.21,-54.2,-0.681
-10.35,-54.9,-0.69
-10.49,-55.5,-0.7
-10.64,-56.1,-0.709
-10.78,-56.7,-0.718
-10.92,-57.4,-0.728
-11.06,-58,-0.737
-11.2,-58.6,-0.747
-11.34,-59.3,-0.756
-11.48,-59.9,-0.765
-11.62,-60.5,-0.775
-11.76,-61.1,-0.784
-11.9,-61.8,-0.794
-12.04,-62.4,-0.803
-12.19,-63,-0.812
-12.33,-63.6,-0.822
-12.47,-64.3,-0.831
-12.61,-64.9,-0.84
-12.75,-64.9,-0.85
-12.89,-65.5,-0.859
-13.03,-66.1,-0.869
-13.17,-66.8,-0.878
-13.31,-67.4,-0.887
-13.45,-68,-0.897
-13.59,-68.7,-0.906
-13.74,-69.3,-0.916
-13.88,-69.9,-0.925
-14.02,-70.5,-0.934
-14.16,-71.2,-0.944
-14.3,-71.8,-0.953
-14.58,-73,-0.972
-14.58,-73.7,-0.972
-14.72,-74.3,-0.981
-14.86,-74.9,-0.991
-14.86,-68.7,-0.991
-14.72,-68,-0.981
-14.72,-69.9,-0.981
-14.72,-65.5,-0.981
-14.58,-64.3,-0.972
-14.58,-63,-0.972
-14.44,-62.4,-0.962
-14.44,-61.8,-0.962
-14.16,-60.5,-0.944
-14.16,-59.3,-0.944
-14.02,-58.6,-0.934
-13.88,-58,-0.925
-13.74,-57.4,-0.916
-13.45,-56.1,-0.897
-13.45,-55.5,-0.897
-13.31,-54.9,-0.887
-13.17,-54.2,-0.878
-13.03,-53.6,-0.869
-12.89,-53,-0.859
-12.61,-51.7,-0.84
-12.61,-51.1,-0.84
-12.47,-50.5,-0.831
-12.33,-49.8,-0.822
-12.19,-49.2,-0.812
-12.04,-48.6,-0.803
-11.9,-48,-0.794
-11.76,-47.3,-0.784
-11.62,-46.7,-0.775
-11.48,-46.1,-0.765
-11.34,-45.5,-0.756
-11.2,-44.8,-0.747
-11.06,-44.2,-0.737
-10.92,-43.6,-0.728
-10.78,-42.9,-0.718
-10.49,-41.7,-0.7
-10.49,-41.1,-0.7
-10.35,-40.4,-0.69
-10.21,-39.8,-0.681
-10.07,-39.2,-0.671
-9.93,-38.6,-0.662
-9.79,-37.9,-0.653
-9.65,-37.3,-0.643
-9.51,-36.7,-0.634
-9.37,-36,-0.624
-9.23,-35.4,-0.615
-9.08,-34.8,-0.606
-8.94,-34.2,-0.596
-8.8,-33.5,-0.587
-8.66,-32.9,-0.578
-8.52,-32.3,-0.568
-8.38,-31.7,-0.559
-8.24,-31.7,-0.549
-8.1,-31,-0.54
-7.96,-30.4,-0.531
-7.82,-29.8,-0.521
-7.68,-29.2,-0.512
-7.53,-28.5,-0.502
-7.39,-27.9,-0.493
-7.25,-27.3,-0.484
-7.11,-26.7,-0.474
-6.97,-26,-0.465
-6.83,-26,-0.455
-6.69,-25.4,-0.446
-6.55,-24.8,-0.437
-6.41,-24.1,-0.427
-6.27,-23.5,-0.418
-6.13,-22.9,-0.409
-5.99,-22.3,-0.399
-5.85,-21.6,-0.39
-5.7,-21,-0.38
-5.56,-20.4,-0.371
-5.42,-19.8,-0.361
-5.28,-19.1,-0.352
-5,-17.9,-0.333
-5,-17.2,-0.333
-4.86,-16.6,-0.324
-4.72,-16,-0.315
-4.58,-15.4,-0.305
-4.44,-14.7,-0.296
-4.3,-14.1,-0.286
-4.16,-13.5,-0.277
-4.02,-12.9,-0.268
-3.88,-12.2,-0.258
-3.73,-11.6,-0.249
-3.59,-11,-0.239
-3.45,-10.3,-0.23
-3.17,-9.1,-0.211
-3.17,-8.5,-0.211
-3.03,-7.8,-0.202
-2.89,-7.2,-0.192
-2.61,-6,-0.174
-2.61,-5.3,-0.174
-2.47,-4.7,-0.164
-2.19,-3.4,-0.146
-2.19,-2.8,-0.146
-2.04,-2.2,-0.136
-1.9,-1.6,-0.127
-1.62,-0.3,-0.108
-1.76,-0.3,-0.117
NaN,NaN,NaN
-1.62,0.3,-0.108
-1.34,1.6,-0.089
-1.34,2.2,-0.089
-1.2,2.8,-0.08
-1.06,3.4,-0.07
-0.78,4.7,-0.052
-0.78,5.3,-0.052
-0.64,6,-0.042
-0.49,6.6,-0.033
-0.21,7.8,-0.014
-0.21,8.5,-0.014
-0.07,9.1,-0.005
0.21,10.3,0.014
0.21,11,0.014
0.35,11.6,0.023
0.49,12.2,0.033
0.63,12.8,0.042
0.92,14.1,0.061
0.92,14.7,0.061
1.06,15.4,0.07
1.2,16,0.08
1.34,16.6,0.089
1.48,17.2,0.099
1.62,17.9,0.108
1.76,18.5,0.117
1.9,19.1,0.127
2.04,19.7,0.136
2.18,19.7,0.146
2.47,21,0.164
2.32,21,0.155
2.47,21,0.164
2.61,21.6,0.174
2.75,22.3,0.183
2.89,22.9,0.192
3.03,23.5,0.202
3.17,24.1,0.211
3.31,24.1,0.221
3.45,24.8,0.23
3.59,25.4,0.239
3.73,26,0.249
3.87,26.6,0.258
4.02,27.3,0.268
4.16,27.9,0.277
4.3,27.9,0.286
4.44,28.5,0.296
4.58,29.2,0.305
4.72,29.8,0.315
4.86,30.4,0.324
5,31,0.333
5.14,31.7,0.343
5.28,31.7,0.352
5.42,32.3,0.361
5.56,32.9,0.371
5.7,33.5,0.38
5.84,33.5,0.39
5.99,34.2,0.399
6.13,34.8,0.409
6.27,35.4,0.418
6.41,35.4,0.427
6.55,36,0.437
6.69,36.7,0.446
6.83,37.3,0.455
6.97,37.3,0.465
7.11,37.9,0.474
7.25,38.5,0.484
7.39,38.5,0.493
7.53,39.2,0.502
7.67,39.8,0.512
7.81,39.8,0.521
7.96,40.4,0.531
8.1,40.4,0.54
8.24,41.1,0.549
8.38,41.1,0.559
8.52,41.7,0.568
8.66,42.3,0.578
8.8,42.3,0.587
8.94,42.9,0.596
9.08,43.6,0.606
9.22,43.6,0.615
9.36,44.2,0.624
9.51,44.8,0.634
9.65,45.4,0.643
9.79,46.1,0.652
9.93,46.7,0.662
10.07,46.7,0.671
10.21,47.3,0.681
10.49,48.6,0.7
10.35,48.6,0.69
10.49,48.6,0.7
10.77,49.8,0.718
10.63,49.8,0.709
10.77,49.8,0.718
10.92,50.5,0.728
11.06,51.1,0.737
11.34,52.3,0.756
11.34,53,0.756
11.48,53.6,0.765
11.62,54.2,0.775
11.76,54.9,0.784
12.04,56.1,0.803
12.04,56.7,0.803
12.18,57.4,0.812
12.47,58.6,0.831
12.47,59.2,0.831
12.61,59.9,0.84
12.75,60.5,0.85
12.89,61.1,0.859
13.17,62.4,0.878
13.17,63,0.878
13.31,63.6,0.887
13.59,64.9,0.906
13.59,65.5,0.906
13.73,66.1,0.916
13.87,66.8,0.925
14.02,67.4,0.934
14.3,68.7,0.953
14.3,69.3,0.953
14.44,69.9,0.962
14.72,71.2,0.981
14.72,71.8,0.981
15,73,1
15,73.7,1
15.28,74.9,1.019
15.28,75.5,1.019
15.56,76.8,1.038
15.56,77.4,1.038
15.71,78,1.047
15.85,78,1.056
15.99,78.7,1.066
16.13,79.3,1.075
16.27,79.3,1.085
16.41,79.9,1.094
16.55,79.9,1.103
16.69,80.6,1.113
16.83,80.6,1.122
16.97,81.2,1.131
17.11,81.8,1.141
17.25,81.8,1.15
17.39,82.4,1.16
17.53,82.4,1.169
17.53,78.7,1.169
17.39,77.4,1.16
17.39,74.9,1.16
17.25,74.3,1.15
17.25,72.4,1.15
17.11,71.2,1.141
17.11,69.9,1.141
16.97,69.3,1.131
16.97,68,1.131
16.83,67.4,1.122
16.83,66.1,1.122
16.69,65.5,1.113
16.69,63.6,1.113
16.55,63,1.103
16.55,62.4,1.103
16.41,61.8,1.094
16.41,61.1,1.094
16.27,60.5,1.085
16.27,59.2,1.085
16.13,58.6,1.075
16.13,58,1.075
15.85,56.7,1.056
15.85,56.1,1.056
15.71,55.5,1.047
15.71,54.9,1.047
15.42,53.6,1.028
15.42,52.3,1.028
15.28,51.7,1.019
15.14,51.1,1.009
14.86,49.8,0.991
14.86,49.2,0.991
14.58,48,0.972
14.58,47.3,0.972
14.44,46.7,0.962
14.16,45.4,0.944
14.16,44.8,0.944
14.02,44.2,0.934
13.87,43.6,0.925
13.59,42.3,0.906
13.59,41.7,0.906
13.45,41.1,0.897
13.31,40.4,0.887
13.17,39.8,0.878
13.03,39.2,0.869
12.89,38.5,0.859
12.75,37.9,0.85
12.61,37.3,0.84
12.32,36,0.822
12.32,35.4,0.822
12.18,35.4,0.812
11.9,34.2,0.794
11.9,33.5,0.794
11.76,32.9,0.784
11.62,32.3,0.775
11.48,32.3,0.765
11.2,31,0.746
11.34,31,0.756
11.2,31,0.746
11.06,30.4,0.737
10.92,29.8,0.728
10.77,29.2,0.718
10.63,28.5,0.709
10.49,27.9,0.7
10.35,27.3,0.69
10.21,26.6,0.681
10.07,26,0.671
9.93,25.4,0.662
9.79,24.8,0.652
9.65,24.8,0.643
9.51,24.1,0.634
9.36,23.5,0.624
9.22,23.5,0.615
9.08,22.9,0.606
8.94,22.3,0.596
8.8,22.3,0.587
8.66,21.6,0.578
8.52,21,0.568
8.38,20.4,0.559
8.24,19.7,0.549
8.1,19.7,0.54
7.96,19.1,0.531
7.81,18.5,0.521
7.67,17.9,0.512
7.53,17.2,0.502
7.39,16.6,0.493
7.25,16,0.484
7.11,16,0.474
6.97,15.4,0.465
6.83,14.7,0.455
6.69,14.1,0.446
6.55,13.5,0.437
6.41,12.8,0.427
6.27,12.2,0.418
6.13,11.6,0.409
5.99,11.6,0.399
5.84,11,0.39
5.7,10.3,0.38
5.56,9.7,0.371
5.42,9.1,0.361
5.28,8.5,0.352
5.14,7.8,0.343
5,7.2,0.333
4.86,6.6,0.324
4.72,6,0.315
4.58,5.3,0.305
4.44,4.7,0.296
4.3,4.1,0.286
4.16,3.4,0.277
4.02,2.8,0.268
3.73,1.6,0.249
3.73,0.9,0.249
3.59,0.3,0.239
3.45,-0.3,0.23
3.31,-0.9,0.221
3.17,-1.6,0.211
3.03,-2.2,0.202
2.89,-2.8,0.192
2.61,-4.1,0.174
2.61,-4.7,0.174
2.47,-5.3,0.164
2.32,-6,0.155
2.18,-6.6,0.146
2.04,-7.2,0.136
1.9,-7.8,0.127
1.76,-8.5,0.117
1.62,-9.1,0.108
1.34,-10.3,0.089
1.34,-11,0.089
1.2,-11.6,0.08
1.06,-12.2,0.07
0.92,-12.9,0.061
0.77,-13.5,0.052
0.49,-14.7,0.033
0.49,-15.4,0.033
0.35,-16,0.023
0.21,-16.6,0.014
0.07,-17.2,0.005
-0.07,-17.9,-0.005
-0.21,-18.5,-0.014
-0.35,-19.1,-0.024
-0.49,-19.8,-0.033
-0.64,-20.4,-0.042
-0.78,-21,-0.052
-0.92,-21.6,-0.061
-1.06,-22.3,-0.07
-1.2,-22.9,-0.08
-1.34,-23.5,-0.089
-1.48,-24.1,-0.099
-1.62,-24.8,-0.108
-1.76,-25.4,-0.117
-1.9,-26,-0.127
-2.04,-26.7,-0.136
-2.19,-27.3,-0.146
-2.33,-27.9,-0.155
-2.47,-28.5,-0.164
-2.61,-28.5,-0.174
-2.75,-29.2,-0.183
-2.89,-29.8,-0.192
-3.03,-30.4,-0.202
-3.17,-31,-0.211
-3.31,-31.7,-0.221
-3.45,-32.3,-0.23
-3.59,-32.3,-0.239
-3.73,-32.9,-0.249
-3.88,-33.5,-0.258
-4.02,-34.2,-0.268
-4.16,-34.2,-0.277
-4.3,-34.8,-0.286
-4.44,-35.4,-0.296
-4.58,-36,-0.305
-4.72,-36,-0.315
-4.86,-36.7,-0.324
-5,-37.3,-0.333
-5.14,-37.9,-0.343
-5.28,-37.9,-0.352
-5.42,-38.6,-0.361
-5.56,-39.2,-0.371
-5.7,-39.2,-0.38
-5.85,-39.8,-0.39
-5.99,-39.8,-0.399
-6.13,-40.4,-0.409
-6.27,-41.1,-0.418
-6.41,-41.7,-0.427
-6.55,-42.3,-0.437
-6.69,-42.9,-0.446
-6.83,-43.6,-0.455
-6.97,-43.6,-0.465
-7.25,-44.8,-0.484
-7.11,-44.8,-0.474
-7.25,-44.8,-0.484
-7.39,-45.5,-0.493
-7.53,-46.1,-0.502
-7.68,-46.7,-0.512
-7.82,-46.7,-0.521
-7.96,-47.3,-0.531
-8.1,-47.3,-0.54
-8.24,-48,-0.549
-8.38,-48.6,-0.559
-8.52,-48.6,-0.568
-8.66,-49.2,-0.578
-8.8,-49.8,-0.587
-8.94,-49.8,-0.596
-9.08,-50.5,-0.606
-9.23,-50.5,-0.615
-9.37,-51.1,-0.624
-9.51,-51.1,-0.634
-9.65,-51.7,-0.643
-9.79,-51.7,-0.653
-9.93,-52.4,-0.662
-10.07,-53,-0.671
-10.21,-53.6,-0.681
-10.35,-54.2,-0.69
-10.49,-54.9,-0.7
-10.64,-55.5,-0.709
-10.78,-56.1,-0.718
-10.92,-56.7,-0.728
-11.06,-57.4,-0.737
-11.2,-58,-0.747
-11.34,-58.6,-0.756
-11.48,-59.3,-0.765
-11.62,-59.9,-0.775
-11.76,-59.9,-0.784
-12.04,-61.1,-0.803
-11.9,-61.1,-0.794
-12.04,-61.1,-0.803
-12.19,-61.8,-0.812
-12.33,-62.4,-0.822
-12.47,-63,-0.831
-12.61,-63.6,-0.84
-12.75,-64.3,-0.85
-12.89,-64.3,-0.859
-13.03,-64.9,-0.869
-13.17,-65.5,-0.878
-13.31,-66.1,-0.887
-13.45,-66.8,-0.897
-13.59,-67.4,-0.906
-13.74,-68,-0.916
-13.88,-68.7,-0.925
-14.02,-69.3,-0.934
-14.3,-70.5,-0.953
-14.3,-71.2,-0.953
-14.44,-71.8,-0.962
-14.58,-72.4,-0.972
-14.86,-73.7,-0.991
-14.86,-74.3,-0.991
-15,-74.9,-1
-15.14,-75.5,-1.009
-15.28,-76.2,-1.019
-15.42,-76.2,-1.028
-15.57,-76.8,-1.038
-15.71,-76.8,-1.047
-15.85,-77.4,-1.056
-15.99,-77.4,-1.066
-16.13,-78.1,-1.075
-16.27,-78.7,-1.085
-16.41,-78.7,-1.094
-16.55,-79.3,-1.103
-16.69,-79.9,-1.113
-16.83,-80.6,-1.122
-16.97,-80.6,-1.131
-17.11,-81.2,-1.141
-17.25,-81.8,-1.15
-17.39,-81.2,-1.16
-17.39,-76.8,-1.16
-17.25,-74.9,-1.15
-17.25,-73,-1.15
-17.11,-72.4,-1.141
-17.11,-71.2,-1.141
-16.97,-70.5,-1.131
-16.97,-69.9,-1.131
-16.83,-69.3,-1.122
-16.83,-68.7,-1.122
-16.69,-68,-1.113
-16.69,-67.4,-1.113
-16.41,-66.1,-1.094
-16.41,-65.5,-1.094
-16.27,-64.9,-1.085
-16.13,-64.3,-1.075
-15.85,-63,-1.056
-15.85,-62.4,-1.056
-15.71,-61.8,-1.047
-15.57,-61.1,-1.038
-15.42,-60.5,-1.028
-15.28,-59.9,-1.019
-15.14,-59.3,-1.009
-15,-58.6,-1
-14.72,-57.4,-0.981
-14.72,-56.7,-0.981
-14.58,-56.1,-0.972
-14.44,-55.5,-0.962
-14.3,-54.9,-0.953
-14.16,-54.2,-0.944
-14.02,-53.6,-0.934
-13.88,-53,-0.925
-13.74,-52.4,-0.916
-13.59,-51.7,-0.906
-13.45,-51.1,-0.897
-13.31,-50.5,-0.887
-13.17,-49.8,-0.878
-13.03,-49.2,-0.869
-12.89,-48.6,-0.859
-12.75,-48,-0.85
-12.61,-47.3,-0.84
-12.47,-46.7,-0.831
-12.33,-46.1,-0.822
-12.19,-45.5,-0.812
-12.04,-44.8,-0.803
-11.9,-44.2,-0.794
-11.76,-43.6,-0.784
-11.62,-42.9,-0.775
-11.48,-42.3,-0.765
-11.34,-41.7,-0.756
-11.06,-40.4,-0.737
-11.2,-40.4,-0.747
-11.06,-40.4,-0.737
-10.92,-39.8,-0.728
-10.64,-38.6,-0.709
-10.64,-37.9,-0.709
-10.49,-37.3,-0.7
-10.35,-36.7,-0.69
-10.21,-36,-0.681
-10.07,-35.4,-0.671
-9.93,-34.8,-0.662
-9.79,-34.2,-0.653
-9.65,-33.5,-0.643
-9.51,-32.9,-0.634
-9.37,-32.9,-0.624
-9.23,-32.3,-0.615
-9.08,-31.7,-0.606
-8.94,-31,-0.596
-8.8,-30.4,-0.587
-8.66,-30.4,-0.578
-8.52,-29.8,-0.568
-8.38,-29.2,-0.559
-8.24,-28.5,-0.549
-8.1,-27.9,-0.54
-7.96,-27.3,-0.531
-7.82,-26.7,-0.521
-7.68,-26,-0.512
-7.53,-26,-0.502
-7.39,-25.4,-0.493
-7.25,-24.8,-0.484
-7.11,-24.1,-0.474
-6.97,-23.5,-0.465
-6.83,-22.9,-0.455
-6.69,-22.3,-0.446
-6.55,-21.6,-0.437
-6.41,-21.6,-0.427
-6.27,-21,-0.418
-6.13,-20.4,-0.409
-5.99,-19.8,-0.399
-5.85,-19.1,-0.39
-5.7,-18.5,-0.38
-5.56,-17.9,-0.371
-5.42,-17.2,-0.361
-5.28,-16.6,-0.352
-5.14,-16,-0.343
-5,-15.4,-0.333
-4.86,-14.7,-0.324
-4.72,-14.1,-0.315
-4.58,-13.5,-0.305
-4.44,-12.9,-0.296
-4.3,-12.2,-0.286
-4.16,-11.6,-0.277
-4.02,-11,-0.268
-3.88,-10.3,-0.258
-3.73,-9.7,-0.249
-3.59,-9.1,-0.239
-3.45,-8.5,-0.23
-3.31,-7.8,-0.221
-3.17,-7.2,-0.211
-2.89,-6,-0.192
-2.89,-5.3,-0.192
-2.75,-4.7,-0.183
-2.61,-4.1,-0.174
-2.47,-3.4,-0.164
-2.19,-2.2,-0.146
-2.19,-1.6,-0.146
-2.04,-0.9,-0.136
-1.9,-0.3,-0.127
-1.76,-0.3,-0.117
NaN,NaN,NaN
-1.76,0.3,-0.117
-1.62,0.9,-0.108
-1.34,2.2,-0.089
-1.34,2.8,-0.089
-1.2,3.4,-0.08
-0.92,4.7,-0.061
-0.92,5.3,-0.061
-0.78,6,-0.052
-0.64,6.6,-0.042
-0.49,7.2,-0.033
-0.35,7.8,-0.024
-0.07,9.1,-0.005
-0.07,9.7,-0.005
0.07,10.3,0.005
0.21,11,0.014
0.35,11.6,0.023
0.49,12.2,0.033
0.77,13.5,0.052
0.77,14.1,0.052
0.92,14.7,0.061
1.06,15.4,0.07
1.2,16,0.08
1.34,16.6,0.089
1.48,17.2,0.099
1.62,17.9,0.108
1.76,18.5,0.117
1.9,19.1,0.127
2.04,19.1,0.136
2.18,19.7,0.146
2.32,20.4,0.155
2.47,21,0.164
2.61,21.6,0.174
2.75,21.6,0.183
2.89,22.3,0.192
3.03,22.9,0.202
3.17,23.5,0.211
3.31,24.1,0.221
3.45,24.1,0.23
3.59,24.8,0.239
3.73,25.4,0.249
3.87,26,0.258
4.02,26.6,0.268
4.16,27.3,0.277
4.3,27.3,0.286
4.44,27.9,0.296
4.58,28.5,0.305
4.72,29.2,0.315
4.86,29.8,0.324
5,29.8,0.333
5.14,30.4,0.343
5.28,31,0.352
5.42,31,0.361
5.56,31.7,0.371
5.7,32.3,0.38
5.84,32.9,0.39
5.99,32.9,0.399
6.13,33.5,0.409
6.27,34.2,0.418
6.41,34.2,0.427
6.55,34.8,0.437
6.69,35.4,0.446
6.83,36,0.455
6.97,36,0.465
7.11,36.7,0.474
7.25,36.7,0.484
7.39,37.3,0.493
7.53,37.9,0.502
7.67,37.9,0.512
7.81,38.5,0.521
7.96,38.5,0.531
8.1,39.2,0.54
8.24,39.2,0.549
8.38,39.8,0.559
8.52,39.8,0.568
8.66,40.4,0.578
8.8,40.4,0.587
8.94,41.1,0.596
9.08,41.1,0.606
9.22,41.7,0.615
9.36,41.7,0.624
9.51,42.3,0.634
9.65,42.3,0.643
9.79,42.9,0.652
9.93,43.6,0.662
10.07,43.6,0.671
10.21,44.2,0.681
10.35,44.8,0.69
10.49,45.4,0.7
10.63,46.1,0.709
10.77,46.7,0.718
10.92,47.3,0.728
11.06,47.3,0.737
11.34,48.6,0.756
11.2,48.6,0.746
11.34,48.6,0.756
11.48,49.2,0.765
11.62,49.8,0.775
11.76,50.5,0.784
12.04,51.7,0.803
12.04,52.3,0.803
12.18,53,0.812
12.32,53.6,0.822
12.47,54.2,0.831
12.61,54.9,0.84
12.75,55.5,0.85
12.89,56.1,0.859
13.03,56.7,0.869
13.31,58,0.887
13.31,58.6,0.887
13.45,59.2,0.897
13.59,59.9,0.906
13.73,60.5,0.916
13.87,61.1,0.925
14.02,61.8,0.934
14.16,62.4,0.944
14.44,63.6,0.962
14.44,64.3,0.962
14.58,64.9,0.972
14.72,65.5,0.981
14.86,66.1,0.991
15,66.8,1
15.14,67.4,1.009
15.28,68,1.019
15.42,68.7,1.028
15.56,69.3,1.038
15.71,69.9,1.047
15.99,71.2,1.066
15.99,71.8,1.066
16.13,71.8,1.075
16.41,73,1.094
16.41,73.7,1.094
16.55,74.3,1.103
16.69,74.9,1.113
16.83,75.5,1.122
16.97,76.2,1.131
17.11,76.8,1.141
17.39,78,1.16
17.39,78.7,1.16
17.53,76.8,1.169
17.53,77.4,1.169
17.53,76.8,1.169
17.39,74.9,1.16
17.39,73,1.16
17.25,71.8,1.15
17.25,69.3,1.15
17.11,68,1.141
17.11,66.8,1.141
16.97,66.1,1.131
16.97,64.9,1.131
16.83,64.3,1.122
16.83,63,1.122
16.69,62.4,1.113
16.69,61.1,1.113
16.55,60.5,1.103
16.55,59.2,1.103
16.41,58.6,1.094
16.41,57.4,1.094
16.13,56.1,1.075
16.13,54.9,1.075
15.85,53.6,1.056
15.85,53,1.056
15.71,52.3,1.047
15.71,51.7,1.047
15.42,50.5,1.028
15.42,49.8,1.028
15.28,49.2,1.019
15,48,1
15,47.3,1
14.72,46.1,0.981
14.72,45.4,0.981
14.58,44.8,0.972
14.44,44.2,0.962
14.3,43.6,0.953
14.16,42.9,0.944
13.87,41.7,0.925
13.87,41.1,0.925
13.73,40.4,0.916
13.59,39.8,0.906
13.45,39.2,0.897
13.31,38.5,0.887
13.03,37.3,0.869
13.17,37.3,0.878
13.03,37.3,0.869
12.89,36.7,0.859
12.75,36,0.85
12.61,35.4,0.84
12.47,34.8,0.831
12.32,34.2,0.822
12.18,33.5,0.812
12.04,32.9,0.803
11.9,32.3,0.794
11.76,31.7,0.784
11.62,31,0.775
11.48,30.4,0.765
11.34,29.8,0.756
11.2,29.2,0.746
11.06,28.5,0.737
10.92,27.9,0.728
10.77,27.3,0.718
10.63,27.3,0.709
10.49,26.6,0.7
10.35,26,0.69
10.21,26,0.681
10.07,25.4,0.671
9.93,24.8,0.662
9.79,24.8,0.652
9.65,24.1,0.643
9.51,23.5,0.634
9.36,23.5,0.624
9.22,22.9,0.615
9.08,22.3,0.606
8.94,21.6,0.596
8.8,21,0.587
8.66,21,0.578
8.52,20.4,0.568
8.38,19.7,0.559
8.24,19.1,0.549
8.1,18.5,0.54
7.96,18.5,0.531
7.81,17.9,0.521
7.67,17.2,0.512
7.53,16.6,0.502
7.39,16,0.493
7.25,15.4,0.484
7.11,15.4,0.474
6.97,14.7,0.465
6.83,14.1,0.455
6.69,13.5,0.446
6.55,12.8,0.437
6.41,12.2,0.427
6.27,12.2,0.418
6.13,11.6,0.409
5.99,11,0.399
5.84,10.3,0.39
5.7,9.7,0.38
5.56,9.1,0.371
5.42,8.5,0.361
5.28,7.8,0.352
5.14,7.2,0.343
5,6.6,0.333
4.86,6,0.324
4.72,5.3,0.315
4.58,4.7,0.305
4.44,4.1,0.296
4.3,3.4,0.286
4.16,2.8,0.277
4.02,2.2,0.268
3.87,1.6,0.258
3.73,0.9,0.249
3.59,0.3,0.239
3.45,-0.3,0.23
3.17,-1.6,0.211
3.17,-2.2,0.211
3.03,-2.8,0.202
2.89,-3.4,0.192
2.75,-4.1,0.183
2.61,-4.7,0.174
2.47,-5.3,0.164
2.32,-6,0.155
2.18,-6.6,0.146
2.04,-7.2,0.136
1.9,-7.8,0.127
1.76,-8.5,0.117
1.62,-9.1,0.108
1.48,-9.7,0.099
1.2,-11,0.08
1.2,-11.6,0.08
1.06,-12.2,0.07
0.92,-12.9,0.061
0.77,-13.5,0.052
0.63,-14.1,0.042
0.49,-14.7,0.033
0.35,-15.4,0.023
0.07,-16.6,0.005
0.21,-16.6,0.014
0.07,-16.6,0.005
-0.07,-17.2,-0.005
-0.35,-18.5,-0.024
-0.35,-19.1,-0.024
-0.49,-19.1,-0.033
-0.78,-20.4,-0.052
-0.64,-20.4,-0.042
-0.78,-20.4,-0.052
-0.92,-21,-0.061
-1.06,-21.6,-0.07
-1.2,-22.3,-0.08
-1.34,-22.9,-0.089
-1.48,-23.5,-0.099
-1.62,-24.1,-0.108
-1.76,-24.8,-0.117
-1.9,-25.4,-0.127
-2.04,-26,-0.136
-2.19,-26.7,-0.146
-2.33,-26.7,-0.155
-2.47,-27.3,-0.164
-2.61,-27.9,-0.174
-2.75,-28.5,-0.183
-2.89,-29.2,-0.192
-3.03,-29.8,-0.202
-3.17,-29.8,-0.211
-3.31,-30.4,-0.221
-3.45,-31,-0.23
-3.59,-31.7,-0.239
-3.73,-32.3,-0.249
-3.88,-32.3,-0.258
-4.02,-32.9,-0.268
-4.16,-33.5,-0.277
-4.3,-33.5,-0.286
-4.44,-34.2,-0.296
-4.58,-34.8,-0.305
-4.72,-34.8,-0.315
-4.86,-35.4,-0.324
-5,-36,-0.333
-5.14,-36,-0.343
-5.28,-36.7,-0.352
-5.42,-37.3,-0.361
-5.56,-37.3,-0.371
-5.7,-37.9,-0.38
-5.85,-38.6,-0.39
-5.99,-38.6,-0.399
-6.13,-39.2,-0.409
-6.27,-39.2,-0.418
