Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.09,67.1,0.007
0.09,67.2,0.007
0.09,67.9,0.007
0.09,68.8,0.007
0.09,69.4,0.007
0.09,70.1,0.007
0.09,70.9,0.007
0.1,71.9,0.007
0.11,72,0.008
0.11,72.3,0.009
0.11,72.6,0.008
0.1,73.3,0.008
0.1,74,0.008
0.1,74.9,0.008
0.1,75.7,0.008
0.1,76.2,0.008
0.11,76.6,0.008
0.11,76.6,0.008
0.11,76.5,0.008
0.11,76.9,0.009
0.11,77.7,0.009
0.12,78.1,0.009
0.12,78.6,0.009
0.12,78.9,0.009
0.12,78.9,0.01
0.14,78.5,0.011
0.14,78.3,0.011
0.13,78.2,0.01
0.12,78.6,0.01
0.12,80.3,0.01
0.12,81.4,0.01
0.12,81.2,0.01
0.12,81,0.01
0.12,81.3,0.01
0.12,81.7,0.01
0.12,82.1,0.01
0.12,82.3,0.01
0.12,82.7,0.01
0.13,82.8,0.01
0.13,82.5,0.01
0.13,81.7,0.01
0.14,80.6,0.011
0.15,80.1,0.012
0.15,79.9,0.012
0.14,79.6,0.011
0.14,79.6,0.011
0.14,79.7,0.011
0.13,79.8,0.011
0.13,80.1,0.011
0.13,80.8,0.01
0.13,81.2,0.01
0.13,81.3,0.01
0.13,81.8,0.01
0.13,82.1,0.01
0.13,82.1,0.01
0.13,81.9,0.01
0.13,81.5,0.01
0.13,80.7,0.01
0.14,80,0.011
0.15,79.6,0.012
0.15,78.6,0.012
0.15,77.6,0.012
0.15,76.4,0.012
0.16,74.4,0.012
0.16,72.3,0.013
0.17,70.3,0.013
0.18,68.3,0.014
0.18,66.2,0.014
0.19,64.3,0.015
0.2,62.2,0.015
0.2,59.4,0.016
0.21,56.6,0.017
0.22,53.8,0.018
0.23,51,0.018
0.23,48.8,0.018
0.24,47.1,0.019
0.24,45.8,0.019
0.23,45.1,0.018
0.23,44.8,0.018
0.22,44.5,0.017
0.22,44.2,0.017
0.22,43.5,0.017
0.22,42.7,0.017
0.21,41.9,0.017
0.21,40.9,0.017
0.21,39.9,0.016
