Test unit,T2-1
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-1.37,-48.2,-0.11
-1.33,-45.7,-0.106
-1.24,-42.6,-0.099
-1.17,-39.1,-0.093
-1.08,-34.7,-0.087
-0.99,-29.1,-0.079
-0.89,-23.8,-0.071
-0.78,-17.8,-0.063
-0.66,-11.6,-0.053
-0.55,-5,-0.044
-0.42,2.2,-0.033
-0.28,10,-0.022
-0.15,17.2,-0.012
-0.05,21.9,-0.004
0.05,27.5,0.004
0.04,22.5,0.003
0.02,21.6,0.002
0.02,23.2,0.002
0.25,38.8,0.02
0.37,44.5,0.03
0.5,49.2,0.04
0.63,53.8,0.051
0.75,57.6,0.06
0.87,60.4,0.069
0.99,63.9,0.079
1.08,67.9,0.087
1.17,71.1,0.093
1.25,73.9,0.1
1.32,76.7,0.105
1.36,78.3,0.109
1.42,80.5,0.114
1.47,81.4,0.117
1.5,82.3,0.12
1.5,81.7,0.12
1.48,77,0.118
1.45,74.8,0.116
1.4,73.3,0.112
1.35,70.8,0.108
1.3,67.3,0.104
1.22,63.2,0.098
1.13,59.5,0.091
1.04,54.5,0.083
0.94,48.8,0.075
0.84,42.9,0.067
0.72,36.3,0.057
0.6,29.4,0.048
0.47,22.9,0.038
0.33,14.1,0.027
0.19,6.9,0.015
0.05,-0.9,0.004
-0.07,-8.1,-0.006
-0.21,-15,-0.017
-0.34,-21.6,-0.027
-0.48,-27.2,-0.039
-0.6,-30.7,-0.048
-0.73,-34.7,-0.058
-0.84,-37.9,-0.067
-0.94,-41.3,-0.075
-1.04,-44.8,-0.083
-1.13,-47.6,-0.091
-1.22,-50.1,-0.098
-1.28,-52.6,-0.103
-1.35,-54.2,-0.108
-1.39,-55.4,-0.111
-1.43,-56.4,-0.115
-1.45,-56.7,-0.116
-1.46,-57,-0.116
-1.46,-55.7,-0.116
-1.43,-49.8,-0.115
-1.4,-48.2,-0.112
-1.36,-46,-0.109
-1.31,-43.5,-0.104
-1.23,-40.4,-0.099
-1.16,-36.6,-0.093
-1.07,-32.2,-0.086
-0.97,-27.2,-0.078
-0.88,-21.3,-0.07
-0.76,-15.7,-0.061
-0.64,-9.4,-0.051
-0.51,-2.8,-0.041
-0.39,4.4,-0.031
-0.25,12.2,-0.02
-0.13,19.4,-0.01
-0.05,22.5,-0.004
0.05,26.3,0.004
0.02,22.5,0.002
0.02,23.5,0.002
0.02,23.2,0.002
0.03,22.9,0.003
0.02,22.9,0.002
0.12,31.9,0.009
0.31,41.9,0.025
0.5,48.8,0.04
0.7,54.8,0.056
0.86,59.5,0.069
1.02,65.4,0.081
1.18,70.8,0.094
1.33,76.7,0.106
1.47,81.7,0.117
1.6,86.1,0.128
1.7,88.9,0.136
1.8,91.1,0.144
1.88,92.7,0.151
1.94,93.3,0.155
1.99,93.9,0.159
2.04,93.9,0.164
2.04,92.7,0.164
2.01,88.3,0.161
1.98,87,0.158
1.93,85.2,0.154
1.86,82.3,0.149
1.78,78.6,0.142
1.68,74.8,0.134
1.55,69.5,0.124
1.43,63.6,0.115
1.3,57.3,0.104
1.13,50.1,0.091
0.99,41.9,0.079
0.81,33.8,0.065
0.64,24.1,0.051
0.47,16.3,0.038
0.26,5.3,0.021
0.07,-4.4,0.006
-0.12,-13.5,-0.009
-0.3,-20.3,-0.024
-0.48,-26.6,-0.039
-0.65,-32.2,-0.052
-0.84,-37.3,-0.067
-1,-42.6,-0.08
-1.15,-47.9,-0.092
-1.31,-52.6,-0.104
-1.43,-57,-0.115
-1.56,-60.7,-0.125
-1.68,-62.9,-0.134
-1.77,-64.5,-0.141
-1.85,-65.4,-0.148
-1.92,-66.1,-0.153
-1.96,-66.4,-0.157
-1.99,-66.1,-0.159
-2,-66.1,-0.16
-2,-63.9,-0.16
-1.97,-59.5,-0.158
-1.93,-57.9,-0.154
-1.87,-55.7,-0.15
-1.8,-52.9,-0.144
-1.72,-49.8,-0.138
-1.62,-45.4,-0.129
-1.5,-40.4,-0.12
-1.37,-34.4,-0.11
-1.21,-27.9,-0.097
-1.06,-21.3,-0.085
-0.9,-12.8,-0.072
-0.73,-4.4,-0.058
-0.55,4.1,-0.044
-0.37,13.5,-0.03
-0.19,21.6,-0.015
0.02,32.6,0.002
0.04,27.2,0.003
0.02,27.5,0.002
0.02,29.7,0.002
0.02,27.9,0.002
0.15,37.9,0.012
0.33,44.5,0.027
0.51,50.1,0.041
0.7,53.8,0.056
0.87,59.2,0.069
1.04,63.9,0.083
1.19,68.2,0.095
1.34,73.9,0.107
1.48,78,0.118
1.7,84.5,0.136
1.81,87.3,0.145
1.9,89.5,0.152
1.95,90.5,0.156
1.99,91.7,0.159
2.02,92,0.162
2.03,92.4,0.163
2.03,92.4,0.163
2.04,91.1,0.164
2,86.4,0.16
1.98,84.8,0.158
1.92,83,0.153
1.85,80.1,0.148
1.76,76.7,0.14
1.66,72.6,0.133
1.54,67.9,0.123
1.4,62,0.112
1.27,55.7,0.102
1.11,48.8,0.089
0.96,41,0.077
0.8,32.9,0.064
0.62,23.5,0.05
0.42,12.8,0.033
0.24,4.4,0.019
0.06,-4.1,0.005
-0.13,-12.5,-0.01
-0.32,-18.8,-0.026
-0.5,-23.8,-0.04
-0.67,-28.8,-0.054
-0.85,-33.8,-0.068
-1.02,-38.8,-0.081
-1.17,-43.2,-0.093
-1.33,-47.3,-0.106
-1.46,-51.3,-0.116
-1.58,-54.8,-0.127
-1.68,-57.3,-0.134
-1.78,-59.8,-0.142
-1.86,-61.7,-0.149
-1.95,-62.6,-0.156
-1.95,-62.9,-0.156
-1.99,-62,-0.159
-2.01,-62.9,-0.161
-1.99,-59.2,-0.159
-1.98,-58.5,-0.158
-1.93,-56,-0.154
-1.87,-53.8,-0.15
-1.79,-51,-0.143
-1.71,-47.6,-0.137
-1.61,-43.2,-0.128
-1.49,-37.9,-0.119
-1.35,-32.2,-0.108
-1.2,-26,-0.096
-1.05,-19.1,-0.084
-0.89,-11.3,-0.071
-0.72,-3.1,-0.057
-0.54,5.3,-0.043
-0.35,14.7,-0.028
-0.19,21.9,-0.015
0.04,33.2,0.003
0.02,26.3,0.002
0.02,28.8,0.002
0.02,27.9,0.002
0.06,33.5,0.005
0.29,42.3,0.023
0.47,47.9,0.038
0.66,53.5,0.053
0.82,57.3,0.066
1,61,0.08
1.16,66.4,0.093
1.31,71.1,0.104
1.43,74.8,0.115
1.57,78.9,0.126
1.68,82.3,0.134
1.79,85.2,0.143
1.86,87,0.149
1.95,88.9,0.156
2.02,91.1,0.162
2.04,91.4,0.164
2.04,90.5,0.164
2.02,86.7,0.162
1.99,85.2,0.159
1.94,83,0.155
1.86,80.5,0.149
1.79,77,0.143
1.68,73.3,0.134
1.57,68.2,0.126
1.45,62.9,0.116
1.31,56.7,0.104
1.16,50.1,0.093
1.01,42.6,0.081
0.84,34.7,0.067
0.66,25.7,0.053
0.57,21.3,0.045
0.29,7.2,0.023
0.11,-1.3,0.009
-0.07,-9.7,-0.006
-0.26,-15.7,-0.021
-0.45,-20.7,-0.036
-0.63,-26.3,-0.051
-0.8,-31,-0.064
-0.97,-35.4,-0.078
-1.12,-39.4,-0.09
-1.27,-44.5,-0.102
-1.43,-48.2,-0.115
-1.55,-52,-0.124
-1.67,-54.8,-0.134
-1.76,-57,-0.14
-1.84,-59.2,-0.147
-1.92,-59.5,-0.153
-1.97,-61.4,-0.158
-2,-61.4,-0.16
-2,-60.1,-0.16
-1.98,-56.7,-0.158
-1.95,-55.1,-0.156
-1.9,-52.9,-0.152
-1.82,-50.4,-0.146
-1.73,-47,-0.139
-1.63,-42.6,-0.13
-1.52,-37.9,-0.122
-1.38,-32.2,-0.11
-1.23,-26,-0.099
-1.08,-19.4,-0.087
-0.93,-12.5,-0.075
-0.76,-4.4,-0.061
-0.58,4.1,-0.046
-0.4,12.5,-0.032
-0.22,21.3,-0.018
-0.05,28.5,-0.004
0.03,26.6,0.003
0.02,26.9,0.002
0.02,29.1,0.002
0.02,25.7,0.002
0.07,33.2,0.006
0.35,44.5,0.028
0.59,51.7,0.047
0.81,57,0.065
1.02,61.7,0.081
1.24,68.9,0.099
1.45,75.1,0.116
1.63,80.8,0.13
1.81,85.8,0.145
1.98,89.8,0.158
2.1,93,0.168
2.24,95.5,0.179
2.33,97.4,0.187
2.43,98.3,0.194
2.49,98.9,0.2
2.54,99.2,0.203
2.56,99.6,0.205
2.56,98.6,0.205
2.54,94.2,0.203
2.49,93,0.2
2.43,91.1,0.194
2.34,88.3,0.188
2.25,84.8,0.18
2.12,80.1,0.17
1.98,74.8,0.158
1.82,68.9,0.146
1.65,62.3,0.132
1.46,54.8,0.116
1.26,47,0.101
1.05,37.9,0.084
0.82,28.2,0.066
0.7,21.6,0.056
0.36,6.9,0.029
0.13,-3.8,0.01
-0.1,-11.9,-0.008
-0.33,-18.8,-0.027
-0.57,-24.7,-0.045
-0.79,-31,-0.063
-1.01,-36.9,-0.081
-1.22,-42.6,-0.098
-1.43,-48.2,-0.115
-1.62,-53.5,-0.129
-1.79,-58.2,-0.143
-1.95,-61.4,-0.156
-2.1,-64.2,-0.168
-2.21,-65.4,-0.176
-2.31,-66.4,-0.185
-2.4,-66.7,-0.192
-2.46,-67,-0.197
-2.51,-67,-0.2
-2.52,-66.4,-0.201
-2.53,-64.8,-0.202
-2.49,-61,-0.2
-2.44,-59.2,-0.195
-2.38,-56.7,-0.19
-2.29,-53.8,-0.183
-2.18,-50.4,-0.175
-2.06,-45.4,-0.164
-1.91,-39.8,-0.152
-1.75,-33.8,-0.14
-1.57,-27.9,-0.126
-1.38,-21.3,-0.11
-1.38,-21.3,-0.11
-1.17,-13.5,-0.093
-0.95,-5,-0.076
-0.74,4.1,-0.059
-0.5,13.8,-0.04
-0.32,21.9,-0.026
