Test unit,E4
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.17,32.9,0.101
1.15,31.8,0.1
1.14,30.7,0.099
1.12,29.7,0.098
1.11,28.6,0.096
1.1,27.4,0.095
1.1,26.3,0.095
1.08,25.2,0.094
1.06,24.2,0.092
1.04,23.3,0.09
1.02,22.3,0.089
1.01,21.2,0.088
1,20,0.087
0.98,19,0.085
0.97,18,0.084
0.95,16.9,0.083
0.94,15.8,0.081
0.92,14.7,0.08
0.92,13.5,0.08
0.91,12.4,0.079
0.89,11.6,0.077
0.87,10.8,0.076
0.85,9.8,0.074
0.84,8.7,0.073
0.82,7.5,0.071
0.81,6.5,0.07
0.8,5.3,0.07
0.78,4.2,0.068
0.77,3.2,0.067
0.75,2.2,0.066
0.74,1.3,0.064
0.74,0.1,0.064
0.71,-0.5,0.062
0.69,-1.3,0.06
0.68,-2.4,0.059
0.67,-3.8,0.058
0.66,-4.9,0.058
0.65,-6.4,0.056
0.63,-8,0.055
0.61,-9.5,0.053
0.59,-10.8,0.051
0.57,-12,0.05
0.56,-13,0.048
0.54,-13.8,0.047
0.52,-14.7,0.046
0.53,-15.9,0.046
0.51,-16.8,0.044
0.49,-17.7,0.043
0.47,-18.7,0.041
0.46,-19.6,0.04
0.44,-20.5,0.038
0.41,-21.6,0.036
0.4,-22.7,0.035
0.38,-23.8,0.033
0.37,-24.8,0.032
0.36,-25.8,0.031
0.34,-26.9,0.029
0.32,-27.9,0.028
0.3,-28.9,0.026
0.29,-29.9,0.025
0.28,-31.1,0.024
0.27,-32.2,0.023
0.24,-33.1,0.021
0.22,-34,0.019
0.2,-34.9,0.017
0.18,-35.9,0.015
0.16,-37,0.014
0.15,-38,0.013
0.13,-39,0.011
0.11,-40,0.01
0.09,-41,0.008
0.07,-41.9,0.006
0.06,-42.9,0.005
0.04,-43.9,0.003
0.03,-44.9,0.003
0.01,-45.6,0.001
-0.01,-46.5,-0.001
-0.04,-47.3,-0.003
-0.05,-48.2,-0.004
-0.07,-49,-0.006
-0.09,-49.9,-0.008
-0.11,-50.8,-0.01
-0.13,-51.6,-0.011
-0.15,-52.5,-0.013
-0.17,-53.4,-0.015
-0.19,-54.2,-0.016
-0.21,-55,-0.018
-0.23,-55.9,-0.02
-0.26,-56.5,-0.023
-0.28,-57.1,-0.025
-0.3,-58,-0.026
-0.33,-58.6,-0.028
-0.35,-59.3,-0.03
-0.38,-59.9,-0.033
-0.4,-60.6,-0.035
-0.42,-60.8,-0.037
-0.45,-61.7,-0.039
-0.47,-61.8,-0.041
-0.5,-61.2,-0.043
-0.51,-62,-0.044
-0.52,-60.9,-0.045
-0.53,-61.9,-0.046
-0.54,-60.6,-0.047
-0.54,-59.4,-0.047
-0.53,-58.3,-0.046
-0.52,-57.2,-0.046
-0.52,-56.1,-0.045
-0.5,-55,-0.044
-0.49,-53.9,-0.043
-0.46,-53.5,-0.04
-0.46,-52.4,-0.04
-0.46,-51.2,-0.04
-0.45,-50.2,-0.039
-0.43,-49.2,-0.038
-0.42,-48,-0.037
-0.4,-47.2,-0.035
-0.39,-46.1,-0.034
-0.37,-45.1,-0.032
-0.35,-44.1,-0.03
-0.33,-43.1,-0.029
-0.33,-41.9,-0.029
-0.32,-40.8,-0.027
-0.31,-39.8,-0.027
-0.29,-38.7,-0.025
-0.27,-37.6,-0.024
-0.26,-36.5,-0.023
-0.25,-35.5,-0.021
-0.23,-34.6,-0.02
-0.21,-33.6,-0.019
-0.19,-32.8,-0.017
-0.17,-31.8,-0.015
-0.17,-30.6,-0.015
-0.16,-29.4,-0.014
-0.15,-28.3,-0.013
-0.13,-27.5,-0.011
-0.12,-26.4,-0.01
-0.1,-25.4,-0.009
-0.09,-24.4,-0.008
-0.07,-23.5,-0.006
-0.06,-22.5,-0.005
-0.04,-21.4,-0.004
-0.03,-20.4,-0.002
-0.01,-19.3,-0.001
0.02,-18.6,0.002
0.03,-17.5,0.003
0.04,-16.4,0.003
0.05,-15.2,0.004
0.06,-14.1,0.005
0.07,-13.2,0.006
0.09,-12.1,0.008
0.1,-11,0.009
0.12,-9.9,0.01
0.13,-8.9,0.011
0.14,-7.8,0.013
0.16,-6.8,0.014
0.18,-5.8,0.015
0.19,-4.8,0.017
0.22,-4,0.019
0.24,-3,0.021
0.24,-1.9,0.021
0.26,-0.8,0.023
0.28,0.2,0.024
0.29,1.5,0.026
0.31,2.9,0.027
0.32,4.2,0.028
0.34,5.6,0.029
0.36,7.2,0.031
0.38,8.9,0.033
0.4,10.3,0.035
0.43,11.4,0.037
0.45,12.2,0.039
0.47,11.5,0.041
0.48,12.7,0.042
0.49,13.8,0.043
0.5,15,0.044
0.51,16,0.045
0.53,17.1,0.046
0.55,18,0.048
0.57,19,0.049
0.58,20.1,0.051
0.6,21.3,0.052
0.61,22.4,0.053
0.63,23.5,0.055
0.65,24.5,0.056
0.66,25.5,0.058
0.69,26.5,0.06
0.71,27.2,0.062
0.71,28.4,0.062
0.73,29.5,0.063
0.75,30.4,0.065
0.76,31.4,0.066
0.78,32.3,0.068
0.8,33.3,0.07
0.82,34.1,0.072
0.84,35.1,0.073
0.86,36.1,0.074
0.88,36.8,0.077
0.9,37.6,0.078
0.91,38.7,0.079
0.93,39.7,0.081
0.95,40.4,0.083
0.98,40.9,0.085
1.01,41.6,0.087
1.02,42.7,0.089
1.04,43.6,0.09
1.07,43.8,0.093
1.09,44.6,0.095
1.12,45.3,0.097
1.14,45.9,0.099
1.17,46.1,0.102
1.2,47,0.104
1.22,47.5,0.107
1.25,47.9,0.109
1.28,47.1,0.111
1.29,46,0.112
1.31,45,0.114
1.3,43.9,0.113
1.29,42.8,0.112
1.27,41.8,0.11
1.26,40.6,0.11
1.25,39.4,0.109
1.24,38.3,0.108
1.22,37.2,0.106
