Test unit,CS02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.44,12.2,0.017
0.43,11.9,0.017
0.42,11.6,0.017
0.42,11.4,0.017
0.41,11.1,0.016
0.41,10.8,0.016
0.4,10.5,0.016
0.39,10.2,0.016
0.39,9.9,0.016
0.38,9.6,0.015
0.38,9.3,0.015
0.37,9,0.015
0.36,8.7,0.015
0.36,8.4,0.014
0.35,8.1,0.014
0.35,7.8,0.014
0.34,7.5,0.014
0.34,7.2,0.013
0.33,7,0.013
0.33,6.7,0.013
0.32,6.4,0.013
0.32,6.2,0.013
0.31,5.9,0.012
0.31,5.6,0.012
0.3,5.4,0.012
0.29,5.1,0.012
0.29,4.9,0.012
0.28,4.6,0.011
0.28,4.3,0.011
0.27,4,0.011
0.27,3.8,0.011
0.26,3.5,0.011
0.26,3.2,0.01
0.25,2.9,0.01
0.25,2.7,0.01
0.24,2.5,0.01
0.24,2.2,0.01
0.24,2,0.009
0.23,1.8,0.009
0.23,1.6,0.009
0.22,1.5,0.009
0.22,1.3,0.009
0.22,1.2,0.009
0.22,1.1,0.009
0.22,1,0.009
0.21,0.8,0.008
0.21,0.7,0.008
0.21,0.6,0.008
0.2,0.5,0.008
0.2,0.4,0.008
0.2,0.3,0.008
0.2,0.2,0.008
0.2,0.1,0.008
0.19,0,0.008
0.19,-0.1,0.008
0.19,-0.2,0.008
0.19,-0.3,0.007
0.18,-0.4,0.007
0.18,-0.6,0.007
0.18,-0.8,0.007
0.17,-0.9,0.007
0.17,-1.1,0.007
0.17,-1.2,0.007
0.17,-1.4,0.007
0.16,-1.6,0.006
0.16,-1.7,0.006
0.16,-1.8,0.006
0.16,-1.9,0.006
0.16,-1.9,0.006
0.15,-1.9,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.6,0.006
0.15,-1.6,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.15,-1.8,0.006
0.16,-1.8,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.15,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.16,-1.7,0.006
0.15,-1.6,0.006
0.16,-1.7,0.006
0.16,-1.6,0.006
0.16,-1.6,0.006
0.16,-1.6,0.006
0.15,-1.6,0.006
0.15,-1.7,0.006
