Test unit,C6
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.46,-89.9,-0.034
-0.46,-88,-0.034
-0.45,-86.1,-0.033
-0.43,-84.4,-0.032
-0.42,-82.5,-0.031
-0.41,-80.8,-0.03
-0.4,-78.9,-0.029
-0.38,-77.2,-0.028
-0.38,-75.3,-0.028
-0.39,-73.5,-0.029
-0.38,-71.6,-0.028
-0.37,-69.6,-0.027
-0.36,-67.9,-0.027
-0.36,-66.1,-0.027
-0.35,-64.1,-0.026
-0.34,-62.1,-0.025
-0.34,-60.3,-0.025
-0.33,-58.5,-0.024
-0.31,-56.7,-0.023
-0.33,-54.9,-0.024
-0.33,-52.9,-0.024
-0.33,-51,-0.025
-0.32,-49.1,-0.024
-0.31,-47.3,-0.023
-0.29,-45.3,-0.022
-0.28,-43.5,-0.021
-0.27,-41.6,-0.02
-0.25,-39.7,-0.019
-0.24,-37.6,-0.018
-0.22,-35.5,-0.017
-0.19,-33.8,-0.014
-0.19,-31.8,-0.014
-0.19,-29.9,-0.014
-0.21,-28,-0.015
-0.22,-26.1,-0.016
-0.21,-24.3,-0.016
-0.2,-22.2,-0.014
-0.18,-20.2,-0.013
-0.16,-18.1,-0.012
-0.15,-16.3,-0.011
-0.13,-14.3,-0.01
-0.13,-12.4,-0.01
-0.12,-10.6,-0.009
-0.09,-9,-0.007
-0.09,-7.1,-0.007
-0.1,-5.3,-0.008
-0.1,-3.5,-0.007
-0.09,-1.6,-0.007
-0.09,0.4,-0.007
-0.08,2.3,-0.006
-0.07,4.2,-0.005
-0.06,6.2,-0.005
-0.05,8,-0.004
-0.04,9.9,-0.003
-0.02,11.8,-0.002
0.01,14.4,0.001
0.04,16.7,0.003
0.05,19.1,0.004
0.07,21.4,0.005
0.07,23.3,0.005
0.08,25.5,0.006
0.09,27.2,0.007
0.1,29.2,0.008
0.11,31.1,0.008
0.12,33.1,0.009
0.14,35,0.01
0.15,36.8,0.011
0.16,38.7,0.012
0.17,40.5,0.013
0.18,42.4,0.013
0.19,44.4,0.014
0.21,46.1,0.016
0.22,47.9,0.016
0.22,50,0.016
0.23,51.8,0.017
0.23,53.7,0.017
0.25,55.6,0.018
0.27,57.5,0.02
0.28,59.4,0.021
0.3,61.2,0.022
0.31,63.3,0.023
0.32,65,0.024
0.33,66.9,0.025
0.36,68.5,0.027
0.37,70.5,0.027
0.38,72.6,0.028
0.38,74.3,0.028
0.39,76.1,0.029
0.4,77.9,0.029
0.41,79.6,0.03
0.42,81.7,0.031
0.44,83.7,0.032
0.47,85.2,0.035
0.46,87.1,0.034
0.47,89,0.035
0.48,90.7,0.036
0.5,92.4,0.037
0.51,94.2,0.038
0.54,95.7,0.04
0.53,97.6,0.039
0.53,99.3,0.039
0.53,100.7,0.039
0.54,98.6,0.04
0.54,96.7,0.04
0.55,94.8,0.041
0.56,92.9,0.042
0.55,91.2,0.041
0.54,89.3,0.04
0.54,87.1,0.04
0.54,85.2,0.04
0.53,83.2,0.039
0.53,81.1,0.04
0.52,79.2,0.038
0.51,77.3,0.038
0.5,75.4,0.037
0.5,73.5,0.037
0.49,71.6,0.036
0.48,69.5,0.036
0.47,67.7,0.035
0.46,65.9,0.034
0.46,64,0.034
0.46,62.1,0.034
0.44,60.3,0.033
0.43,58.4,0.032
0.41,56.5,0.031
0.4,54.6,0.029
0.39,52.5,0.029
0.38,50.6,0.028
0.38,48.6,0.028
0.37,46.6,0.027
0.36,44.7,0.027
0.36,42.8,0.026
0.35,41,0.026
0.36,39,0.026
0.34,37.1,0.025
0.32,35.2,0.024
0.3,33.4,0.023
0.29,31.5,0.022
0.29,29.6,0.021
0.27,27.5,0.02
0.27,25.7,0.02
0.27,23.7,0.02
0.26,21.7,0.019
0.25,19.9,0.018
0.23,18,0.017
0.22,16,0.017
0.23,14,0.017
0.22,12.1,0.016
0.21,10.3,0.015
0.2,8.4,0.015
0.19,6.4,0.014
0.18,4.5,0.014
0.18,2.7,0.013
0.17,0.6,0.012
0.16,-1.4,0.012
0.16,-3.2,0.012
0.15,-5.3,0.011
0.15,-7.4,0.011
0.15,-9.5,0.011
0.13,-11.7,0.01
0.11,-14.1,0.008
0.08,-16.7,0.006
0.06,-19.2,0.005
0.04,-21.3,0.003
0.02,-23.1,0.002
0.01,-24.8,0.001
-0,-26.9,-0
-0.01,-28.7,-0.001
-0.03,-30.8,-0.002
-0.05,-32.8,-0.004
-0.06,-34.8,-0.005
-0.08,-36.8,-0.006
-0.09,-38.7,-0.007
-0.08,-40.6,-0.006
-0.08,-42.4,-0.006
-0.1,-44.1,-0.008
-0.11,-46,-0.008
-0.12,-48,-0.009
-0.13,-49.9,-0.009
-0.14,-51.7,-0.01
-0.15,-53.8,-0.011
-0.16,-55.8,-0.012
-0.18,-57.6,-0.013
-0.19,-59.4,-0.014
-0.21,-61.2,-0.015
-0.22,-63.2,-0.016
-0.2,-65.2,-0.014
-0.19,-67,-0.014
-0.21,-68.8,-0.015
-0.23,-70.6,-0.017
-0.24,-72.4,-0.018
-0.26,-74.3,-0.019
-0.27,-76.2,-0.02
-0.28,-78,-0.021
-0.3,-80,-0.022
-0.31,-81.8,-0.023
-0.32,-83.7,-0.024
-0.31,-85.7,-0.023
-0.33,-87.2,-0.025
-0.34,-89,-0.025
-0.36,-90.6,-0.026
