Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.17,8.2,0.007
0.18,8.6,0.007
0.18,8.9,0.007
0.19,9.3,0.007
0.19,9.7,0.008
0.2,10,0.008
0.2,10.4,0.008
0.21,10.7,0.008
0.21,11.1,0.009
0.22,11.4,0.009
0.22,11.8,0.009
0.23,12.1,0.009
0.24,12.4,0.009
0.24,12.8,0.01
0.25,13.1,0.01
0.25,13.4,0.01
0.25,13.8,0.01
0.26,14.1,0.01
0.26,14.5,0.011
0.27,14.8,0.011
0.27,15.1,0.011
0.28,15.5,0.011
0.28,15.9,0.011
0.29,16.2,0.012
0.3,16.6,0.012
0.3,17,0.012
0.31,17.4,0.012
0.31,17.7,0.012
0.31,18.1,0.013
0.32,18.5,0.013
0.33,18.8,0.013
0.33,19.2,0.013
0.34,19.6,0.014
0.35,19.9,0.014
0.35,20.3,0.014
0.36,20.6,0.014
0.36,21,0.014
0.37,21.4,0.015
0.37,21.8,0.015
0.38,22.1,0.015
0.38,22.5,0.015
0.39,22.8,0.016
0.39,23.2,0.016
0.4,23.5,0.016
0.4,23.9,0.016
0.41,24.2,0.016
0.41,24.6,0.017
0.42,25,0.017
0.43,25.3,0.017
0.43,25.7,0.017
0.44,26,0.017
0.44,26.4,0.018
0.45,26.7,0.018
0.45,27,0.018
0.46,27.4,0.018
0.46,27.7,0.018
0.46,28,0.019
0.47,28.3,0.019
0.47,28.6,0.019
0.48,29,0.019
0.49,29.3,0.019
0.49,29.5,0.02
0.5,29.8,0.02
0.5,30.1,0.02
0.51,30.4,0.02
0.51,30.7,0.021
0.52,30.9,0.021
0.53,31.2,0.021
0.53,31.5,0.021
0.54,31.8,0.021
0.54,32.1,0.022
0.55,32.3,0.022
0.56,32.6,0.022
0.56,32.9,0.023
0.57,33.2,0.023
0.57,33.6,0.023
0.58,33.9,0.023
0.58,34.2,0.023
0.59,34.5,0.024
0.59,34.8,0.024
0.6,35.1,0.024
0.6,35.4,0.024
0.61,35.7,0.024
0.61,36,0.024
0.62,36.3,0.025
0.62,36.5,0.025
0.63,36.8,0.025
0.63,37.1,0.025
0.63,37.3,0.025
0.64,37.6,0.026
0.64,37.8,0.026
0.65,38.1,0.026
0.65,38.3,0.026
0.66,38.6,0.026
0.66,38.8,0.027
0.67,39.1,0.027
0.67,39.3,0.027
0.67,39.6,0.027
0.68,39.8,0.027
0.68,40.1,0.027
0.69,40.4,0.028
0.69,40.6,0.028
0.7,40.9,0.028
0.7,41.1,0.028
0.7,41.4,0.028
0.71,41.6,0.028
0.71,41.9,0.028
0.71,42.1,0.029
0.72,42.4,0.029
0.72,42.7,0.029
0.73,42.9,0.029
0.73,43.2,0.029
0.73,43.4,0.029
0.74,43.7,0.029
0.74,43.9,0.03
0.74,44.2,0.03
0.75,44.4,0.03
0.75,44.7,0.03
0.75,45,0.03
0.76,45.2,0.03
0.76,45.5,0.03
0.77,45.7,0.031
0.77,46,0.031
0.77,46.2,0.031
0.78,46.5,0.031
0.78,46.7,0.031
0.79,47,0.031
0.79,47.2,0.032
0.79,47.5,0.032
0.8,47.7,0.032
0.8,48,0.032
0.8,48.2,0.032
0.81,48.5,0.032
0.81,48.7,0.032
0.82,49,0.033
0.82,49.2,0.033
0.82,49.5,0.033
0.83,49.7,0.033
0.83,50,0.033
0.83,50.2,0.033
0.84,50.5,0.033
0.84,50.7,0.034
0.84,51,0.034
0.85,51.2,0.034
0.85,51.5,0.034
0.86,51.7,0.034
0.86,52,0.034
0.86,52.2,0.035
0.87,52.5,0.035
0.87,52.7,0.035
0.88,53,0.035
0.88,53.2,0.035
0.88,53.5,0.035
0.88,53.8,0.035
0.89,54.1,0.035
0.89,54.3,0.036
0.89,54.6,0.036
0.9,54.9,0.036
0.9,55.2,0.036
0.9,55.5,0.036
0.9,55.8,0.036
0.91,56,0.036
0.91,56.3,0.036
0.91,56.5,0.037
0.92,56.8,0.037
0.92,57,0.037
0.93,56.9,0.037
0.93,56.7,0.037
0.93,56.2,0.037
0.93,55.5,0.037
0.93,54.9,0.037
0.93,54.4,0.037
0.93,53.9,0.037
0.93,53.4,0.037
0.93,52.9,0.037
0.93,52.4,0.037
0.93,51.9,0.037
0.93,51.4,0.037
0.93,50.9,0.037
0.93,50.5,0.037
0.92,50,0.037
0.92,49.5,0.037
0.92,49,0.037
0.92,48.6,0.037
0.91,48.1,0.036
0.91,47.6,0.036
0.9,47.1,0.036
0.9,46.6,0.036
0.89,46.2,0.036
0.89,45.8,0.036
0.89,45.4,0.036
0.88,45,0.035
0.88,44.7,0.035
0.88,44.4,0.035
0.88,44.1,0.035
0.87,43.8,0.035
0.87,43.5,0.035
0.87,43.3,0.035
0.87,43,0.035
0.86,42.7,0.035
0.86,42.4,0.034
0.86,42.1,0.034
0.85,41.8,0.034
0.85,41.6,0.034
0.85,41.2,0.034
0.85,41,0.034
0.84,40.7,0.034
0.84,40.4,0.034
0.84,40.1,0.033
0.83,39.9,0.033
0.83,39.6,0.033
0.82,39.3,0.033
0.82,39,0.033
0.82,38.7,0.033
0.82,38.4,0.033
