Test unit,RS4,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.190410317,-1.514,-0.011900645
-0.164456391,-0.7208,-0.010278524
-0.126503154,0.04245,-0.007906447
-0.094581172,0.8242,-0.005911323
-0.064513684,1.579,-0.004032105
-0.034964767,2.187,-0.002185298
-0.013403569,2.825,-0.000837723
0.013470233,3.541,0.00084189
0.042654809,4.269,0.002665926
0.07173182,4.988,0.004483239
0.099258361,5.692,0.006203648
0.13870382,6.426,0.008668989
0.1748884,7.129,0.010930525
0.194854243,7.83,0.01217839
0.240522508,8.541,0.015032657
0.266529296,9.273,0.016658081
0.303101378,9.983,0.018943836
0.335261534,10.72,0.020953846
0.371043143,11.44,0.023190196
0.41116607,12.18,0.025697879
0.440376864,12.93,0.027523554
0.466747968,13.67,0.029171748
0.503215353,14.42,0.03145096
0.541935379,15.15,0.033870961
0.575755892,15.9,0.035984743
0.603295923,16.62,0.037705995
0.648970202,17.34,0.040560638
0.676655329,18.06,0.042290958
0.720594456,18.78,0.045037153
0.757813806,19.51,0.047363363
0.79189434,20.21,0.049493396
0.821667399,20.92,0.051354212
0.857133072,21.61,0.053570817
0.89611374,22.34,0.056007109
0.934136663,23.06,0.058383541
0.967368882,23.76,0.060460555
1.004625116,24.52,0.06278907
1.03972254,25.23,0.064982659
1.074877844,25.96,0.067179865
1.110511304,26.66,0.069406956
1.149268852,27.38,0.071829303
1.171014296,28.09,0.073188394
1.216916974,28.81,0.076057311
1.249886127,29.53,0.078117883
1.282867695,30.25,0.080179231
1.324043832,30.97,0.08275274
1.35695771,31.67,0.084809857
1.393383948,32.34,0.087086497
1.431390578,33,0.089461911
1.474652179,33.63,0.092165761
1.502541737,34.27,0.093908859
1.52802346,34.81,0.095501466
1.540712119,34.4,0.096294507
1.547701198,33.15,0.096731325
1.543968377,32.99,0.096498024
1.519018195,31.11,0.094938637
1.475927967,30.04,0.092245498
1.441250567,28.62,0.09007816
1.410343907,27.49,0.088146494
1.384124348,26.24,0.086507772
1.345678032,25.1,0.084104877
1.314487675,24.01,0.08215548
1.285645331,22.97,0.080352833
1.249483426,21.95,0.078092714
1.216092797,20.98,0.0760058
1.190322223,20.03,0.074395139
1.14916511,19.12,0.071822819
1.114263767,18.22,0.069641485
1.079062618,17.3,0.067441414
1.046694484,16.36,0.065418405
1.004449579,15.45,0.062778099
0.977706673,14.55,0.061106667
0.940757194,13.69,0.058797325
0.904484084,12.88,0.056530255
0.871557397,12.02,0.054472337
0.844573243,11.12,0.052785828
0.808138223,10.35,0.050508639
0.775247685,9.536,0.04845298
0.743563495,8.722,0.046472718
0.713945756,7.895,0.04462161
0.675456288,7.065,0.042216018
0.645080204,6.226,0.040317513
0.603121521,5.4,0.037695095
0.564279561,4.595,0.035267473
0.53943596,3.78,0.033714748
0.502268427,3.008,0.031391777
0.477222256,2.265,0.029826391
0.451359074,1.535,0.028209942
0.41533777,0.818,0.025958611
0.388537604,0.08802,0.0242836
0.357519895,-0.6292,0.022344993
0.322983401,-1.351,0.020186463
0.300040516,-2.01,0.018752532
0.270749833,-2.649,0.016921865
0.239343158,-3.335,0.014958947
0.214639313,-4.11,0.013414957
0.182342367,-4.895,0.011396398
0.149398775,-5.705,0.009337423
0.115636292,-6.51,0.007227268
0.092276216,-7.28,0.005767264
0.052031606,-8.06,0.003251975
0.019592145,-8.857,0.001224509
-0.005119886,-9.663,-0.000319993
-0.04574155,-10.49,-0.002858847
-0.073360711,-11.33,-0.004585044
-0.10240871,-12.17,-0.006400544
-0.134295605,-13.03,-0.008393475
-0.174361622,-13.9,-0.010897601
-0.209534277,-14.77,-0.013095892
-0.242962816,-15.67,-0.015185176
-0.280541619,-16.57,-0.017533851
-0.31362545,-17.47,-0.019601591
-0.343044026,-18.36,-0.021440252
-0.37572381,-19.26,-0.023482738
-0.413160714,-20.15,-0.025822545
-0.441987279,-21.06,-0.027624205
-0.477908722,-21.94,-0.029869295
-0.509769363,-22.86,-0.031860585
-0.543826928,-23.77,-0.033989183
-0.58488545,-24.7,-0.036555341
-0.61857437,-25.59,-0.038660898
-0.647753493,-26.46,-0.040484593
-0.69431685,-27.34,-0.043394803
-0.72168193,-28.19,-0.045105121
-0.755160584,-29.08,-0.047197537
