Test unit,test 6
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.34,5,0.022
0.25,2.9,0.017
0.17,0.7,0.011
0.15,-2,0.01
0.09,-4.4,0.006
-0,-6.6,-0
-0.09,-8.7,-0.006
-0.17,-10.9,-0.011
-0.25,-13,-0.017
-0.27,-15.4,-0.018
-0.42,-18,-0.028
-0.44,-20.3,-0.029
-0.59,-22.9,-0.039
-0.67,-25.1,-0.045
-0.76,-27.3,-0.051
-0.84,-29.5,-0.056
-1.01,-30.4,-0.067
-0.98,-28.1,-0.065
-0.93,-25.7,-0.062
-0.84,-23.5,-0.056
-0.82,-21,-0.055
-0.76,-18.6,-0.051
-0.67,-16.3,-0.045
-0.59,-14.1,-0.039
-0.57,-11.6,-0.038
-0.51,-9.2,-0.034
-0.42,-7,-0.028
-0.34,-4.8,-0.023
-0.25,-2.7,-0.017
-0.22,-0.3,-0.015
-0.17,-0.1,-0.011
-0.17,-0.1,-0.011
NaN,NaN,NaN
-0.17,0.4,-0.011
-0.17,1.7,-0.011
-0.09,2.2,-0.006
-0.09,5.3,-0.006
-0,5.7,-0
-0,7.5,-0
0.09,8,0.006
0.09,10.2,0.006
0.17,10.7,0.011
0.17,12.9,0.011
0.25,13.3,0.017
0.25,15.6,0.017
0.34,16,0.022
0.34,17.8,0.022
0.42,18.3,0.028
0.42,20.1,0.028
0.51,20.5,0.034
0.51,22.7,0.034
0.59,23.2,0.039
0.59,25.4,0.039
0.67,25.9,0.045
0.67,27.2,0.045
0.76,27.7,0.051
0.76,29.9,0.051
0.84,30.3,0.056
0.84,31.7,0.056
0.93,32.1,0.062
0.93,33.5,0.062
1.01,33.9,0.067
1.01,29.9,0.067
0.93,29.5,0.062
0.93,26.8,0.062
0.84,26.3,0.056
0.84,23.2,0.056
0.76,22.7,0.051
0.76,20.1,0.051
0.67,19.6,0.045
0.67,16.5,0.045
0.59,16,0.039
0.59,13.3,0.039
0.51,12.9,0.034
0.51,10.7,0.034
0.42,10.2,0.028
0.42,7.5,0.028
0.34,7.1,0.022
0.34,4.9,0.022
0.25,4.4,0.017
0.25,2.2,0.017
0.17,1.7,0.011
0.17,-0.1,0.011
0.09,-0.5,0.006
0.09,-2.8,0.006
-0,-3.2,-0
-0,-5.4,-0
-0.09,-5.9,-0.006
-0.09,-8.1,-0.006
-0.17,-8.6,-0.011
-0.17,-10.8,-0.011
-0.25,-11.3,-0.017
-0.25,-13.5,-0.017
-0.34,-13.9,-0.023
-0.34,-15.7,-0.023
-0.42,-16.2,-0.028
-0.42,-18,-0.028
-0.51,-18.4,-0.034
-0.51,-20.6,-0.034
-0.59,-21.1,-0.039
-0.59,-22.9,-0.039
-0.67,-23.3,-0.045
-0.67,-25.1,-0.045
-0.76,-25.6,-0.051
-0.76,-26.9,-0.051
-0.84,-27.3,-0.056
-0.84,-29.1,-0.056
-0.93,-29.6,-0.062
-0.93,-30.5,-0.062
-1.01,-30.9,-0.067
-1.01,-28.7,-0.067
-0.93,-27.8,-0.062
-0.93,-24.2,-0.062
-0.84,-23.8,-0.056
-0.84,-21.1,-0.056
-0.76,-20.6,-0.051
-0.76,-18,-0.051
-0.67,-17.5,-0.045
-0.67,-15.3,-0.045
-0.59,-14.8,-0.039
-0.59,-12.1,-0.039
-0.51,-11.7,-0.034
-0.51,-9.5,-0.034
-0.42,-9,-0.028
