Test unit,PG2
Reference,Almeida et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.66,10.3,-0.026
-0.55,11.9,-0.021
-0.39,13.3,-0.015
-0.25,15.3,-0.01
-0.04,17.2,-0.002
0.04,18.5,0.002
0.16,20,0.006
0.43,22.5,0.016
0.53,24.1,0.02
0.79,26.3,0.031
1.06,28.7,0.041
1.27,30.6,0.049
1.53,33,0.059
1.74,34.8,0.067
1.88,35.5,0.072
2.04,36.5,0.079
2.25,37,0.086
2.5,36.2,0.096
2.58,35.7,0.099
2.54,33.1,0.098
2.5,31.6,0.096
2.36,29.8,0.091
2.31,28.2,0.089
2.23,26,0.086
2.09,24.2,0.08
2.02,22.8,0.078
1.93,21.3,0.074
1.74,19.1,0.067
1.64,17.9,0.063
1.54,15.6,0.059
1.34,13.9,0.052
1.28,12.1,0.049
1.09,10.2,0.042
0.97,8.8,0.037
0.87,7.9,0.034
0.69,5.5,0.026
0.52,3.9,0.02
0.45,2.3,0.017
0.27,1.3,0.011
0.2,0.1,0.008
0.1,-1.5,0.004
0.07,-1.7,0.003
-0.07,-2.8,-0.003
-0.13,-3.6,-0.005
-0.29,-5.7,-0.011
-0.4,-6.7,-0.015
-0.59,-9,-0.023
-0.66,-10.1,-0.026
-0.9,-12.2,-0.035
-1.23,-15.4,-0.047
-1.47,-16.7,-0.057
-1.58,-17.7,-0.061
-1.64,-18.8,-0.063
-1.81,-19.8,-0.07
-1.98,-20.8,-0.076
-2.11,-21.5,-0.081
-2.36,-22.8,-0.091
-2.41,-23.3,-0.093
-2.64,-21.6,-0.102
-2.55,-19.8,-0.098
-2.5,-17.7,-0.096
-2.42,-15.6,-0.093
-2.35,-14,-0.09
-2.29,-12,-0.088
-2.16,-10.6,-0.083
-2.04,-8.8,-0.078
-1.9,-6.8,-0.073
-1.82,-5.3,-0.07
-1.71,-4,-0.066
-1.67,-2.9,-0.064
-1.55,-1.8,-0.06
-1.49,-0.9,-0.057
-1.37,0.4,-0.053
-1.31,1.3,-0.051
-1.23,2.4,-0.047
-1.06,4.2,-0.041
-0.92,6.2,-0.035
-0.66,9.3,-0.026
-0.56,10.6,-0.021
-0.31,13,-0.012
-0.18,14.7,-0.007
0.1,17.2,0.004
0.13,18.7,0.005
0.43,21.5,0.016
0.65,23.4,0.025
0.79,25,0.03
0.87,26,0.034
1.03,28,0.04
1.43,31.8,0.055
1.63,32.8,0.063
1.75,34.4,0.067
1.88,34.9,0.072
2.17,36.8,0.083
2.28,37.9,0.088
2.42,38.4,0.093
2.64,37.1,0.102
2.56,34.6,0.099
2.57,32.6,0.099
2.44,30.6,0.094
2.29,27.8,0.088
2.24,26.5,0.086
2.11,24.7,0.081
1.96,23.3,0.075
1.89,21.1,0.073
1.7,19,0.065
1.57,17.2,0.06
1.43,16.2,0.055
1.34,13.8,0.052
1.2,12.1,0.046
0.93,9.5,0.036
0.81,7.7,0.031
0.72,6.6,0.028
0.61,4.8,0.023
0.31,2.4,0.012
0.19,0.5,0.007
0.13,0,0.005
0.04,-1.5,0.001
0.01,-1.4,0.001
-0.07,-2.3,-0.003
-0.22,-3.7,-0.009
-0.31,-5.3,-0.012
-0.47,-7,-0.018
-0.69,-9.3,-0.027
-0.78,-10.7,-0.03
-1.02,-13,-0.039
-1.45,-16.7,-0.056
-1.55,-17.5,-0.06
-1.7,-19.6,-0.065
-1.87,-20.4,-0.072
-2.08,-22.2,-0.08
-2.21,-22.8,-0.085
-2.34,-23.3,-0.09
-2.64,-23.5,-0.101
-2.55,-21.2,-0.098
-2.47,-18.6,-0.095
-2.42,-17,-0.093
-2.35,-15.1,-0.09
-2.28,-13.1,-0.088
