Test unit,CT01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.8,-76.9,-0.032
-0.79,-76.2,-0.032
-0.79,-75.4,-0.032
-0.78,-74.7,-0.031
-0.78,-74,-0.031
-0.77,-73.2,-0.031
-0.77,-72.5,-0.031
-0.76,-71.7,-0.03
-0.76,-71,-0.03
-0.75,-70.3,-0.03
-0.74,-69.6,-0.03
-0.74,-68.9,-0.03
-0.73,-68.2,-0.029
-0.73,-67.6,-0.029
-0.72,-66.8,-0.029
-0.72,-66.1,-0.029
-0.71,-65.3,-0.028
-0.7,-64.5,-0.028
-0.7,-63.7,-0.028
-0.69,-63,-0.028
-0.68,-62.3,-0.027
-0.68,-61.6,-0.027
-0.67,-60.9,-0.027
-0.66,-60.2,-0.026
-0.66,-59.5,-0.026
-0.65,-58.8,-0.026
-0.64,-58,-0.026
-0.64,-57.3,-0.026
-0.63,-56.6,-0.025
-0.63,-55.9,-0.025
-0.62,-55.2,-0.025
-0.61,-54.6,-0.025
-0.61,-53.9,-0.024
-0.6,-53.3,-0.024
-0.6,-52.6,-0.024
-0.59,-51.9,-0.024
-0.58,-51.1,-0.023
-0.58,-50.4,-0.023
-0.57,-49.7,-0.023
-0.57,-49,-0.023
-0.56,-48.3,-0.023
-0.56,-47.7,-0.022
-0.55,-47.1,-0.022
-0.54,-46.5,-0.022
-0.54,-45.9,-0.021
-0.53,-45.2,-0.021
-0.52,-44.5,-0.021
-0.52,-43.8,-0.021
-0.51,-43,-0.021
-0.51,-42.3,-0.02
-0.5,-41.6,-0.02
-0.5,-40.9,-0.02
-0.49,-40.2,-0.02
-0.49,-39.5,-0.019
-0.48,-38.9,-0.019
-0.47,-38.2,-0.019
-0.47,-37.6,-0.019
-0.46,-37,-0.018
-0.46,-36.3,-0.018
-0.45,-35.6,-0.018
-0.45,-35,-0.018
-0.44,-34.3,-0.018
-0.43,-33.7,-0.017
-0.43,-33.1,-0.017
-0.42,-32.4,-0.017
-0.42,-31.8,-0.017
-0.41,-31.1,-0.016
-0.41,-30.4,-0.016
-0.4,-29.8,-0.016
-0.39,-29.1,-0.016
-0.39,-28.4,-0.016
-0.38,-27.8,-0.015
-0.38,-27.1,-0.015
-0.37,-26.4,-0.015
-0.37,-25.7,-0.015
-0.36,-25.1,-0.014
-0.36,-24.5,-0.014
-0.35,-23.9,-0.014
-0.35,-23.4,-0.014
-0.34,-22.7,-0.014
-0.33,-22.1,-0.013
-0.33,-21.5,-0.013
-0.32,-20.9,-0.013
-0.31,-20.3,-0.012
-0.31,-19.7,-0.012
-0.3,-19.1,-0.012
-0.3,-18.5,-0.012
-0.29,-17.9,-0.012
-0.28,-17.4,-0.011
-0.28,-16.8,-0.011
-0.27,-16.3,-0.011
-0.27,-15.7,-0.011
-0.26,-15.2,-0.01
-0.26,-14.7,-0.01
-0.25,-14.1,-0.01
-0.24,-13.6,-0.01
-0.24,-13,-0.01
-0.23,-12.5,-0.009
-0.23,-11.9,-0.009
-0.22,-11.4,-0.009
-0.22,-10.9,-0.009
-0.21,-10.3,-0.009
-0.21,-9.8,-0.008
-0.2,-9.3,-0.008
-0.19,-8.8,-0.008
-0.19,-8.3,-0.008
-0.18,-7.8,-0.007
-0.18,-7.4,-0.007
-0.17,-6.9,-0.007
-0.16,-6.5,-0.007
-0.16,-6,-0.006
-0.15,-5.7,-0.006
-0.15,-5.3,-0.006
-0.14,-5,-0.006
-0.14,-4.6,-0.005
-0.13,-4.4,-0.005
-0.12,-4.1,-0.005
-0.12,-3.9,-0.005
-0.12,-3.8,-0.005
-0.11,-3.7,-0.004
-0.11,-3.5,-0.004
-0.1,-3.4,-0.004
-0.09,-3.2,-0.004
-0.09,-3,-0.004
-0.08,-2.7,-0.003
-0.08,-2.3,-0.003
-0.07,-1.9,-0.003
-0.07,-1.5,-0.003
-0.06,-1.1,-0.002
-0.06,-0.7,-0.002
-0.05,-0.2,-0.002
-0.05,0.2,-0.002
-0.04,0.7,-0.002
-0.03,1.1,-0.001
-0.03,1.5,-0.001
-0.03,1.8,-0.001
-0.02,2.1,-0.001
-0.02,2.3,-0.001
-0.02,2.4,-0.001
-0.02,2.6,-0.001
-0.02,2.7,-0.001
-0.01,2.9,-0.001
-0.01,3.1,-0.001
-0.01,3.2,-0
-0.01,3.5,-0
-0.01,3.7,-0
-0,4,-0
-0,4.4,-0
0,4.8,0
0.01,5.3,0
0.01,5.8,0.001
0.02,6.3,0.001
0.03,6.8,0.001
0.03,7.4,0.001
0.04,8,0.001
0.04,8.5,0.002
0.05,9.1,0.002
0.05,9.7,0.002
0.06,10.3,0.002
0.06,10.8,0.003
0.07,11.4,0.003
0.08,12,0.003
0.08,12.6,0.003
0.09,13.2,0.004
0.1,13.7,0.004
0.1,14.3,0.004
0.11,14.8,0.004
0.11,15.3,0.005
0.12,15.9,0.005
0.12,16.5,0.005
0.13,17,0.005
0.13,17.6,0.005
0.14,18.1,0.006
0.14,18.7,0.006
0.15,19.3,0.006
0.16,19.8,0.006
0.16,20.4,0.006
0.17,20.9,0.007
0.17,21.5,0.007
0.18,22,0.007
0.18,22.5,0.007
0.19,23.1,0.008
0.2,23.6,0.008
0.2,24.1,0.008
0.21,24.6,0.008
0.21,25.1,0.009
0.22,25.7,0.009
0.23,26.2,0.009
0.23,26.7,0.009
0.24,27.2,0.009
0.24,27.6,0.01
0.25,28.1,0.01
0.26,28.5,0.01
0.26,28.9,0.011
0.27,29.3,0.011
0.27,29.8,0.011
0.28,30.2,0.011
0.29,30.6,0.011
0.29,31,0.012
0.3,31.4,0.012
0.3,31.8,0.012
0.31,32.3,0.012
0.31,32.7,0.012
0.32,33.1,0.013
0.32,33.6,0.013
0.33,34,0.013
0.34,34.4,0.013
0.34,34.9,0.014
0.35,35.3,0.014
0.35,35.8,0.014
0.36,36.2,0.014
0.36,36.7,0.015
0.37,37.1,0.015
0.38,37.6,0.015
0.38,38,0.015
0.39,38.5,0.016
0.4,38.9,0.016
0.4,39.4,0.016
0.41,39.8,0.016
0.41,40.3,0.017
0.42,40.7,0.017
0.42,41.2,0.017
0.43,41.6,0.017
0.43,42.1,0.017
0.44,42.6,0.017
0.44,43,0.018
0.45,43.5,0.018
0.46,43.9,0.018
0.46,44.4,0.019
0.47,44.9,0.019
0.48,45.4,0.019
0.48,45.9,0.019
0.49,46.4,0.02
0.5,46.9,0.02
0.5,47.5,0.02
0.51,48,0.02
0.51,48.5,0.02
0.52,49,0.021
0.52,49.5,0.021
0.53,50,0.021
0.53,50.6,0.021
0.54,51.1,0.022
0.55,51.6,0.022
0.55,52.1,0.022
0.56,52.6,0.022
0.56,53.1,0.023
0.57,53.6,0.023
0.58,54.1,0.023
0.58,54.6,0.023
0.59,55.1,0.023
0.59,55.5,0.024
0.6,56,0.024
0.6,56.5,0.024
0.61,57,0.024
0.61,57.5,0.024
0.62,58.1,0.025
0.62,58.6,0.025
0.63,59.2,0.025
0.64,59.7,0.025
0.64,60.3,0.026
0.65,60.9,0.026
0.65,61.4,0.026
0.66,62,0.026
0.66,62.5,0.027
0.67,63,0.027
0.67,63.6,0.027
0.68,64.1,0.027
0.69,64.6,0.027
0.69,65.2,0.028
0.7,65.7,0.028
0.7,66.3,0.028
0.71,66.8,0.028
0.71,67.3,0.029
0.72,67.9,0.029
0.72,68.5,0.029
0.73,69.1,0.029
0.74,69.7,0.029
0.74,70.2,0.03
0.75,70.7,0.03
0.75,71.2,0.03
0.76,71.8,0.03
0.76,72.3,0.031
0.77,72.8,0.031
0.78,73.4,0.031
0.78,73.9,0.031
0.79,74.5,0.032
0.79,75,0.032
0.8,75.5,0.032
0.8,76.1,0.032
0.81,76.6,0.032
0.82,77.2,0.033
0.82,77.8,0.033
0.83,78.3,0.033
0.83,78.9,0.033
0.84,79.4,0.033
0.84,80,0.034
0.85,80.6,0.034
0.86,81.1,0.034
0.86,81.7,0.034
0.87,82.2,0.035
0.87,82.8,0.035
0.88,83.3,0.035
0.89,83.9,0.035
0.89,84.4,0.036
0.9,85,0.036
0.9,85.5,0.036
