Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
5.12,63.6,0.409
4.57,53.5,0.366
3.96,43.5,0.317
3.34,32.6,0.267
2.68,21.6,0.214
2.17,14.1,0.174
1.24,1.9,0.099
0.6,-6.3,0.048
-0.12,-15.7,-0.009
-0.82,-23.8,-0.066
-1.54,-33.5,-0.123
-2.23,-41.6,-0.178
-2.9,-49.5,-0.232
-3.54,-57.6,-0.284
-4.15,-65.1,-0.332
-4.73,-72.3,-0.379
-5.28,-78.9,-0.422
-5.75,-84.8,-0.46
-6.19,-90.2,-0.495
-6.56,-94.9,-0.525
-6.88,-98.3,-0.551
-7.14,-101.4,-0.571
-7.33,-103.3,-0.587
-7.46,-104.2,-0.597
-7.53,-104.2,-0.602
-7.54,-101.4,-0.603
-7.42,-85.5,-0.594
-7.31,-82,-0.585
-7.11,-76.1,-0.569
-6.83,-69.2,-0.546
-6.51,-62,-0.521
-6.12,-54.5,-0.49
-5.69,-46.6,-0.455
-5.19,-38.8,-0.415
-4.65,-30.4,-0.372
-4.06,-22.2,-0.325
-3.45,-13.5,-0.276
-2.81,-4.4,-0.224
-2.13,4.7,-0.17
-1.42,13.8,-0.114
-0.71,24.4,-0.057
0,33.2,0
0.04,27.5,0.003
0.04,29.4,0.003
0.06,29.7,0.005
0.05,27.5,0.004
0.8,44.5,0.064
1.51,54.2,0.121
2.19,63.6,0.176
2.88,72.9,0.23
2.88,72.9,0.23
3.53,81.4,0.283
4.15,90.2,0.332
4.73,98,0.379
5.26,104.6,0.421
5.76,112.1,0.461
6.21,118,0.497
6.6,123.3,0.528
6.94,128,0.555
7.21,131.2,0.576
7.41,133.7,0.593
7.55,134.3,0.604
7.62,134.6,0.61
7.64,133.1,0.612
7.58,126.8,0.606
7.45,120.8,0.596
7.27,114,0.582
7.01,105.2,0.561
6.7,95.8,0.536
6.31,86.1,0.504
5.88,76.7,0.47
5.4,67,0.432
4.86,56.4,0.389
4.28,47,0.343
3.64,36.9,0.291
3.03,26.6,0.242
2.38,16.3,0.19
1.66,6.6,0.133
0.96,-2.8,0.077
0.26,-11.3,0.021
-0.44,-20,-0.035
-1.16,-28.5,-0.093
-1.87,-36.6,-0.15
-2.55,-44.5,-0.204
-3.21,-52.6,-0.257
-3.84,-59.8,-0.307
-4.43,-67,-0.355
-4.99,-73.9,-0.399
-5.5,-79.8,-0.44
-5.95,-85.5,-0.476
-6.37,-90.5,-0.51
-6.71,-94.9,-0.537
-7.02,-98,-0.562
-7.24,-100.2,-0.579
-7.4,-101.7,-0.592
-7.49,-101.7,-0.6
-7.53,-100.8,-0.602
-7.53,-93,-0.602
-7.39,-79.8,-0.591
-7.22,-74.5,-0.577
-6.98,-68.6,-0.558
-6.68,-62,-0.534
-6.32,-54.8,-0.505
-5.91,-47,-0.473
-5.45,-39.4,-0.436
-4.94,-31.6,-0.395
-4.39,-23.5,-0.351
-3.78,-15.7,-0.302
-3.14,-6.6,-0.251
-2.47,1.9,-0.198
-1.79,10.6,-0.143
-1.31,17.5,-0.104
-0.37,29.4,-0.03
0.11,30.4,0.009
0.04,28.2,0.003
0.04,30.1,0.003
0.05,31.3,0.004
0.05,26.6,0.004
0.05,27.2,0.004
0.04,28.8,0.003
0.04,30.7,0.003
0.05,29.7,0.004
0.05,26.6,0.004
0.05,30.4,0.004
0.05,26.3,0.004
0.05,30.4,0.004
0.05,27.5,0.004
0.04,26,0.003
0.04,28.2,0.003
0.05,29.7,0.004
0.05,26.3,0.004
0.05,27.5,0.004
0.04,29.1,0.003
0.05,30.1,0.004
