Test unit,T2-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
2.12,141.5,0.17
2.13,140.6,0.17
2.12,135.6,0.17
2.08,130.9,0.166
2.02,127.1,0.162
1.96,121.8,0.157
1.87,115.5,0.15
1.79,108.3,0.143
1.66,99.2,0.133
1.53,90.2,0.122
1.38,80.1,0.11
1.23,69.2,0.099
1.06,57,0.085
0.9,44.5,0.072
0.72,31.3,0.057
0.52,18.2,0.042
0.33,5.3,0.027
0.13,-9.1,0.01
-0.05,-21.3,-0.004
-0.25,-34.1,-0.02
-0.45,-45.7,-0.036
-0.63,-57.3,-0.051
-0.81,-67.6,-0.065
-1,-78.3,-0.08
-1.16,-87,-0.093
-1.33,-94.9,-0.106
-1.47,-101.7,-0.117
-1.6,-109.3,-0.128
-1.7,-114.9,-0.136
-1.8,-119.6,-0.144
-1.88,-123.7,-0.151
-1.95,-127.1,-0.156
-1.99,-128.4,-0.159
-2.02,-129,-0.162
-2.03,-128.7,-0.163
-2.03,-125.5,-0.163
-1.99,-113.3,-0.159
-1.96,-110.2,-0.157
-1.9,-104.6,-0.152
-1.82,-98.6,-0.146
-1.72,-91.1,-0.138
-1.62,-83.6,-0.129
-1.49,-75.4,-0.119
-1.35,-66.7,-0.108
-1.19,-57,-0.095
-1.03,-47.6,-0.082
-0.85,-36.6,-0.068
-0.67,-25.4,-0.054
-0.48,-13.8,-0.039
-0.3,-2.5,-0.024
-0.11,9.7,-0.009
0,15.7,0
0.06,19.4,0.005
0.06,14.4,0.005
0.04,12.5,0.003
0.04,16,0.003
0.37,40.4,0.03
0.56,52.3,0.045
0.74,64.8,0.059
0.92,76.1,0.074
1.09,86.7,0.087
1.26,96.7,0.101
1.4,105.8,0.112
1.54,112.7,0.123
1.68,118.6,0.134
1.8,124.9,0.144
1.9,129.9,0.152
1.98,134.3,0.158
2.03,136.8,0.163
2.09,138.4,0.167
2.11,139.9,0.169
2.13,139.6,0.17
2.12,136.8,0.17
2.09,128.7,0.167
2.04,125.5,0.164
1.98,120.8,0.158
1.91,114.9,0.152
1.81,108,0.145
1.7,99.6,0.136
1.56,91.1,0.125
1.42,81.7,0.114
1.27,71.7,0.102
1.11,60.1,0.089
0.94,48.2,0.075
0.76,35.4,0.061
0.58,22.5,0.046
0.46,15,0.037
0.18,-4.4,0.015
-0.01,-16.6,-0.001
-0.2,-28.5,-0.016
-0.4,-39.8,-0.032
-0.58,-51,-0.046
-0.77,-61,-0.062
