Test unit,C2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.04,5,-0.003
-0.02,7.4,-0.001
0.01,10.2,0.001
0.05,13.1,0.004
0.09,15.8,0.006
0.11,18.1,0.008
0.15,20.2,0.011
0.17,21.6,0.013
0.2,23.1,0.015
0.21,21.5,0.016
0.22,23.2,0.016
0.23,25.2,0.017
0.25,27.2,0.019
0.28,29.1,0.021
0.31,30.9,0.023
0.33,32.5,0.024
0.35,34.1,0.026
0.39,35.5,0.029
0.42,37.1,0.031
0.44,38.8,0.032
0.45,40.4,0.033
0.47,42.2,0.035
0.5,43.8,0.037
0.52,45.5,0.038
0.55,46.9,0.04
0.57,48.5,0.043
0.6,50,0.044
0.63,51.7,0.046
0.65,53.3,0.048
0.68,55,0.05
0.71,56.5,0.052
0.74,58.1,0.055
0.78,59.4,0.057
0.8,61,0.059
0.82,62.6,0.061
0.85,64.1,0.063
0.88,65.7,0.065
0.9,67.2,0.067
0.94,68.6,0.07
0.98,69.9,0.073
1.01,71.4,0.075
1.06,72.6,0.078
1.1,73.6,0.082
1.13,75.1,0.084
1.18,76,0.087
1.21,77.5,0.09
1.26,77.6,0.094
1.3,78.9,0.097
1.36,79.3,0.101
1.41,79.3,0.105
1.47,79.5,0.109
1.48,77.8,0.11
1.49,76.1,0.11
1.52,74.7,0.112
1.5,73.1,0.111
1.49,71.3,0.111
1.49,69.5,0.111
1.49,67.5,0.11
1.47,65.8,0.109
1.46,64,0.108
1.45,62.1,0.108
1.44,60.3,0.106
1.4,59,0.104
1.38,57.3,0.102
1.36,55.5,0.101
1.35,53.8,0.1
1.32,52.3,0.098
1.31,50.6,0.097
1.28,49,0.095
