Test unit,C1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.45,59,0.107
1.41,57.7,0.104
1.4,56.2,0.104
1.34,54.8,0.099
1.34,53.4,0.099
1.3,52.2,0.097
1.28,50.5,0.095
1.25,49,0.092
1.21,47.7,0.09
1.18,46.6,0.087
1.16,45.2,0.086
1.16,43.9,0.086
1.14,42.5,0.085
1.1,41.3,0.081
1.06,40.1,0.078
1.03,38.5,0.076
1.01,37.1,0.075
1.01,35.7,0.075
0.98,34.1,0.073
0.94,32.7,0.07
0.89,31.3,0.066
0.87,30,0.064
0.84,28.6,0.062
0.82,27.2,0.061
0.81,25.7,0.06
0.8,24.3,0.059
0.77,23,0.057
0.74,21.5,0.055
0.71,19.8,0.053
0.71,18.4,0.052
0.66,17.6,0.049
0.69,16.1,0.051
0.67,14.9,0.049
0.64,13.7,0.047
0.61,12.3,0.045
0.59,10.8,0.044
0.56,9.6,0.042
0.52,8.5,0.039
0.5,7.1,0.037
0.48,5.8,0.036
0.44,4.7,0.033
0.41,3.5,0.03
0.38,2,0.028
0.39,0.2,0.029
0.35,-1.1,0.026
0.34,-2.7,0.025
0.32,-4.5,0.024
0.29,-6.2,0.021
0.24,-8,0.018
0.2,-9.6,0.015
0.19,-11.3,0.014
0.17,-12.7,0.013
0.11,-14,0.008
0.09,-15.7,0.007
0.04,-16.4,0.003
0.05,-14.4,0.004
0.06,-12.7,0.005
0.04,-11.2,0.003
0.07,-10,0.005
0.07,-11.4,0.005
0.05,-13.6,0.004
0.06,-16.3,0.005
0.02,-17.5,0.001
0,-19.9,0
-0.05,-21.8,-0.003
-0.08,-23.6,-0.006
-0.11,-24.9,-0.008
-0.14,-26.2,-0.01
-0.16,-27.6,-0.012
-0.2,-28.9,-0.015
-0.23,-30.5,-0.017
-0.23,-32,-0.017
-0.25,-33.2,-0.019
-0.28,-34.4,-0.021
-0.3,-35.7,-0.022
-0.33,-37.2,-0.024
-0.36,-38.7,-0.027
-0.4,-40.1,-0.03
-0.43,-41.6,-0.032
-0.47,-43.3,-0.035
-0.49,-44.9,-0.036
-0.52,-46.1,-0.039
-0.54,-47.5,-0.04
-0.59,-48.5,-0.043
-0.61,-50.1,-0.045
-0.63,-51.4,-0.047
-0.64,-52.9,-0.048
-0.67,-54.2,-0.049
-0.7,-55.5,-0.052
-0.72,-56.8,-0.054
-0.75,-58.2,-0.056
-0.77,-59.5,-0.057
-0.8,-61,-0.059
-0.82,-62.5,-0.061
-0.85,-63.7,-0.063
-0.88,-65.1,-0.065
-0.88,-66.4,-0.065
-0.94,-68.1,-0.069
-0.96,-69.4,-0.071
-0.99,-70.8,-0.073
-1.01,-72.3,-0.075
-1.04,-73.5,-0.077
-1.07,-74.8,-0.079
-1.13,-76,-0.084
-1.14,-77.2,-0.084
-1.15,-78.6,-0.085
-1.19,-79.7,-0.089
-1.23,-81,-0.091
-1.25,-82.3,-0.093
-1.29,-83.4,-0.096
-1.34,-84.7,-0.1
-1.37,-85.9,-0.102
-1.39,-87.4,-0.103
-1.42,-88.6,-0.105
-1.46,-89.9,-0.108
-1.51,-90.9,-0.112
-1.53,-92.3,-0.114
-1.55,-93.8,-0.115
-1.6,-94.8,-0.119
-1.65,-95.9,-0.122
-1.71,-96.8,-0.127
-1.75,-98.1,-0.129
-1.8,-99.4,-0.133
-1.85,-100.7,-0.137
-1.86,-101.9,-0.138
-1.9,-103.2,-0.141
-1.93,-104.4,-0.143
-1.99,-105.4,-0.148
-2.03,-106.5,-0.151
-2.06,-107.7,-0.152
-2.09,-108.7,-0.155
-2.17,-109.3,-0.161
-2.22,-110.3,-0.165
-2.27,-111.2,-0.168
-2.33,-111.8,-0.173
-2.42,-112.3,-0.179
-2.48,-113.1,-0.184
-2.53,-112.2,-0.188
-2.52,-110.9,-0.187
-2.54,-109.5,-0.188
-2.52,-108,-0.187
-2.5,-106.7,-0.185
-2.46,-105.5,-0.182
-2.49,-104,-0.184
-2.44,-102.8,-0.181
-2.44,-101.4,-0.18
-2.39,-100.2,-0.177
-2.36,-98.8,-0.175
-2.35,-97.5,-0.174
-2.32,-96.2,-0.172
-2.29,-95,-0.17
-2.24,-93.8,-0.166
-2.23,-92.4,-0.165
-2.21,-90.9,-0.164
-2.21,-89.4,-0.163
-2.17,-88,-0.16
-2.12,-86.8,-0.157
-2.1,-85.3,-0.155
-2.07,-84,-0.153
-2.05,-82.4,-0.152
-2.02,-80.8,-0.15
-1.99,-79.5,-0.147
-1.95,-78.1,-0.144
-1.91,-76.8,-0.142
-1.89,-75.5,-0.14
-1.9,-74.1,-0.141
-1.87,-72.6,-0.139
-1.85,-71,-0.137
-1.81,-69.6,-0.134
-1.79,-68.3,-0.132
-1.75,-66.8,-0.13
-1.72,-65.3,-0.128
-1.68,-64,-0.125
-1.65,-62.7,-0.122
-1.62,-61.4,-0.12
-1.59,-60,-0.117
-1.56,-58.6,-0.116
-1.55,-57.1,-0.115
-1.53,-55.7,-0.113
-1.5,-54.5,-0.111
-1.46,-53.2,-0.108
-1.43,-51.9,-0.106
-1.4,-50.7,-0.104
-1.38,-49.2,-0.102
-1.36,-47.6,-0.101
-1.35,-46.2,-0.1
-1.32,-45,-0.098
-1.29,-43.8,-0.096
-1.28,-42.3,-0.095
