Test unit,C8
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.06,44.9,0.005
0.07,48.5,0.005
0.09,52,0.006
0.1,54.9,0.007
0.1,58.2,0.008
0.11,61.1,0.008
0.12,64.1,0.009
0.13,66.9,0.01
0.15,69.9,0.011
0.15,73.4,0.011
0.16,76.4,0.012
0.17,79.4,0.013
0.18,82.5,0.014
0.2,85.3,0.015
0.23,88.2,0.017
0.24,91.5,0.018
0.25,94.3,0.019
0.27,97.4,0.02
0.28,100.3,0.02
0.3,102.4,0.022
0.32,105.3,0.023
0.31,108.5,0.023
0.32,111.5,0.024
0.33,114.4,0.024
0.33,117.1,0.025
0.35,119.8,0.026
0.36,122.5,0.027
0.37,125.4,0.028
0.4,127.7,0.029
0.41,130.7,0.03
0.42,133.5,0.031
0.44,136.1,0.032
0.45,138.6,0.033
0.46,141.1,0.034
0.48,143.5,0.036
0.49,146.1,0.036
0.5,148.6,0.037
0.51,150.9,0.038
0.52,153.1,0.039
0.55,154.3,0.041
0.56,151.1,0.041
0.55,147.6,0.041
0.56,144.4,0.042
0.56,140.9,0.041
0.57,137.3,0.042
0.55,134.5,0.041
0.53,131.8,0.04
