Test unit,E1
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.51,-18.5,-0.045
-0.51,-19.1,-0.044
-0.51,-19.8,-0.045
-0.52,-20.6,-0.045
-0.53,-21.1,-0.046
-0.56,-20.7,-0.049
-0.57,-19.9,-0.049
-0.57,-19.2,-0.049
-0.56,-18.5,-0.048
-0.55,-17.9,-0.048
-0.54,-18.7,-0.047
-0.54,-19.3,-0.047
-0.54,-19.8,-0.047
-0.55,-20.3,-0.048
-0.57,-20.8,-0.049
-0.57,-20.3,-0.05
-0.57,-19.7,-0.05
-0.58,-19,-0.05
-0.57,-18.5,-0.05
-0.56,-17.8,-0.049
-0.54,-17.2,-0.047
-0.53,-17.9,-0.046
-0.53,-18.4,-0.046
-0.53,-19,-0.046
-0.54,-19.7,-0.047
-0.56,-20.3,-0.048
-0.58,-20.8,-0.05
-0.58,-20.2,-0.051
-0.58,-19.4,-0.051
-0.59,-18.6,-0.051
-0.58,-17.8,-0.05
-0.57,-17.1,-0.049
-0.55,-16.7,-0.048
-0.55,-17.2,-0.048
-0.55,-17.7,-0.048
-0.55,-18.2,-0.047
-0.55,-18.8,-0.047
-0.56,-19.3,-0.048
-0.57,-20,-0.049
-0.58,-19.4,-0.05
-0.58,-18.5,-0.05
-0.57,-17.8,-0.05
-0.56,-17,-0.049
-0.55,-16.4,-0.048
-0.53,-15.9,-0.046
-0.53,-16.7,-0.046
-0.53,-17.4,-0.046
-0.53,-17.9,-0.046
-0.53,-18.6,-0.046
-0.54,-18,-0.047
-0.54,-17.4,-0.047
-0.55,-16.5,-0.047
-0.53,-15.8,-0.046
-0.52,-15.2,-0.045
-0.51,-14.6,-0.044
-0.49,-15.3,-0.043
-0.5,-16.2,-0.043
-0.5,-17,-0.043
-0.51,-17.8,-0.044
-0.52,-18.4,-0.046
-0.53,-17.8,-0.046
-0.53,-17,-0.046
-0.53,-16,-0.046
-0.52,-15.4,-0.045
-0.51,-14.9,-0.044
-0.49,-14.1,-0.042
-0.47,-13.6,-0.041
-0.46,-14.2,-0.04
-0.46,-14.7,-0.04
-0.46,-15.3,-0.04
-0.44,-14.7,-0.038
-0.45,-14.1,-0.039
-0.45,-13.5,-0.039
-0.45,-13,-0.039
-0.43,-12.3,-0.037
-0.42,-11.8,-0.037
-0.4,-11.4,-0.035
-0.4,-11.9,-0.035
-0.4,-11.2,-0.035
-0.38,-10.7,-0.033
-0.37,-10,-0.032
-0.35,-9.5,-0.03
-0.33,-10.2,-0.029
-0.33,-10.7,-0.029
-0.33,-11.3,-0.028
-0.33,-10.8,-0.028
-0.32,-10.1,-0.028
-0.32,-9.3,-0.028
-0.29,-8.7,-0.026
-0.28,-8.1,-0.024
-0.26,-7.5,-0.023
-0.26,-8,-0.023
-0.26,-7.3,-0.023
-0.25,-6.7,-0.021
-0.22,-6.1,-0.02
-0.21,-5.6,-0.018
-0.19,-5.1,-0.016
-0.17,-4.7,-0.014
-0.15,-4.1,-0.013
-0.13,-3.7,-0.012
-0.12,-3.1,-0.01
-0.09,-2.8,-0.007
-0.07,-2.3,-0.006
-0.07,-1.8,-0.006
-0.05,-1.3,-0.005
-0.03,-0.9,-0.003
-0.02,-0.4,-0.001
0,0.1,0
0.02,0.5,0.002
0.04,1,0.003
0.05,1.4,0.005
0.06,1.9,0.006
0.08,2.5,0.007
0.11,3,0.009
0.14,3.4,0.012
0.16,3.9,0.014
0.17,4.4,0.015
0.19,4.9,0.017
0.22,5.3,0.019
0.24,5.9,0.021
0.27,6.5,0.023
0.28,6.9,0.025
0.31,7.3,0.027
0.33,7.7,0.029
0.36,8,0.032
0.37,8.6,0.033
0.39,9,0.034
0.42,9.5,0.037
0.45,9.8,0.039
0.47,10.3,0.041
0.49,10.7,0.043
0.52,11.1,0.045
0.54,11.5,0.047
0.58,11.9,0.05
0.61,12.3,0.053
0.63,12.7,0.055
0.66,13.1,0.057
0.69,13.3,0.06
0.71,13.8,0.062
0.75,13.9,0.065
0.78,14.2,0.068
0.82,14.4,0.072
0.86,14.6,0.075
0.88,15,0.077
0.93,15.2,0.08
0.97,15.5,0.084
1.01,15.3,0.088
1.03,15.8,0.089
1.07,16,0.093
1.11,16,0.097
1.16,16.1,0.101
1.2,16.3,0.105
1.21,15.8,0.106
1.23,16.3,0.107
1.27,15.9,0.111
1.27,15.3,0.11
1.26,14.8,0.11
1.26,14.2,0.109
1.24,14.7,0.108
1.25,15.4,0.108
1.25,16,0.109
1.27,16.4,0.11
1.27,15.9,0.11
1.27,15.4,0.111
1.27,14.9,0.111
1.27,14.4,0.111
1.28,13.8,0.111
1.26,13.3,0.11
1.26,12.8,0.109
1.24,12.2,0.108
1.25,11.7,0.108
1.22,11.3,0.106
1.2,10.8,0.105
1.19,10.3,0.103
1.18,9.8,0.102
1.17,9.3,0.101
1.16,8.8,0.101
1.15,8.3,0.1
1.13,7.8,0.098
1.11,7.3,0.097
1.1,6.8,0.095
1.09,6.3,0.095
1.07,5.8,0.093
1.06,5.3,0.092
1.04,4.8,0.091
1.03,4.3,0.089
1.03,3.8,0.089
1,3.4,0.087
0.99,2.9,0.086
0.96,2.4,0.084
0.95,1.9,0.083
0.93,1.5,0.081
0.92,1,0.08
0.9,0.5,0.078
0.89,-0,0.077
0.87,-0.6,0.076
0.86,-1.1,0.075
0.85,-1.6,0.074
0.83,-2,0.072
0.81,-2.7,0.07
0.79,-3.4,0.068
0.76,-3.9,0.066
0.74,-4.3,0.065
0.74,-3.8,0.064
0.74,-3.3,0.064
0.74,-4,0.064
0.73,-4.6,0.063
0.71,-5.2,0.062
0.7,-5.6,0.061
0.69,-6.1,0.06
0.66,-6.5,0.058
0.65,-7.1,0.056
0.63,-7.6,0.054
0.61,-8.1,0.053
0.61,-8.6,0.053
0.58,-8.9,0.051
0.56,-9.4,0.049
0.54,-9.8,0.047
0.53,-10.3,0.046
0.51,-10.7,0.044
0.49,-11.2,0.042
0.47,-11.7,0.041
0.45,-12.1,0.039
0.42,-12.6,0.037
0.41,-13,0.035
0.39,-13.5,0.034
0.38,-14.1,0.033
0.35,-14.4,0.03
0.33,-14.8,0.028
0.3,-15.3,0.026
0.28,-15.7,0.024
0.25,-16.1,0.022
0.23,-16.6,0.02
0.21,-17.1,0.018
0.19,-17.5,0.016
0.16,-17.9,0.014
0.14,-18.4,0.012
0.11,-18.8,0.01
0.09,-19.2,0.008
0.05,-19.3,0.004
0.03,-19.8,0.003
0.01,-20.2,0.001
-0.03,-20.4,-0.003
-0.06,-20.8,-0.005
-0.08,-21.2,-0.007
-0.11,-21.5,-0.01
-0.14,-21.1,-0.012
-0.16,-21.6,-0.014
-0.19,-21.9,-0.017
-0.23,-21.9,-0.02
-0.26,-22.3,-0.023
-0.3,-22.2,-0.026
-0.33,-22.6,-0.029
-0.36,-22.4,-0.031
-0.37,-22.8,-0.033
-0.41,-23,-0.035
-0.43,-22.4,-0.037
-0.43,-23,-0.038
-0.45,-22.5,-0.04
-0.46,-21.9,-0.04
-0.46,-21.4,-0.04
-0.46,-20.9,-0.04
-0.45,-21.6,-0.039
-0.45,-22.1,-0.039
-0.45,-22.8,-0.039
-0.47,-23.4,-0.041
-0.46,-22.9,-0.04
-0.47,-22.3,-0.041
-0.47,-21.8,-0.041
-0.48,-21.2,-0.042
-0.48,-20.5,-0.041
-0.48,-21.1,-0.042
