Test unit;CT01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0.054124151;8.290590562;0.0037327
0.054069143;8.187315993;0.003728906
0.054074179;8.079985078;0.003729254
0.054145867;7.965393304;0.003734198
0.054215655;7.858062389;0.003739011
0.054306499;7.750772037;0.003745276
0.054332591;7.642143091;0.003747075
0.054324743;7.531445408;0.003746534
0.054331346;7.420260964;0.003746989
0.054245875;7.306074823;0.003741095
0.054110441;7.185155148;0.003731755
0.054030011;7.066669281;0.003726208
0.053873184;6.95658005;0.003715392
0.053692162;6.845192788;0.003702908
0.053486943;6.730884956;0.003688755
0.053294604;6.616820505;0.00367549
0.053027767;6.499876049;0.003657087
0.052743346;6.38126849;0.003637472
0.052452314;6.264040089;0.003617401
0.052213151;6.148231409;0.003600907
0.052025858;6.029461596;0.00358799
0.051872842;5.903836558;0.003577437
0.051654743;5.787743933;0.003562396
0.051402704;5.67015046;0.003545014
0.051158841;5.548784585;0.003528196
0.050897058;5.432164635;0.003510142
0.050664519;5.313110877;0.003494105
0.050462789;5.192637397;0.003480192
0.050240005;5.074476035;0.003464828
0.050044896;4.952542271;0.003451372
0.049867379;4.833934711;0.00343913
0.049660974;4.709202068;0.003424895
0.04950173;4.577451946;0.003413912
0.049363549;4.443998158;0.003404383
0.04921092;4.307542675;0.003393857
0.048995463;4.163785768;0.003378997
0.048783499;4.015526317;0.003364379
0.048541953;3.875298431;0.003347721
0.048295356;3.741885207;0.003330714
0.047950078;3.60141394;0.003306902
0.04752562;3.457778723;0.003277629
0.047070013;3.323026905;0.003246208
0.04658239;3.180649155;0.003212579
0.046065537;3.039772254;0.003176934
0.045505014;2.901531977;0.003138277
0.044887582;2.766577341;0.003095695
0.044205422;2.630000166;0.00304865
0.043515082;2.495694545;0.00300104
0.042795508;2.363619914;0.002951414
0.04199485;2.232883877;0.002896197
0.041161826;2.104459957;0.002838747
0.040308955;1.983945912;0.002779928
0.039325047;1.861403694;0.002712072
0.038269796;1.740808521;0.002639296
0.037157648;1.626419559;0.002562596
0.03604046;1.514829475;0.002485549
0.034929539;1.40956729;0.002408934
0.033831845;1.296435794;0.002333231
0.032682651;1.17466428;0.002253976
0.031557659;1.057882072;0.00217639
0.03050366;0.948036216;0.002103701
0.029414516;0.82695428;0.002028587
0.028372188;0.706805304;0.001956703
0.027326361;0.593511553;0.001884577
0.026306275;0.480298929;0.001814226
0.025284979;0.356986003;0.001743792
0.0243526;0.237202097;0.00167949
0.023306753;0.122123554;0.001607362
0.022281958;0.004651766;0.001536687
0.021321895;-0.110589032;0.001470475
0.020387569;-0.223355458;0.001406039
0.019440358;-0.336000194;0.001340714
0.018624185;-0.44548098;0.001284427
0.017840377;-0.55102711;0.001230371
0.017092049;-0.653571544;0.001178762
0.016376087;-0.752627521;0.001129385
0.015661686;-0.852494766;0.001080116
0.014945726;-0.950739474;0.00103074
0.014271498;-1.039897965;0.000984241
0.013577778;-1.125892507;0.000936398
0.012835312;-1.21014282;0.000885194
0.012116656;-1.281453388;0.000835631
0.011389813;-1.351790433;0.000785504
0.010685967;-1.430199608;0.000736963
0.009964172;-1.504390182;0.000687184
0.00927788;-1.571279333;0.000639854
0.008563902;-1.634680027;0.000590614
0.008032804;-1.697756212;0.000553986
0.007500146;-1.760345637;0.000517251
0.007024031;-1.820582381;0.000484416
0.006546346;-1.880494616;0.000451472
0.006112735;-1.947667712;0.000421568
0.005654553;-2.008269527;0.000389969
0.005228733;-2.071751349;0.000360602
0.004811494;-2.143873188;0.000331827
0.004428178;-2.214940377;0.000305392
0.004051091;-2.27903065;0.000279386
0.003622153;-2.343526559;0.000249804
0.003234166;-2.418001079;0.000223046
0.002957693;-2.491096442;0.000203979
0.002715534;-2.568734912;0.000187278
0.002488189;-2.653512552;0.000171599
0.002260843;-2.735410187;0.00015592
0.002029981;-2.81085823;0.000139999
0.001857618;-2.89036262;0.000128112
0.00166068;-2.967595457;0.00011453
0.001436441;-3.050020416;0.0000990649
0.001121727;-3.136907357;0.0000773605
0.000803487;-3.216898508;0.0000554129
0.00036864;-3.296605716;0.0000254234
-0.0000677703;-3.378908985;-0.00000467381
-0.000566199;-3.453221251;-0.0000390482
-0.001072424;-3.535078322;-0.0000739603
-0.001604793;-3.610850873;-0.000110675
-0.002184761;-3.675792979;-0.000150673
-0.002837658;-3.74020776;-0.000195701
-0.003498353;-3.810747624;-0.000241266
-0.004083012;-3.879421569;-0.000281587
-0.004719933;-3.941159161;-0.000325513
-0.005478137;-4.004600419;-0.000377803
-0.006294849;-4.064147585;-0.000434128
-0.007117787;-4.128643493;-0.000490882
-0.007936063;-4.191963061;-0.000547315
-0.008778522;-4.257473056;-0.000605415
-0.009716534;-4.32566024;-0.000670106
-0.010652583;-4.400499832;-0.000734661
-0.011606578;-4.47095857;-0.000800454
-0.012570323;-4.540119277;-0.000866919
-0.013520795;-4.617473805;-0.000932469
-0.014466188;-4.698397917;-0.000997668
-0.015432646;-4.779849355;-0.00106432
-0.016340601;-4.8637346;-0.001126938
-0.017287563;-4.942671103;-0.001192246
-0.018208387;-5.026191278;-0.001255751
-0.019021945;-5.117661892;-0.001311858
-0.01981247;-5.21655562;-0.001366377
-0.02059013;-5.3160578;-0.001420009
-0.021445806;-5.409597151;-0.001479021
-0.022330324;-5.50638158;-0.001540022
-0.023205093;-5.604139531;-0.001600351
-0.024042404;-5.706602845;-0.001658097
-0.024936651;-5.804482487;-0.001719769
-0.025835568;-5.903741288;-0.001781763
-0.026724734;-6.005312206;-0.001843085
-0.027577974;-6.107978337;-0.001901929
-0.028402387;-6.203545863;-0.001958785
-0.029187789;-6.303250862;-0.002012951
-0.029984496;-6.406119811;-0.002067896
-0.030797604;-6.505175795;-0.002123973
-0.031542873;-6.602000788;-0.002175371
-0.032305646;-6.703125508;-0.002227976
-0.033123399;-6.80554826;-0.002284372
-0.033877974;-6.910120875;-0.002336412
-0.034666471;-7.017248989;-0.002390791
-0.035563366;-7.125918515;-0.002452646
-0.036468898;-7.224203794;-0.002515096
-0.037408354;-7.322407946;-0.002579886
-0.038282652;-7.428562537;-0.002640183
-0.039144082;-7.535487834;-0.002699592
-0.039955184;-7.644562996;-0.00275553
-0.040788883;-7.754895625;-0.002813026
-0.041559416;-7.865593325;-0.002866167
-0.042329951;-7.977913565;-0.002919307
-0.043135942;-8.0911262;-0.002974893
-0.043893614;-8.203284186;-0.003027146
-0.04464464;-8.321364438;-0.003078941
-0.045418269;-8.441067229;-0.003132294
-0.046186783;-8.562838757;-0.003185295
-0.046969711;-8.686516769;-0.00323929
-0.047778352;-8.813358731;-0.003295059
-0.048517612;-8.937807449;-0.003346042
-0.049222954;-9.06217504;-0.003394687
-0.050020287;-9.192708279;-0.003449675
-0.05080476;-9.320604892;-0.003503777
-0.051570181;-9.439739797;-0.003556564
-0.052335156;-9.566257252;-0.003609321
-0.05311607;-9.698656411;-0.003663177
-0.053932906;-9.826066263;-0.003719511
-0.054732252;-9.946215255;-0.003774638
-0.055563954;-10.0674189;-0.003831997
-0.056345801;-10.18310591;-0.003885917
-0.057148703;-10.29700813;-0.00394129
-0.05798552;-10.41261401;-0.003999001
-0.058736548;-10.52866609;-0.004050796
-0.059519933;-10.64382578;-0.004104823
-0.060353184;-10.76129758;-0.004162289
-0.061212601;-10.8730905;-0.004221559
-0.062054514;-10.97936679;-0.004279622
-0.062881544;-11.09282281;-0.004336658
-0.063731169;-11.20704954;-0.004395253
-0.064624452;-11.32030275;-0.004456859
-0.065493107;-11.43757174;-0.004516766
-0.066310349;-11.54660634;-0.004573128
-0.067145083;-11.66217166;-0.004630695
-0.067927467;-11.79047392;-0.004684653
-0.068709839;-11.91974969;-0.00473861
-0.069455197;-12.04395504;-0.004790014
-0.070205204;-12.1709187;-0.004841738
-0.070974253;-12.30433195;-0.004894776
-0.071741746;-12.43689337;-0.004947707
-0.072528274;-12.5759855;-0.00500195
-0.073339449;-12.70980439;-0.005057893
-0.074121342;-12.84402891;-0.005111817
-0.074942256;-12.97703653;-0.005168431
-0.075772923;-13.10882724;-0.005225719
-0.076612265;-13.23282977;-0.005283605
-0.077393069;-13.3619433;-0.005337453
-0.078185174;-13.49280105;-0.005392081
