Test unit,SC4,
Reference,Godio et al. (2019),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
1.9408237,129.04,0.215647078
2.053767033,129.504,0.228196337
2.1258737,129.792,0.236208189
2.171727033,129.92,0.241303004
2.2050237,129.872,0.245002633
2.229197033,129.824,0.247688559
2.243830367,129.136,0.249314485
2.254337033,128.896,0.250481893
2.270207033,129.168,0.252245226
2.287370367,129.456,0.254152263
2.298570367,129.584,0.255396707
2.298247033,128.928,0.255360781
2.309437033,129.088,0.256604115
2.3251237,129.408,0.258347078
2.3380637,126.32,0.259784856
2.310800367,123.856,0.256755596
2.191547033,111.76,0.243505226
2.007407033,96.24,0.223045226
1.826917033,80,0.202990781
1.668960367,65.184,0.185440041
1.515770367,50.88,0.16841893
1.366627033,36.656,0.151847448
1.210247033,22.768,0.134471893
1.0581797,9.0192,0.117575522
0.891638367,-4.3168,0.09907093
0.735956367,-17.392,0.08177293
0.561678033,-30.688,0.06240867
0.392063367,-42.688,0.043562596
0.2154237,-54.688,0.023935967
0.023212067,-66.384,0.002579119
-0.171634967,-77.36,-0.019070552
-0.397180633,-86.816,-0.044131181
-0.6257873,-94.848,-0.069531922
-0.8600643,-102.288,-0.0955627
-1.093172967,-108.992,-0.121463663
-1.345872967,-114.272,-0.149541441
-1.653162967,-118.144,-0.183684774
-1.8762363,-118.32,-0.2084707
-1.894332967,-109.968,-0.210481441
-1.8888563,-109.952,-0.209872922
-1.826042967,-100.112,-0.202893663
-1.658129633,-80.288,-0.184236626
-1.4743463,-60.928,-0.163816256
-1.311722967,-42.752,-0.145746996
-1.144389633,-26.08,-0.127154404
-0.976159633,-10.0288,-0.108462181
-0.8544453,0.18944,-0.094938367
-0.7617513,-0.073008,-0.084639033
-0.7151233,13.7216,-0.079458144
-0.583243633,29.504,-0.064804848
-0.421544967,44.32,-0.04683833
-0.258026633,58.128,-0.028669626
-0.084863967,70.848,-0.00942933
0.095968297,82.32,0.010663144
0.283610033,92.736,0.031512226
0.4872997,102.336,0.054144411
0.713962367,109.216,0.079329152
0.9433037,115.136,0.104811522
1.158387033,120.016,0.12870967
1.367557033,124.224,0.151950781
1.5856037,127.968,0.176178189
1.809500367,131.44,0.201055596
1.919220367,131.68,0.213246707
2.138307033,135.392,0.23758967
2.363510367,135.984,0.262612263
2.540480367,138.832,0.282275596
2.9348237,140.048,0.326091522
3.199517033,140.032,0.355501893
3.387070367,140.592,0.376341152
3.7027237,142.352,0.411413744
3.8788237,139.536,0.430980411
3.866207033,136.656,0.429578559
4.152930367,138.896,0.461436707
4.1231937,135.552,0.458132633
3.973790367,126.032,0.441532263
3.7531737,112.656,0.4170193
3.5445537,99.776,0.3938393
3.3691637,88.72,0.374351522
3.1934737,76.912,0.354830411
3.0266937,65.2,0.3362993
2.8618937,53.392,0.317988189
2.699857033,41.696,0.299984115
2.545727033,30.944,0.282858559
2.3713337,19.04,0.263481522
2.198670367,7.2864,0.244296707
2.017147033,-4.2736,0.224127448
1.837020367,-15.5136,0.204113374
1.646960367,-27.584,0.182995596
1.4460737,-38.272,0.160674856
1.248830367,-48.56,0.13875893
1.043768033,-58.24,0.115974226
0.8419877,-67.744,0.093554189
0.623785033,-76.224,0.069309448
0.402486033,-84.544,0.04472067
0.137040333,-93.072,0.015226704
-0.1065603,-100.656,-0.011840033
-0.368290633,-107.04,-0.040921181
-0.6194713,-112.24,-0.068830144
-0.902285967,-115.76,-0.100253996
-1.190679633,-118.208,-0.132297737
-1.491239633,-120.08,-0.165693293
-1.794092967,-121.632,-0.199343663
-2.0920263,-123.392,-0.232447367
-2.396599633,-125.12,-0.266288848
-2.713689633,-126.016,-0.30152107
-2.6490663,-107.44,-0.2943407
-2.566012967,-97.52,-0.285112552
-2.3760763,-78.88,-0.264008478
-2.1812063,-60.48,-0.242356256
-2.006392967,-42.912,-0.222932552
-1.835339633,-27.952,-0.203926626
-1.6547763,-10.7792,-0.183864033
-1.471939633,3.9376,-0.163548848
-1.307632967,17.264,-0.145292552
-1.128339633,30.544,-0.12537107
-0.939819633,43.328,-0.104424404
-0.746242633,55.472,-0.082915848
-0.5468243,66.864,-0.060758256
-0.344972967,76.4,-0.03833033
-0.118231967,87.024,-0.013136885
0.117355467,95.904,0.013039496
0.3527847,103.76,0.0391983
0.601891033,110.272,0.066876781
0.8443837,115.696,0.093820411
1.113460367,120.288,0.123717819
1.3687737,124.32,0.152085967
1.6340737,127.728,0.181563744
1.9013137,130.88,0.211257078
2.176477033,133.568,0.241830781
2.450097033,135.76,0.272233004
2.696527033,137.136,0.299614115
2.855250367,137.6,0.317250041
2.9479837,137.92,0.327553744
3.0125237,138.096,0.334724856
3.0663637,138.144,0.340707078
3.102307033,138.096,0.344700781
3.127587033,138.064,0.34750967
3.150407033,138.016,0.350045226
3.165880367,137.984,0.351764485
3.186510367,137.92,0.354056707
3.1877637,137.264,0.354195967
3.195290367,137.152,0.355032263
3.197977033,136.88,0.355330781
3.193927033,136.416,0.354880781
3.1989437,136.112,0.355438189
3.195147033,135.504,0.355016337
3.1887037,134.96,0.354300411
3.1850637,135.04,0.353895967
3.2301137,132.816,0.358901522
3.1870137,127.888,0.354112633
3.0265837,116.032,0.336287078
2.8151937,100.752,0.3127993
2.6322637,86.848,0.292473744
2.459877033,73.824,0.27331967
2.278850367,59.856,0.253205596
2.116437033,47.168,0.23515967
1.935747033,34.528,0.215083004
1.7589437,22.032,0.195438189
1.580557033,9.656,0.175617448
1.390460367,-2.6912,0.154495596
1.1966937,-14.5856,0.132965967
1.007248033,-27.648,0.111916448
0.807179367,-39.408,0.089686596
0.609885367,-50.592,0.067765041
0.4172467,-61.12,0.046360744
0.183913733,-70.752,0.020434859
-0.038053633,-78.784,-0.004228181
-0.274799633,-87.36,-0.030533293
-0.5410933,-95.536,-0.060121478
-0.800969633,-102.88,-0.088996626
-1.0537563,-108.32,-0.117084033
-1.343852967,-113.072,-0.149316996
-1.637252967,-116.608,-0.181916996
-1.940149633,-120.56,-0.215572181
-2.259689633,-124.16,-0.251076626
-2.6618163,-125.792,-0.295757367
-3.0040463,-117.44,-0.333782922
-2.9802063,-112.976,-0.331134033
-2.811839633,-96.48,-0.312426626
-2.604419633,-77.648,-0.289379959
-2.413272967,-58.336,-0.268141441
-2.233559633,-41.264,-0.248173293
-2.053432967,-25.76,-0.228159219
-1.869109633,-10.7488,-0.207678848
-1.677552967,2.6736,-0.186394774
-1.602892967,8.8272,-0.178099219
-1.431119633,22.848,-0.159013293
-1.245202967,35.408,-0.138355885
-1.053412967,47.568,-0.117045885
-0.858881967,59.904,-0.09543133
-0.6321263,71.216,-0.070236256
-0.4242393,80.704,-0.0471377
-0.2187383,89.776,-0.024304256
0.007962,98.144,0.000884667
0.254163033,105.44,0.028240337
0.502323033,111.712,0.05581367
0.760960367,116.656,0.084551152
0.9924067,120.88,0.110267411
1.241470367,124.48,0.137941152
1.4770137,127.68,0.164112633
1.715327033,130.576,0.190591893
1.946490367,133.136,0.216276707
2.253937033,135.808,0.250437448
2.560790367,137.632,0.284532263
2.779707033,138.528,0.308856337
2.9218737,138.96,0.324652633
3.0159337,139.28,0.335103744
3.0904837,139.408,0.343387078
3.140207033,139.408,0.348911893
3.180317033,139.264,0.353368559
3.2105037,139.36,0.356722633
3.2365237,139.344,0.359613744
3.2589137,139.328,0.362101522
3.2778937,139.296,0.364210411
3.294520367,139.264,0.366057819
3.3069637,139.232,0.367440411
3.3250137,139.2,0.369445967
3.3189437,138.256,0.368771522
3.3217837,138.224,0.369087078
3.3297337,138.384,0.369970411
3.3428837,138.752,0.371431522
3.3507937,138.864,0.372310411
3.361150367,138.832,0.373461152
3.370690367,138.816,0.374521152
3.372117033,138.784,0.37467967
3.377760367,138.736,0.375306707
3.387827033,138.72,0.376425226
3.379387033,137.936,0.375487448
3.384550367,137.776,0.376061152
3.412317033,136.576,0.379146337
3.170287033,118,0.352254115
2.667227033,84.896,0.296358559
2.221560367,54.064,0.246840041
1.771450367,25.52,0.196827819
1.307750367,-3.0336,0.145305596
