Test unit,test 1
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-14.68,-52.1,-0.772
-15.07,-51.6,-0.793
-15.07,-51.1,-0.793
-14.68,-50.6,-0.772
-14.68,-49.1,-0.772
-13.88,-48.1,-0.731
-13.88,-47.6,-0.731
-13.49,-47.1,-0.71
-13.1,-46.6,-0.69
-12.71,-46.6,-0.669
-12.32,-46.6,-0.649
-11.93,-46.1,-0.628
-11.54,-46.1,-0.607
-11.15,-45.6,-0.587
-10.76,-45.1,-0.566
-10.37,-44.6,-0.546
-9.59,-43.6,-0.505
-9.59,-43.1,-0.505
-8.81,-42.1,-0.464
-8.81,-41.1,-0.464
-8.41,-40.6,-0.443
-7.63,-39.7,-0.401
-7.63,-38.6,-0.401
-7.24,-38.2,-0.381
-7.24,-37.7,-0.381
-6.85,-37.2,-0.36
-6.85,-36.2,-0.36
-6.06,-35.2,-0.319
-6.06,-33.7,-0.319
-5.67,-33.2,-0.299
-5.67,-32.2,-0.299
-5.28,-31.7,-0.278
-5.28,-30.2,-0.278
-4.89,-29.7,-0.257
-4.89,-28.7,-0.257
-4.5,-28.2,-0.237
-4.5,-26.7,-0.237
-4.11,-26.2,-0.216
-4.11,-24.2,-0.216
-3.72,-23.7,-0.196
-3.72,-22.2,-0.196
-3.33,-21.7,-0.175
-3.33,-19.7,-0.175
-2.93,-19.2,-0.154
-2.93,-17.2,-0.154
-2.54,-16.7,-0.134
-2.54,-14.7,-0.134
-2.15,-14.2,-0.113
-2.15,-12.2,-0.113
-1.76,-11.7,-0.093
-1.76,-9.3,-0.093
-1.37,-8.8,-0.072
-1.37,-6.8,-0.072
-0.98,-6.3,-0.051
-0.98,-3.8,-0.051
-0.59,-3.3,-0.031
-0.59,-1.3,-0.031
-0.2,-0.8,-0.01
-0.2,-0.3,-0.01
NaN,NaN,NaN
-0.2,0.2,-0.01
-0.2,1.7,-0.01
0.2,2.2,0.01
0.2,4.7,0.01
0.59,5.2,0.031
0.59,7.2,0.031
0.98,7.7,0.051
0.98,9.7,0.051
1.37,10.2,0.072
1.37,12.7,0.072
1.76,13.2,0.093
1.76,15.2,0.093
2.15,15.7,0.113
2.15,18.2,0.113
2.55,18.6,0.134
2.55,20.6,0.134
2.94,21.1,0.155
2.94,23.1,0.155
3.33,23.6,0.175
3.33,26.1,0.175
3.72,26.6,0.196
3.72,28.6,0.196
4.11,29.1,0.216
4.11,31.1,0.216
4.5,31.6,0.237
4.5,33.1,0.237
4.89,33.6,0.257
4.89,35.1,0.257
5.28,35.6,0.278
5.28,37.1,0.278
5.67,37.6,0.299
5.67,38.6,0.299
6.06,39.1,0.319
6.06,40.1,0.319
6.45,40.6,0.34
6.45,41.6,0.34
6.85,42.1,0.36
6.85,43.1,0.36
7.62,44.1,0.401
