Test unit,M17
Reference,Pinho et al. (2012)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.56,-26.6,-0.044
-0.67,-27.9,-0.052
-0.61,-28.8,-0.048
-0.77,-29.7,-0.06
-0.77,-31.9,-0.06
-1.03,-32.8,-0.081
-0.97,-33.2,-0.076
-0.97,-33.6,-0.076
-0.97,-30.1,-0.076
-1.13,-30.1,-0.088
-1.08,-27.5,-0.084
-1.03,-25.8,-0.081
-1.03,-21.4,-0.081
-0.92,-21.4,-0.072
-0.97,-18.7,-0.076
-0.97,-17.4,-0.076
-0.87,-15.2,-0.068
-0.92,-14.4,-0.072
-0.82,-12.6,-0.064
-0.87,-10.9,-0.068
-0.77,-10,-0.06
-0.77,-7.8,-0.06
-0.72,-7.4,-0.056
-0.72,-5.2,-0.056
-0.67,-4.3,-0.052
-0.67,-2.5,-0.052
-0.61,-2.1,-0.048
-0.51,-0.3,-0.04
-0.51,0.5,-0.04
NaN,NaN,NaN
-0.36,0.1,-0.028
-0.31,2.7,-0.024
-0.41,0.9,-0.032
-0.31,2.7,-0.024
-0.41,1.4,-0.032
-0.31,2.7,-0.024
-0.41,1.9,-0.032
-0.36,2.3,-0.028
-0.36,3.6,-0.028
-0.31,5.8,-0.024
-0.36,6.6,-0.028
-0.26,8.4,-0.02
-0.31,8.8,-0.024
-0.26,10.2,-0.02
-0.15,11.9,-0.012
-0.15,12.8,-0.012
-0.1,14.1,-0.008
-0.1,15.4,-0.008
-0.05,16.7,-0.004
0,18.9,0
0.05,19.4,0.004
0.1,21.1,0.008
0.16,22,0.012
0.26,23.7,0.02
0.26,24.6,0.02
0.31,25.9,0.024
0.36,27.2,0.028
0.47,28.6,0.036
0.47,29,0.036
0.51,30.3,0.04
0.51,31.6,0.04
0.62,32.1,0.049
0.67,33.4,0.052
0.67,34.3,0.052
0.77,35.6,0.061
0.77,36,0.061
0.87,36.9,0.069
0.98,37.3,0.077
0.98,37.8,0.077
1.03,39.1,0.081
1.03,39.5,0.081
1.39,37.8,0.109
1.34,37.8,0.105
1.39,37.8,0.109
1.39,39.5,0.109
1.49,38.6,0.117
1.54,40.4,0.121
1.64,39.5,0.129
1.8,41.3,0.141
1.75,40,0.137
1.85,40,0.145
1.9,40.8,0.149
1.85,37.8,0.145
1.95,36.9,0.153
1.85,34.7,0.145
1.9,32.9,0.149
1.85,32.5,0.145
1.8,29.9,0.141
1.85,29.4,0.145
1.75,27.2,0.137
1.8,26.8,0.141
1.7,23.7,0.133
1.75,22.4,0.137
1.64,21.5,0.129
1.64,18.9,0.129
1.59,17.6,0.125
1.59,16.3,0.125
1.44,14.5,0.113
1.54,13.7,0.121
1.39,12.3,0.109
1.39,10.6,0.109
1.28,9.7,0.101
1.24,8,0.097
1.24,7.1,0.097
1.13,5.4,0.089
1.24,4.9,0.097
1.08,3.6,0.085
1.13,2.7,0.089
1.03,1.9,0.081
1.03,1.4,0.081
0.87,1.4,0.069
0.93,1.4,0.073
0.87,1.4,0.069
0.98,1.4,0.077
0.93,1.4,0.073
0.87,0.5,0.069
0.87,1.4,0.069
0.93,0.9,0.073
0.87,0.5,0.069
0.93,0.9,0.073
0.98,0.9,0.077
