Test unit,T1-2
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.35,-15.7,-0.028
-0.25,-10.6,-0.02
-0.06,-2.8,-0.005
0.05,2.8,0.004
0.2,9.1,0.016
0.33,14.4,0.027
0.47,20,0.038
0.6,25,0.048
0.71,29.4,0.057
0.84,34.1,0.067
0.95,37.9,0.076
1.05,41.3,0.084
1.15,44.1,0.092
1.23,47.3,0.099
1.3,49.5,0.104
1.36,51.7,0.109
1.41,52.3,0.113
1.45,53.5,0.116
1.48,54.8,0.118
1.49,53.2,0.119
1.49,50.4,0.119
1.46,45.7,0.116
1.41,43.8,0.113
1.36,41,0.109
1.3,38.5,0.104
1.23,35.7,0.099
1.15,31.9,0.092
1.05,28.5,0.084
0.95,24.1,0.076
0.84,20,0.067
0.72,15.3,0.057
0.6,10.3,0.048
0.46,5.3,0.037
0.34,0.3,0.027
0.2,-5.6,0.016
0.09,-10.3,0.007
-0.02,-13.8,-0.002
0,-10.6,0
0,-10.3,0
0.01,-10,0.001
0,-10.3,0
0.01,-10.3,0.001
-0.15,-20.7,-0.012
-0.29,-26.3,-0.023
-0.43,-31.3,-0.034
-0.55,-36,-0.044
-0.67,-41,-0.054
-0.79,-45.4,-0.063
-0.79,-45.4,-0.063
-0.9,-49.2,-0.072
-1.02,-53.2,-0.081
-1.11,-55.4,-0.089
-1.21,-58.5,-0.097
-1.27,-60.4,-0.102
-1.34,-62.6,-0.107
-1.38,-63.9,-0.11
-1.43,-65.4,-0.115
-1.47,-66.1,-0.117
-1.48,-66.4,-0.118
-1.48,-66.7,-0.118
-1.48,-63.9,-0.118
-1.45,-59.8,-0.116
-1.4,-58.2,-0.112
-1.37,-56.7,-0.11
-1.31,-54.2,-0.104
-1.24,-51.3,-0.099
-1.17,-48.5,-0.093
-1.07,-44.8,-0.086
-0.97,-41,-0.078
-0.87,-36.6,-0.069
-0.74,-32.2,-0.059
-0.62,-27.5,-0.05
-0.49,-21.6,-0.039
-0.37,-16.3,-0.03
-0.25,-11.3,-0.02
-0.09,-4.1,-0.007
0.04,1.9,0.003
0.18,7.5,0.015
0.32,13.1,0.026
0.45,18.5,0.036
0.59,23.2,0.047
0.7,27.5,0.056
0.84,32.9,0.067
0.93,36.3,0.075
1.05,40.4,0.084
1.13,43.2,0.091
1.22,45.4,0.098
1.28,47.6,0.103
1.36,50.1,0.109
1.4,52,0.112
1.45,52,0.116
1.48,52.9,0.118
1.49,53.5,0.119
1.49,51,0.119
1.46,44.1,0.116
1.42,42.6,0.114
1.38,40.4,0.11
1.31,37.9,0.104
1.24,34.7,0.099
1.17,31.6,0.093
1.07,28.2,0.086
0.96,24.1,0.077
0.86,20,0.069
0.74,15.3,0.059
0.62,11,0.05
0.49,6.3,0.039
0.36,0.9,0.029
0.22,-4.1,0.018
0.1,-10,0.008
-0.01,-14.4,-0.001
-0.01,-11,-0.001
0,-9.7,0
0,-10,0
0.01,-10.3,0.001
0,-10.6,0
0,-11,0
0.01,-10.6,0.001
0,-11,0
0,-11.3,0
0,-10.6,0
0.01,-10.3,0.001
0,-10.6,0
0,-11,0
-0.11,-18.5,-0.009
-0.32,-27.5,-0.026
-0.49,-34.1,-0.039
-0.67,-41,-0.054
-0.85,-47,-0.068
-1.02,-52.9,-0.081
-1.17,-57,-0.093
-1.32,-61.4,-0.105
-1.45,-65.4,-0.116
-1.57,-69.2,-0.126
-1.69,-71.1,-0.135
-1.78,-72.6,-0.142
-1.85,-73.6,-0.148
-1.92,-74.5,-0.153
-1.97,-75.1,-0.158
-2.01,-75.1,-0.161
-2,-73.9,-0.16
-1.98,-70.1,-0.158
-1.95,-68.6,-0.156
-1.9,-67,-0.152
-1.81,-63.9,-0.145
-1.72,-60.7,-0.138
-1.63,-57.3,-0.13
-1.51,-53.5,-0.121
-1.38,-49.2,-0.11
-1.23,-44.5,-0.099
-1.09,-38.8,-0.087
-0.92,-32.9,-0.074
-0.75,-26.3,-0.06
