Test unit,RS5,
Reference,Rezaie et al. (2020),
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.359329167,9.88,0.022458073
0.389836476,10.53,0.02436478
0.427604855,11.18,0.026725303
0.458236688,11.85,0.028639793
0.491901866,12.55,0.030743867
0.526006651,13.24,0.032875416
0.557419697,13.95,0.034838731
0.594467363,14.62,0.03715421
0.624731314,15.32,0.039045707
0.660892676,15.96,0.041305792
0.694847033,16.56,0.04342794
0.732423853,17.11,0.045776491
0.770369065,17.65,0.048148067
0.805585661,18.16,0.050349104
0.842177324,18.66,0.052636083
0.879208633,19.12,0.05495054
0.912493582,19.56,0.057030849
0.95401393,20.01,0.059625871
0.988394734,20.45,0.061774671
1.021528913,20.89,0.063845557
1.060951174,21.35,0.066309448
1.097478003,21.78,0.068592375
1.134290665,22.21,0.070893167
1.169516003,22.62,0.07309475
1.205738706,23.04,0.075358669
1.246422621,23.45,0.077901414
1.28368118,23.87,0.080230074
1.315757014,24.28,0.082234813
1.354237127,24.68,0.08463982
1.361725967,24.6,0.085107873
1.362701135,23.39,0.085168821
1.368297106,23.43,0.085518569
1.357177567,22.84,0.084823598
1.318008108,21.69,0.082375507
1.281729817,20.74,0.080108114
1.245404012,19.84,0.077837751
1.208702234,19,0.07554389
1.176941129,18.18,0.073558821
1.143347956,17.39,0.071459247
1.108851195,16.63,0.0693032
1.071027366,15.89,0.06693921
1.03612168,15.17,0.064757605
1.002654672,14.48,0.062665917
0.970633091,13.79,0.060664568
0.931307766,13.1,0.058206735
0.900727548,12.44,0.056295472
0.86448377,11.79,0.054030236
0.830260603,11.15,0.051891288
0.790418644,10.53,0.049401165
0.756866657,9.918,0.047304166
0.724646963,9.316,0.045290435
0.685015034,8.715,0.04281344
0.65352735,8.106,0.040845459
0.614443336,7.492,0.038402708
0.57892742,6.845,0.036182964
0.546996733,6.214,0.034187296
0.511986753,5.583,0.031999172
0.479341946,4.95,0.029958872
0.444725441,4.308,0.02779534
0.404102548,3.666,0.025256409
0.385048562,3.032,0.024065535
0.345946376,2.41,0.021621649
0.314749983,1.778,0.019671874
0.281291231,1.197,0.017580702
0.25409904,0.5854,0.01588119
0.218505379,-0.01406,0.013656586
0.191141638,-0.6289,0.011946352
0.162427226,-1.253,0.010151702
0.130063876,-1.837,0.008128992
0.109554806,-2.4,0.006847175
0.084355896,-2.973,0.005272244
0.050880197,-3.624,0.003180012
0.027111658,-4.308,0.001694479
-0.007640078,-5.002,-0.000477505
-0.041857824,-5.702,-0.002616114
-0.073474042,-6.376,-0.004592128
-0.103698504,-7.068,-0.006481156
-0.132815804,-7.751,-0.008300988
-0.166826383,-8.46,-0.010426649
-0.202441508,-9.145,-0.012652594
-0.234538071,-9.841,-0.014658629
-0.2649979,-10.57,-0.016562369
-0.293714866,-11.33,-0.018357179
-0.329906341,-12.07,-0.020619146
-0.360895775,-12.83,-0.022555986
-0.397813917,-13.58,-0.02486337
-0.426105987,-14.33,-0.026631624
-0.461675541,-15.08,-0.028854721
-0.494621208,-15.82,-0.030913825
-0.529347096,-16.55,-0.033084194
-0.560665221,-17.26,-0.035041576
-0.596682124,-17.93,-0.037292633
-0.630571086,-18.58,-0.039410693
-0.663232463,-19.2,-0.041452029
-0.702571167,-19.74,-0.043910698
-0.735064578,-20.28,-0.045941536
-0.771414953,-20.78,-0.048213435
-0.80267881,-21.26,-0.050167426
-0.838502013,-21.71,-0.052406376
-0.871273952,-22.13,-0.054454622
-0.91482687,-22.54,-0.057176679
-0.955289328,-22.94,-0.059705583
-0.992205743,-23.35,-0.062012859
-1.026738453,-23.73,-0.064171153
-1.065600875,-24.12,-0.066600055
-1.104474359,-24.5,-0.069029647
-1.141964652,-24.86,-0.071372791
-1.184103641,-25.2,-0.074006478
-1.217888864,-25.53,-0.076118054
-1.253673547,-25.85,-0.078354597
-1.291806146,-26.16,-0.080737884
-1.315600026,-24.83,-0.082225002
-1.284766614,-24.02,-0.080297913
-1.252481512,-23.09,-0.078280095
-1.215705687,-22.2,-0.075981605
-1.179120063,-21.35,-0.073695004
-1.145108921,-20.54,-0.071569308
-1.113371927,-19.74,-0.069585745
-1.07460682,-18.96,-0.067162926
-1.048511371,-18.18,-0.065531961
-1.007735113,-17.39,-0.062983445
-0.967220807,-16.6,-0.0604513
-0.934616504,-15.82,-0.058413531
-0.900448375,-15.05,-0.056278023
-0.870718089,-14.3,-0.054419881
-0.833127965,-13.53,-0.052070498
-0.799316888,-12.78,-0.049957306
-0.767374518,-12.02,-0.047960907
-0.72857548,-11.25,-0.045535968
-0.701700098,-10.5,-0.043856256
-0.669227313,-9.765,-0.041826707
-0.632106349,-9.039,-0.039506647
-0.595617651,-8.334,-0.037226103
-0.56976854,-7.629,-0.035610534
-0.531194214,-6.95,-0.033199638
-0.505264298,-6.258,-0.031579019
-0.466876598,-5.552,-0.029179787
-0.43793506,-4.865,-0.027370941
-0.404493846,-4.196,-0.025280865
-0.374309118,-3.54,-0.02339432
-0.338157094,-2.887,-0.021134818
-0.305609476,-2.257,-0.019100592
-0.278299766,-1.618,-0.017393735
-0.243535504,-0.994,-0.015220969
-0.216897557,-0.368,-0.013556097
-0.178074565,0.2674,-0.01112966
-0.146292114,0.8745,-0.009143257
-0.116831274,1.489,-0.007301955
-0.089847204,2.024,-0.00561545
-0.062747928,2.512,-0.003921745
-0.029938488,3.035,-0.001871156
-0.00014137,3.596,-8.83564E-06
0.030369755,4.175,0.00189811
0.058180389,4.736,0.003636274
0.091044474,5.267,0.00569028
0.120776562,5.832,0.007548535
0.157695476,6.367,0.009855967
0.189471971,6.91,0.011841998
0.221296162,7.457,0.01383101
0.253243416,8.002,0.015827713
0.290515608,8.537,0.018157226
0.319367932,9.054,0.019960496
0.358548006,9.552,0.02240925
0.394774236,10.08,0.02467339
0.429781207,10.6,0.026861325
0.461700532,11.13,0.028856283
0.498989863,11.67,0.031186866
0.533693482,12.23,0.033355843
0.575345425,12.76,0.035959089
0.605062403,13.3,0.0378164
0.647664408,13.82,0.040479026
0.677653202,14.38,0.042353325
0.71642667,14.94,0.044776667
0.750907159,15.51,0.046931697
0.790694413,16.07,0.049418401
0.822915191,16.62,0.051432199
0.854431311,17.18,0.053401957
0.885682708,17.76,0.055355169
0.927514734,18.31,0.057969671
0.958571798,18.87,0.059910737
0.992990943,19.45,0.062061934
1.03169905,20.02,0.064481191
1.058063962,20.6,0.066128998
1.102946535,21.2,0.068934158
1.135833174,21.78,0.070989573
1.172139484,22.36,0.073258718
1.204999849,22.93,0.075312491
1.242079106,23.49,0.077629944
1.274116341,24.02,0.079632271
1.311742236,24.57,0.08198389
1.336260819,24.99,0.083516301
1.328860772,23.72,0.083053798
1.300204441,22.55,0.081262778
1.264595033,21.57,0.07903719
1.223506351,20.64,0.076469147
1.19194958,19.8,0.074496849
1.156935663,18.98,0.072308479
1.125952851,18.17,0.070372053
1.083665522,17.39,0.067729095
1.050284616,16.63,0.065642789
1.016922193,15.89,0.063557637
0.975554952,15.16,0.060972184
0.945007499,14.46,0.059062969
0.911943437,13.77,0.056996465
0.881045405,13.1,0.055065338
0.84592933,12.43,0.052870583
0.810621048,11.77,0.050663815
0.777999578,11.15,0.048624974
0.743819353,10.51,0.04648871
0.703371045,9.904,0.04396069
0.666789603,9.315,0.04167435
0.635794815,8.741,0.039737176
0.601966654,8.131,0.037622916
0.567058657,7.521,0.035441166
0.534222972,6.907,0.033388936
0.494394695,6.296,0.030899668
0.461038742,5.673,0.028814921
0.4215955,5.054,0.026349719
0.396931402,4.428,0.024808213
0.354966117,3.819,0.022185382
0.326473605,3.211,0.0204046
0.290848303,2.609,0.018178019
0.259474232,2.007,0.01621714
0.230445982,1.432,0.014402874
0.198023017,0.8565,0.012376439
0.167065048,0.275,0.010441566
0.137827915,-0.3068,0.008614245
0.104590364,-0.8971,0.006536898
0.074922175,-1.485,0.004682636
0.049716464,-2.028,0.003107279
0.02439561,-2.563,0.001524726
-0.009664577,-3.119,-0.000604036
-0.036809204,-3.718,-0.002300575
-0.065933606,-4.345,-0.00412085
-0.101229024,-4.984,-0.006326814
-0.134527199,-5.61,-0.00840795
-0.166299215,-6.259,-0.010393701
