Test unit,WI1.100
Reference,Vasconcelos and Lourenço (2009)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
12.81,35.4,0.967
14.07,35.8,1.062
14.99,35.8,1.131
15.73,36.4,1.187
17.02,36.6,1.285
18.02,36.4,1.36
18.54,35.5,1.399
17.42,34.5,1.315
16.39,34,1.237
15.82,33.7,1.194
14.74,33.1,1.113
13.97,33.1,1.054
12.73,32.3,0.961
11.82,31.2,0.892
10.78,29.6,0.813
10.04,28.4,0.758
8.96,26.5,0.676
8.22,24.2,0.62
7.58,21.6,0.572
6.98,19.6,0.527
6.35,16.9,0.479
5.99,15,0.452
5.45,12.7,0.412
4.92,9.9,0.371
4.72,7.9,0.356
4.37,7.2,0.33
3.8,3.8,0.287
3.31,0.8,0.25
2.97,-1.7,0.224
2.46,-5.3,0.185
2.02,-8.7,0.153
1.5,-11.4,0.114
1.2,-14.3,0.09
0.87,-16.7,0.065
0.37,-20.1,0.028
-0.12,-23,-0.009
-0.78,-25.7,-0.059
-1.68,-28,-0.127
-2.06,-27.5,-0.155
-2.77,-29.3,-0.209
-3.14,-31.1,-0.237
-4.05,-31.2,-0.306
-4.91,-32,-0.371
-6.23,-33.1,-0.47
-7.11,-34.2,-0.537
-8.11,-35.4,-0.612
-8.41,-34.9,-0.635
-9.35,-35.5,-0.706
-10.28,-36.4,-0.776
-10.7,-36.4,-0.807
-10.7,-36.4,-0.807
-11.05,-36.9,-0.834
-11.73,-37.3,-0.885
-12.55,-37.6,-0.947
-13.18,-37.8,-0.995
-13.57,-37.9,-1.024
-13.95,-38,-1.053
-14.43,-38,-1.089
-15.16,-38.1,-1.144
-15.77,-38.8,-1.19
-16.36,-38.5,-1.235
-16.47,-40,-1.243
-16.81,-39.3,-1.269
-17.12,-39,-1.292
-17.5,-39,-1.321
-17.72,-39.2,-1.337
NaN,NaN,NaN
-17.72,-38.9,-1.337
-17.55,-38,-1.325
-16.72,-36.9,-1.262
-16.07,-36.1,-1.213
-15.24,-35.5,-1.15
-14.41,-34.6,-1.088
-13.45,-33.2,-1.015
-12.84,-32.5,-0.969
-12.51,-32.5,-0.944
-11.69,-31.2,-0.882
-10.86,-31.5,-0.82
-9.98,-29.7,-0.754
-9.73,-30,-0.734
-9.13,-28.6,-0.689
-8.05,-27.4,-0.607
-7.09,-26,-0.535
-5.99,-24.2,-0.452
-5.22,-23.4,-0.394
-4.95,-21.9,-0.373
-4.09,-19.6,-0.309
-3.18,-16.4,-0.24
-2.48,-13.8,-0.187
-2.02,-10.5,-0.153
-1.61,-7.1,-0.122
-0.87,-1,-0.065
-0.39,2,-0.029
0.04,5.1,0.003
0.64,8.8,0.048
0.98,12.2,0.074
1.64,15.1,0.124
2.15,18.3,0.162
2.6,20.1,0.196
3.34,23.3,0.252
4.17,25.7,0.315
4.71,27.5,0.355
5.19,27.9,0.392
5.82,29.6,0.439
6.24,31.6,0.471
6.9,31.6,0.52
7.97,32.6,0.601
8.98,33.8,0.678
9.7,34.4,0.732
10.95,34.6,0.826
11.93,35.5,0.9
12.81,35.4,0.967
14.07,35.8,1.062
14.99,35.8,1.131
15.73,36.4,1.187
17.02,36.6,1.285
18.02,36.4,1.36
18.54,35.5,1.399
17.42,34.5,1.315
16.39,34,1.237
15.82,33.7,1.194
14.74,33.1,1.113
13.97,33.1,1.054
12.73,32.3,0.961
11.82,31.2,0.892
10.78,29.6,0.813
10.04,28.4,0.758
8.96,26.5,0.676
8.22,24.2,0.62
7.58,21.6,0.572
6.98,19.6,0.527
6.35,16.9,0.479
5.99,15,0.452
5.45,12.7,0.412
4.92,9.9,0.371
4.72,7.9,0.356
4.37,7.2,0.33
3.8,3.8,0.287
3.31,0.8,0.25
2.97,-1.7,0.224
2.46,-5.3,0.185
2.02,-8.7,0.153
1.5,-11.4,0.114
1.2,-14.3,0.09
0.87,-16.7,0.065
0.37,-20.1,0.028
-0.12,-23,-0.009
-0.78,-25.7,-0.059
-1.68,-28,-0.127
-2.06,-27.5,-0.155
-2.77,-29.3,-0.209
-3.14,-31.1,-0.237
-4.05,-31.2,-0.306
-4.91,-32,-0.371
-6.23,-33.1,-0.47
-7.11,-34.2,-0.537
-8.11,-35.4,-0.612
-8.41,-34.9,-0.635
-9.35,-35.5,-0.706
-10.28,-36.4,-0.776
-10.7,-36.4,-0.807
-10.7,-36.4,-0.807
-11.7,-37.2,-0.883
-13.59,-37.9,-1.026
-15.22,-38.2,-1.148
-16.37,-38.7,-1.235
-16.53,-39.4,-1.248
-17.72,-39.2,-1.337
NaN,NaN,NaN
-20.28,-39.2,-1.53
-19.47,-37.1,-1.469
-18.46,-36.4,-1.393
-17.47,-35.3,-1.318
-16.26,-34.1,-1.227
-15.49,-33.8,-1.169
-14.66,-33.1,-1.106
-13.73,-31.4,-1.036
-13.5,-31.6,-1.019
-12.47,-30.3,-0.942
-11.27,-28.8,-0.851
-10.03,-27.4,-0.757
-8.91,-25.6,-0.672
-8.22,-24.2,-0.62
-7.14,-22.1,-0.539
-6.07,-19.6,-0.458
-5.41,-17,-0.408
-4.63,-14.3,-0.35
-3.95,-10.7,-0.298
-3.43,-7.4,-0.259
-2.96,-4.3,-0.224
-2.44,-1,-0.184
-1.94,1.5,-0.146
-1.42,5,-0.107
-1.36,8.3,-0.103
-0.29,11.1,-0.022
0.12,14.4,0.009
1,18.2,0.075
1.56,20.8,0.117
2.44,23.6,0.184
3.34,25.9,0.252
4.34,28.2,0.328
5.41,30.2,0.408
6.48,32,0.489
7.31,32.6,0.552
8.38,33.4,0.633
9.4,34.2,0.71
10.28,34.6,0.776
10.58,34.4,0.798
12,35.2,0.906
12.89,35.4,0.973
14.45,35.8,1.09
15.57,36.1,1.175
16.48,36,1.244
17.63,36.1,1.331
18.84,36.2,1.422
20.55,36.3,1.551
20.94,35.5,1.58
19.7,34.4,1.487
18.95,33.4,1.43
17.99,33.9,1.358
16.64,33.7,1.256
15.6,33,1.177
14.39,32.9,1.086
13.34,32,1.007
12.51,31.6,0.944
11.49,30.5,0.867
10.7,29.6,0.807
9.79,28,0.739
9.01,26.8,0.68
8.05,24.5,0.608
7.31,21.8,0.552
6.28,18.8,0.474
5.57,16.1,0.421
5,12.8,0.378
4.25,9.9,0.321
3.65,7.2,0.276
3.11,3.7,0.235
2.63,1.2,0.199
2.23,-1.5,0.169
1.86,-4.2,0.14
1.03,-9.5,0.078
0.7,-12.3,0.053
0.04,-15.5,0.003
-0.95,-22.1,-0.072
-1.9,-24.7,-0.143
-2.6,-27.1,-0.196
-2.6,-27.1,-0.196
-6.06,-31,-0.458
-8.26,-33.1,-0.624
-10.76,-35.1,-0.812
-13.83,-36.9,-1.044
-14.78,-37.1,-1.116
-17.64,-38.4,-1.331
-19.2,-38.2,-1.449
-20.19,-38.9,-1.524
NaN,NaN,NaN
-22.75,-38.9,-1.717
-21.84,-37.4,-1.649
-20.48,-35.5,-1.546
-19.28,-34.3,-1.455
-17.96,-33.4,-1.356
-16.56,-32.3,-1.25
-15.9,-31.2,-1.2
-14.92,-30.3,-1.126
-13.86,-29.7,-1.046
-12.62,-27.5,-0.953
-12.3,-27.4,-0.928
-11.52,-25.4,-0.87
-10.55,-22.8,-0.796
-9.83,-20.3,-0.742
-9.23,-19.2,-0.696
-8.88,-15.6,-0.67
-8.55,-13.9,-0.645
-8.05,-10.9,-0.608
-7.8,-9.9,-0.589
-7.53,-8.4,-0.568
-6.9,-4.9,-0.52
-6.32,-1.5,-0.477
-5.93,1.2,-0.448
-5.27,5,-0.397
-4.72,8.2,-0.356
