Test unit,S2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.25,-125.9,-0.018
-0.25,-126.3,-0.018
-0.26,-127,-0.018
-0.26,-127.6,-0.018
-0.26,-128.6,-0.019
-0.27,-129.8,-0.019
-0.27,-130.1,-0.019
-0.26,-130,-0.018
-0.26,-129.7,-0.018
-0.27,-129.6,-0.019
-0.28,-130.1,-0.02
-0.29,-130.4,-0.02
-0.29,-130.9,-0.02
-0.29,-131.8,-0.02
-0.29,-132.5,-0.021
-0.3,-132.3,-0.021
-0.3,-131.8,-0.021
-0.3,-130.1,-0.021
-0.3,-128.5,-0.021
-0.3,-127.2,-0.021
-0.3,-126.5,-0.021
-0.3,-126.3,-0.021
-0.3,-126.8,-0.021
-0.29,-128.5,-0.021
-0.28,-130.3,-0.02
-0.29,-131.8,-0.021
-0.31,-132.7,-0.022
-0.31,-132.5,-0.022
-0.32,-132.4,-0.022
-0.31,-132.5,-0.022
-0.32,-132.6,-0.022
-0.32,-132.3,-0.022
-0.32,-131.5,-0.022
-0.32,-130.1,-0.022
-0.32,-128.9,-0.022
-0.32,-128,-0.022
-0.32,-127.7,-0.022
-0.32,-126.8,-0.022
-0.32,-125.5,-0.023
-0.32,-124.6,-0.022
-0.31,-123.8,-0.022
-0.31,-123.2,-0.022
-0.32,-122.5,-0.022
-0.32,-121.6,-0.023
-0.32,-120.5,-0.023
-0.33,-118.8,-0.023
-0.33,-116.9,-0.023
-0.33,-115.7,-0.023
-0.33,-114.8,-0.023
-0.33,-114,-0.023
-0.33,-113.5,-0.023
-0.33,-112.8,-0.023
-0.33,-111.4,-0.023
-0.33,-110,-0.023
-0.33,-108.1,-0.023
-0.33,-104.6,-0.023
-0.33,-100.3,-0.023
-0.32,-95.8,-0.023
-0.33,-91.4,-0.023
-0.33,-87.4,-0.024
-0.34,-83.9,-0.024
-0.35,-79.9,-0.025
-0.35,-75.6,-0.025
-0.35,-71,-0.025
-0.34,-66.5,-0.024
-0.34,-62.9,-0.024
-0.33,-60.3,-0.023
-0.32,-58.9,-0.023
-0.32,-57.7,-0.022
-0.31,-56.3,-0.022
-0.31,-54.9,-0.022
-0.3,-53.5,-0.021
-0.3,-52.5,-0.021
-0.29,-51.7,-0.02
-0.28,-51,-0.02
-0.28,-50.3,-0.02
-0.28,-49,-0.02
-0.28,-47.7,-0.02
-0.28,-46.5,-0.02
-0.28,-45.2,-0.02
-0.27,-44.2,-0.019
-0.27,-43,-0.019
-0.26,-41.4,-0.018
-0.25,-39.9,-0.018
-0.24,-39.1,-0.017
-0.24,-38.8,-0.017
-0.24,-38.3,-0.017
-0.24,-37.3,-0.017
-0.23,-36.1,-0.016
-0.23,-34.9,-0.016
-0.21,-33.6,-0.015
-0.2,-31.9,-0.014
-0.2,-30,-0.014
-0.2,-28,-0.014
-0.2,-26.7,-0.014
-0.2,-25.1,-0.014
-0.19,-23.8,-0.013
-0.19,-22.7,-0.013
-0.18,-21.1,-0.013
-0.17,-19.2,-0.012
-0.16,-17.2,-0.012
-0.16,-15.7,-0.011
-0.15,-14.7,-0.011
-0.15,-13.4,-0.01
-0.14,-11.9,-0.01
-0.14,-10.6,-0.01
-0.13,-9.3,-0.009
-0.1,-8.1,-0.007
-0.1,-7.3,-0.007
-0.1,-6.4,-0.007
-0.11,-5.2,-0.007
-0.1,-3.8,-0.007
-0.1,-2.4,-0.007
-0.1,-1.7,-0.007
-0.09,-1.3,-0.007
-0.09,-1.1,-0.006
-0.09,-0.9,-0.006
-0.09,-0.6,-0.006
-0.09,-0.3,-0.006
-0.09,0,-0.006
-0.08,0.3,-0.006
-0.08,0.8,-0.006
-0.08,1.8,-0.005
-0.06,4.1,-0.005
-0.04,8.4,-0.003
-0.03,12.8,-0.002
-0.02,16.9,-0.001
-0.01,21.1,-0
0.01,24.5,0.001
0.02,26.8,0.001
0.03,27.8,0.002
0.03,28.7,0.002
0.04,30.1,0.003
0.05,31.6,0.003
0.05,32.8,0.004
0.06,34.5,0.004
0.06,36.2,0.005
0.07,37.6,0.005
0.08,39.5,0.005
0.08,41.2,0.006
0.1,43,0.007
0.12,44.8,0.008
0.11,46.2,0.008
0.11,47.7,0.008
0.12,49.6,0.008
0.13,50.9,0.009
0.14,52.1,0.01
0.14,53.3,0.01
0.14,53.9,0.01
0.15,54.8,0.01
0.16,56.3,0.011
0.16,57.9,0.011
0.17,59.8,0.012
0.18,61.5,0.012
0.18,63.2,0.013
0.19,64.6,0.013
0.2,65.8,0.014
0.22,67.1,0.015
0.22,67.9,0.015
0.22,69.3,0.015
0.22,70.9,0.015
0.22,72.9,0.016
0.23,75,0.016
0.24,76.1,0.017
0.24,77.2,0.017
0.25,78.8,0.017
0.25,80.2,0.018
0.26,81.1,0.018
0.26,82,0.018
0.27,82.5,0.019
0.27,83.4,0.019
0.28,84.7,0.019
0.28,85.8,0.02
0.29,86.5,0.02
0.3,87.3,0.021
0.3,88.4,0.021
0.3,90.1,0.021
0.31,92,0.022
0.31,93.4,0.022
0.31,94.7,0.022
0.32,95.1,0.022
0.32,95.6,0.023
0.32,96.3,0.023
0.33,97.5,0.023
0.33,98.5,0.023
0.34,99.1,0.024
0.34,99.6,0.024
0.34,100,0.024
0.35,100.8,0.024
0.35,101.6,0.025
0.37,102.6,0.026
0.37,103.3,0.026
0.37,104.7,0.026
0.37,106,0.026
0.37,106.9,0.026
0.37,107.1,0.026
0.38,106.8,0.027
0.38,107,0.027
0.38,107,0.027
0.39,107.3,0.027
0.39,107.6,0.028
0.39,107.7,0.028
0.4,107.7,0.028
0.4,108.1,0.028
0.4,108.9,0.028
0.41,110,0.029
0.41,110.9,0.029
0.43,111.1,0.03
0.43,111.4,0.03
0.43,112.3,0.03
0.43,112.8,0.03
0.42,112.8,0.03
0.42,112.4,0.03
0.43,112.1,0.03
0.43,112.2,0.03
0.43,113.4,0.03
0.44,114.2,0.031
0.44,114.1,0.031
0.44,113.7,0.031
0.44,113.4,0.031
0.44,113.3,0.031
0.44,113.7,0.031
0.44,114.2,0.031
0.45,114.8,0.032
0.47,116.1,0.033
0.47,117.1,0.033
0.46,116.7,0.033
0.46,114.8,0.033
0.46,112.4,0.033
0.46,110.7,0.032
0.46,109.7,0.033
0.47,108.7,0.033
0.47,108,0.033
0.47,107.1,0.033
0.47,106.3,0.033
0.47,105.8,0.033
0.47,105.3,0.033
0.47,104.6,0.033
0.47,104.6,0.033
0.47,105,0.033
0.48,105.6,0.034
0.49,106.3,0.034
0.48,106.3,0.034
0.47,106,0.033
0.47,105.6,0.033
0.47,105.2,0.033
0.47,104.5,0.033
0.47,103.9,0.033
0.47,102.9,0.033
0.47,101.6,0.033
0.47,100.2,0.033
0.48,98.4,0.034
0.48,96.2,0.034
0.48,94,0.034
0.48,92.2,0.034
0.48,90.5,0.034
0.49,88.2,0.034
0.5,85,0.035
0.51,81.3,0.036
0.5,77.6,0.035
0.49,74,0.035
0.49,71.3,0.034
0.49,68.8,0.034
0.48,65.9,0.034
0.48,63.3,0.034
0.48,60.8,0.034
0.48,58.7,0.034
0.48,56.9,0.034
0.48,55.7,0.034
0.48,54.7,0.034
0.48,53.5,0.034
0.48,52,0.033
0.48,50.8,0.033
0.48,49.4,0.034
0.49,47.7,0.034
0.48,46.2,0.034
0.47,44.9,0.033
0.47,43,0.033
0.46,40.6,0.033
0.46,38.3,0.032
0.46,35.8,0.032
0.45,33.8,0.032
0.45,32.4,0.031
0.45,31.5,0.031
0.44,30.7,0.031
0.44,29.2,0.031
0.44,27.4,0.031
0.43,25.6,0.03
0.43,23.5,0.03
0.42,21.7,0.03
0.42,20.1,0.03
0.43,18.4,0.03
0.42,17,0.029
0.4,15.5,0.028
0.4,14.1,0.028
0.39,13,0.027
0.38,12.1,0.027
0.38,11.5,0.027
0.38,10.7,0.027
0.38,9.8,0.026
0.37,8.9,0.026
0.37,7.8,0.026
0.36,6.5,0.025
0.35,5.1,0.025
0.35,4,0.025
0.35,3,0.024
0.34,2,0.024
0.35,1.3,0.025
0.35,0.7,0.025
0.34,0.3,0.024
0.34,-0,0.024
0.33,-0.2,0.023
0.32,-0.4,0.023
0.33,-0.6,0.023
0.33,-1,0.023
0.33,-1.6,0.023
0.32,-2.8,0.023
0.31,-5.9,0.022
0.3,-8.4,0.021
0.28,-13.7,0.02
0.26,-19.1,0.018
0.24,-23.9,0.017
0.22,-28.4,0.016
0.21,-31.6,0.015
0.22,-33.3,0.015
0.21,-33.4,0.015
0.2,-33.7,0.014
0.2,-34.2,0.014
0.19,-35.2,0.013
0.18,-36.6,0.013
0.18,-37.9,0.013
0.17,-39.5,0.012
0.16,-41.4,0.011
0.15,-43.4,0.011
0.15,-45.1,0.01
0.14,-47.1,0.01
0.13,-48.8,0.009
0.13,-50.3,0.009
0.12,-51.1,0.008
0.12,-52.2,0.008
0.12,-53.8,0.008
0.12,-55.8,0.008
0.11,-57.4,0.007
0.09,-59.2,0.006
0.08,-61.1,0.005
0.07,-63,0.005
0.06,-64.6,0.004
0.05,-66.2,0.004
