Test unit,E2
Reference,Silva et al. (2014)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.99,42,0.086
0.99,41,0.086
1,40,0.087
1,39,0.087
0.99,38.1,0.086
0.99,37.2,0.086
0.99,36.1,0.086
0.98,35.1,0.085
0.96,34.1,0.084
0.94,35,0.082
0.95,33.9,0.082
0.94,32.8,0.082
0.93,31.9,0.081
0.91,30.9,0.079
0.9,30,0.078
0.89,29,0.077
0.89,28.1,0.077
0.86,27.2,0.075
0.85,26.2,0.074
0.84,25.2,0.073
0.82,24.3,0.071
0.81,23.4,0.07
0.79,22.5,0.069
0.78,21.5,0.068
0.77,20.5,0.067
0.76,19.6,0.066
0.75,18.7,0.065
0.74,17.6,0.064
0.71,16.7,0.062
0.69,15.8,0.06
0.67,14.9,0.059
0.66,14,0.058
0.65,13,0.056
0.64,12.1,0.056
0.63,11,0.055
0.61,10.1,0.053
0.6,9.1,0.052
0.59,8.2,0.051
0.57,7.2,0.05
0.56,6.3,0.049
0.56,5.3,0.049
0.55,4.4,0.048
0.52,3.5,0.045
0.51,2.6,0.044
0.49,1.8,0.042
0.47,0.8,0.041
0.45,-0.1,0.039
0.44,-1.2,0.038
0.43,-2.3,0.037
0.41,-3.5,0.036
0.39,-4.9,0.034
0.37,-6.4,0.032
0.35,-7.9,0.031
0.34,-9,0.029
0.31,-10,0.027
0.29,-10.9,0.025
0.28,-11.9,0.024
0.26,-12.9,0.023
0.25,-14,0.021
0.23,-15,0.02
0.22,-15.9,0.019
0.19,-16.8,0.017
0.18,-17.8,0.016
0.17,-18.8,0.015
0.16,-19.8,0.014
0.14,-20.8,0.012
0.13,-21.7,0.011
0.12,-22.7,0.01
0.1,-23.7,0.009
0.1,-24.7,0.009
0.09,-25.6,0.008
0.07,-26.5,0.006
0.04,-27.3,0.004
0.02,-28.3,0.002
0.01,-29.4,0.001
-0,-30.4,-0
-0.02,-31.5,-0.002
-0.04,-32.3,-0.004
-0.06,-33.3,-0.005
-0.07,-34.2,-0.006
-0.08,-35.1,-0.007
-0.11,-36,-0.009
-0.11,-37,-0.01
-0.14,-37.8,-0.012
-0.15,-38.7,-0.013
-0.18,-39.7,-0.016
-0.21,-40.5,-0.018
-0.22,-41.5,-0.019
-0.23,-42.4,-0.02
-0.27,-43,-0.023
-0.29,-44,-0.025
-0.32,-44.6,-0.027
-0.35,-45.4,-0.03
-0.37,-46.2,-0.032
-0.41,-46.9,-0.035
-0.45,-47.5,-0.039
-0.5,-48.1,-0.044
-0.55,-48.6,-0.048
-0.58,-49.5,-0.051
-0.63,-48.8,-0.054
-0.67,-49.6,-0.058
-0.68,-48.6,-0.059
-0.7,-49.5,-0.061
-0.71,-48.5,-0.062
-0.71,-47.4,-0.062
-0.71,-46.5,-0.062
-0.69,-47.4,-0.06
-0.7,-48.3,-0.061
-0.7,-47.4,-0.061
-0.7,-46.2,-0.061
-0.7,-45.2,-0.061
-0.69,-44.1,-0.06
-0.68,-43.2,-0.059
-0.66,-42.3,-0.058
-0.64,-41.5,-0.055
-0.64,-40.5,-0.056
-0.64,-39.6,-0.055
-0.62,-38.6,-0.054
-0.61,-37.7,-0.053
-0.59,-36.8,-0.051
-0.58,-35.8,-0.05
-0.56,-34.8,-0.049
-0.54,-33.9,-0.047
-0.53,-32.9,-0.046
-0.52,-31.9,-0.045
-0.5,-31,-0.044
-0.49,-30.1,-0.043
-0.47,-29,-0.041
-0.46,-28.1,-0.04
-0.44,-27.1,-0.038
-0.42,-26.2,-0.037
-0.4,-25.2,-0.035
-0.38,-24.3,-0.033
-0.36,-23.3,-0.031
-0.35,-22.4,-0.031
-0.35,-21.4,-0.03
-0.33,-20.5,-0.029
-0.32,-19.5,-0.028
-0.3,-18.6,-0.026
-0.28,-17.6,-0.025
-0.27,-16.7,-0.024
-0.25,-15.7,-0.022
-0.24,-14.8,-0.021
-0.22,-13.8,-0.019
-0.21,-12.8,-0.018
-0.19,-11.9,-0.017
-0.17,-10.9,-0.015
-0.14,-10,-0.012
-0.14,-8.9,-0.012
-0.13,-7.8,-0.011
-0.11,-6.8,-0.01
-0.1,-5.8,-0.009
-0.09,-5,-0.008
-0.07,-3.9,-0.006
-0.06,-2.9,-0.005
-0.04,-1.9,-0.004
-0.02,-1,-0.002
-0,-0.1,-0
0.02,0.7,0.002
0.04,1.7,0.003
0.04,2.7,0.003
0.05,4,0.004
0.06,5.4,0.006
0.08,6.8,0.007
0.09,7.8,0.008
0.11,9,0.01
0.14,9.8,0.013
0.16,10.7,0.014
0.17,11.7,0.015
0.18,12.6,0.016
0.2,13.7,0.017
0.22,14.7,0.019
0.23,15.6,0.02
0.24,16.5,0.021
0.27,17.4,0.024
0.28,18.4,0.024
0.29,19.4,0.025
0.3,20.4,0.026
0.31,21.4,0.027
0.34,22.2,0.029
0.35,23.1,0.03
0.37,24,0.032
0.39,25,0.034
0.4,25.9,0.035
0.41,26.8,0.036
0.43,27.8,0.037
0.45,28.7,0.039
0.49,29.5,0.042
0.5,30.4,0.043
0.51,31.4,0.044
0.52,32.3,0.045
0.54,33.1,0.047
0.56,34,0.049
0.6,34.9,0.052
0.61,35.8,0.053
0.65,36.5,0.057
0.69,37.4,0.06
0.71,38.3,0.061
0.73,39.1,0.064
0.76,40,0.066
0.81,40.6,0.07
0.83,41.4,0.072
0.88,42,0.076
0.89,43,0.078
0.94,43.6,0.081
0.98,44.2,0.085
0.99,43.3,0.086
1,44.3,0.087
1.02,43.3,0.089
1.03,44.5,0.09
1.05,43.6,0.092
1.06,42.7,0.092
1.06,43.7,0.092
1.06,44.6,0.092
1.07,43.4,0.093
1.07,42.4,0.093
1.08,41.5,0.094
1.07,42.6,0.093
1.08,43.5,0.094
1.07,42.6,0.093
1.07,41.6,0.093
1.07,40.6,0.093
1.06,39.6,0.092
1.05,38.7,0.091
1.04,39.8,0.091
1.04,40.8,0.09
1.04,39.8,0.09
1.04,38.8,0.09
1.04,37.6,0.09
1.03,36.6,0.09
1,35.7,0.087
0.98,34.7,0.085
0.96,33.8,0.084
0.95,32.8,0.082
0.93,31.8,0.081
0.92,30.9,0.08
0.91,29.9,0.079
0.89,28.9,0.077
0.87,28,0.076
0.84,27,0.073
0.83,26.2,0.072
0.81,25.2,0.071
0.8,24.2,0.07
0.78,23.2,0.068
0.76,22.3,0.066
0.75,21.4,0.066
0.75,20.3,0.065
0.73,19.3,0.063
0.71,18.3,0.061
0.68,17.4,0.059
0.67,16.4,0.058
0.66,15.5,0.057
0.64,14.6,0.056
0.63,13.6,0.055
0.62,12.7,0.054
0.6,11.8,0.052
0.59,10.7,0.051
0.57,9.7,0.05
0.58,8.7,0.05
0.56,7.8,0.049
0.54,6.8,0.047
0.51,5.9,0.045
0.5,5,0.043
0.49,4,0.043
0.48,3,0.041
0.46,2,0.04
0.44,1.1,0.039
0.43,0.2,0.038
0.42,-0.7,0.037
0.42,-1.9,0.037
0.41,-3.2,0.035
0.39,-4.4,0.034
0.37,-5.4,0.032
0.35,-6.5,0.03
0.33,-7.7,0.028
0.3,-8.6,0.026
0.28,-9.4,0.024
0.26,-10.4,0.023
0.26,-11.4,0.022
0.24,-12.5,0.021
0.23,-13.5,0.02
0.21,-14.5,0.019
0.19,-15.4,0.017
0.18,-16.4,0.015
0.16,-17.4,0.014
0.16,-18.3,0.014
0.15,-19.3,0.013
0.12,-20.1,0.011
0.1,-21.1,0.009
0.08,-22,0.007
0.06,-23,0.005
0.04,-23.9,0.004
0.02,-25,0.002
0.01,-25.9,0.001
-0.01,-27,-0.001
-0.03,-27.9,-0.003
-0.05,-28.8,-0.004
-0.07,-29.8,-0.006
-0.07,-30.8,-0.006
-0.09,-31.6,-0.008
-0.12,-32.5,-0.01
-0.15,-33.5,-0.013
-0.17,-34.4,-0.015
-0.19,-35.2,-0.017
-0.21,-36.3,-0.018
-0.23,-37.3,-0.02
-0.25,-38.2,-0.022
-0.27,-39,-0.024
-0.29,-39.9,-0.025
-0.3,-40.9,-0.026
-0.34,-41.8,-0.029
-0.36,-42.6,-0.032
-0.39,-43.5,-0.033
-0.42,-44.3,-0.036
-0.44,-45.1,-0.038
-0.46,-46.1,-0.04
-0.49,-46.9,-0.043
-0.52,-47.9,-0.045
-0.55,-48.7,-0.047
-0.59,-49.4,-0.051
-0.61,-50.3,-0.053
-0.67,-50.8,-0.058
-0.69,-49.9,-0.06
-0.69,-48.9,-0.06
-0.69,-49.9,-0.06
-0.69,-50.9,-0.06
-0.71,-49.8,-0.062
-0.71,-48.8,-0.062
-0.71,-47.8,-0.062
-0.69,-46.9,-0.06
-0.69,-47.9,-0.06
-0.69,-48.9,-0.06
-0.69,-49.9,-0.06
-0.7,-48.9,-0.061
-0.7,-47.8,-0.061
-0.71,-46.8,-0.061
-0.69,-45.8,-0.06
-0.67,-46.7,-0.059
-0.67,-45.7,-0.058
-0.67,-44.8,-0.059
-0.67,-43.8,-0.058
-0.65,-42.9,-0.057
-0.64,-42,-0.055
-0.62,-41.1,-0.054
-0.61,-40,-0.053
-0.6,-39.1,-0.052
-0.57,-38.1,-0.05
-0.56,-37.1,-0.049
-0.54,-36.1,-0.047
-0.53,-35.2,-0.046
-0.5,-34.3,-0.043
-0.49,-33.3,-0.043
-0.48,-32.4,-0.042
-0.47,-31.3,-0.041
-0.45,-30.3,-0.039
-0.44,-29.3,-0.038
-0.41,-28.3,-0.036
-0.4,-27.2,-0.035
-0.39,-26.2,-0.034
-0.37,-25.3,-0.032
-0.35,-24.3,-0.031
-0.32,-23.5,-0.028
-0.3,-22.6,-0.026
-0.3,-21.6,-0.026
-0.29,-20.6,-0.025
-0.28,-19.7,-0.024
-0.25,-18.6,-0.022
-0.24,-17.7,-0.021
