Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.01,33.2,0.001
0,31.9,0
0.01,33.8,0.001
0.01,32.9,0.001
0,31.9,0
0,33.2,0
0.01,32.9,0.001
0,31.6,0
0,32.9,0
0.01,33.2,0.001
0.01,31.6,0.001
0,31.9,0
0,33.2,0
0.31,40.1,0.025
1.02,47.6,0.081
1.71,54.5,0.137
2.4,61,0.192
3.06,67.6,0.245
3.72,73.6,0.297
4.31,79.8,0.345
4.88,85.8,0.391
5.42,91.1,0.433
5.89,95.8,0.471
6.3,100.2,0.504
6.67,103.6,0.534
6.97,105.8,0.558
7.24,108.6,0.579
7.41,109.9,0.593
7.53,109.9,0.602
7.58,109.6,0.606
7.58,107.1,0.606
7.47,102.4,0.598
7.33,96.4,0.587
7.12,89.5,0.57
6.84,82.3,0.547
6.5,75.1,0.52
6.09,67.9,0.487
5.64,61,0.451
5.15,53.8,0.412
4.6,46.6,0.368
4.01,39.4,0.321
3.38,32.2,0.271
2.75,25,0.22
1.53,11.9,0.122
0.65,3.8,0.052
-0.04,-3.1,-0.003
-0.76,-9.7,-0.061
-1.47,-16.3,-0.117
-2.16,-22.9,-0.173
-2.83,-29.7,-0.226
-3.47,-36.6,-0.278
-4.09,-43.5,-0.327
-4.67,-50.4,-0.373
-5.21,-56.7,-0.417
-5.72,-62.3,-0.457
-6.15,-67.9,-0.492
-6.53,-72.6,-0.522
-6.86,-76.1,-0.549
-7.13,-79.2,-0.57
-7.34,-80.8,-0.588
-7.48,-81.4,-0.599
-7.56,-81.4,-0.605
-7.57,-80.1,-0.606
-7.49,-70.8,-0.6
-7.38,-66.1,-0.59
-7.19,-59.8,-0.576
-6.94,-52.6,-0.555
-6.62,-45.4,-0.529
-6.24,-37.6,-0.499
-5.81,-29.7,-0.465
-5.33,-21.6,-0.427
-4.81,-14.4,-0.385
-4.24,-6.9,-0.339
-3.63,0.3,-0.29
-2.99,7.2,-0.239
-2.45,12.8,-0.196
-1.61,21.9,-0.128
-0.92,28.8,-0.074
-0.2,35.7,-0.016
0,34.4,0
0.01,34.4,0.001
0,34.1,0
0,33.2,0
0.57,43.5,0.045
1.28,50.4,0.103
1.98,57.3,0.158
2.66,63.2,0.212
3.31,69.5,0.265
3.94,75.8,0.315
4.52,82,0.361
5.06,87,0.405
5.58,92.4,0.446
6.04,97,0.483
6.45,100.5,0.516
6.78,103.9,0.542
7.08,105.5,0.566
7.3,107.4,0.584
7.45,108.3,0.596
7.56,108.3,0.605
7.58,107.1,0.606
7.54,103.3,0.603
7.43,98.3,0.594
7.26,92.4,0.581
7.02,85.2,0.562
6.72,78,0.538
6.36,71.1,0.509
5.93,64.2,0.475
5.46,57,0.437
4.96,49.5,0.397
4.4,42.6,0.352
3.79,35.4,0.303
3.16,28.2,0.253
2.49,21,0.2
1.83,13.8,0.146
1.15,6.6,0.092
0.41,0,0.033
-0.3,-6.6,-0.024
-1.01,-12.8,-0.081
-1.72,-19.1,-0.138
-2.41,-25.4,-0.193
-3.07,-31.9,-0.246
-3.7,-38.8,-0.296
-4.3,-45.1,-0.344
-4.88,-51.3,-0.391
-5.4,-57,-0.432
-5.88,-62.3,-0.47
-6.3,-67,-0.504
-6.66,-71.1,-0.533
-6.98,-74.2,-0.558
-7.22,-76.4,-0.577
-7.41,-77.3,-0.593
-7.52,-78,-0.601
-7.57,-77,-0.606
-7.57,-74.2,-0.606
-7.47,-65.4,-0.598
-7.32,-60.1,-0.586
-7.11,-53.8,-0.569
-6.83,-47,-0.546
-6.49,-39.4,-0.519
-6.09,-31.6,-0.487
-5.64,-24.4,-0.451
-5.14,-16.6,-0.411
-4.59,-9.4,-0.367
-4.01,-2.2,-0.321
-3.39,4.7,-0.272
-2.75,11.6,-0.22
-2.75,11.6,-0.22
-2.07,18.2,-0.165
-1.37,25.7,-0.11
-0.65,32.2,-0.052
0.04,38.2,0.003
0,35.7,0
0.01,34.1,0.001
0,34.7,0
0.01,33.8,0.001
0,34.4,0
0.01,34.4,0.001
0,33.2,0
0.01,34.7,0.001
0,33.2,0
0,33.5,0
0.01,34.4,0.001
0,32.9,0
0,33.5,0
0.01,34.1,0.001
0,32.9,0
0,33.5,0
0.01,34.1,0.001
0.01,33.2,0.001
