Test unit,T1-4
Reference,Faella et al. (1992)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0,10.3,0
-0.01,8.8,-0.001
-0.01,10,-0.001
0,11.6,0
0,9.4,0
-0.01,8.8,-0.001
0,9.4,0
0,10.3,0
-0.01,11.3,-0.001
-0.01,11.3,-0.001
0,8.8,0
0,8.5,0
0,9.1,0
0.1,18.2,0.008
0.36,32.6,0.029
0.56,41.6,0.045
0.73,50.7,0.058
0.92,60.1,0.074
1.08,68.2,0.087
1.24,76.1,0.099
1.38,83.6,0.11
1.51,90.5,0.121
1.64,95.5,0.131
1.75,99.9,0.14
1.83,103,0.146
1.91,105.2,0.152
1.97,106.4,0.158
2,107.1,0.16
2.02,107.1,0.162
2.03,106.4,0.163
2.01,102.7,0.161
1.98,100.2,0.158
1.94,96.1,0.155
1.87,91.4,0.15
1.79,85.5,0.143
1.69,78,0.135
1.57,70.8,0.126
1.45,62.9,0.116
1.31,55.7,0.104
1.16,47.6,0.093
1,39.1,0.08
0.82,30.4,0.066
0.64,21.6,0.051
0.47,13.1,0.038
0.24,2.5,0.019
0.06,-5,0.005
-0.12,-13.8,-0.009
-0.32,-21.6,-0.026
-0.49,-30.4,-0.039
-0.67,-38.8,-0.054
-0.86,-47.6,-0.069
-1.03,-55.4,-0.082
-1.19,-63.6,-0.095
-1.35,-70.4,-0.108
-1.49,-77,-0.119
-1.62,-82,-0.129
-1.72,-86.1,-0.138
-1.82,-88.9,-0.146
-1.9,-91.4,-0.152
-1.97,-92.7,-0.158
-2.01,-93.6,-0.161
-2.03,-93.9,-0.163
-2.04,-93,-0.164
-2.04,-90.8,-0.164
-2.01,-85.2,-0.161
-1.97,-82,-0.158
-1.92,-77.3,-0.153
-1.83,-72,-0.146
-1.75,-66.1,-0.14
-1.63,-59.8,-0.13
-1.51,-52.6,-0.121
-1.37,-45.4,-0.11
-1.21,-38.8,-0.097
-1.06,-31.6,-0.085
-0.89,-23.8,-0.071
-0.72,-16,-0.057
-0.54,-7.5,-0.043
-0.34,0.3,-0.027
-0.15,8.8,-0.012
-0.05,13.1,-0.004
0.02,15,0.002
0.02,12.8,0.002
0,11.6,0
0,11,0
0,11.3,0
-0.01,12.2,-0.001
0.25,26.9,0.02
0.42,34.7,0.033
0.6,42.9,0.048
0.78,51,0.063
0.95,58.9,0.076
1.11,65.7,0.089
1.27,72.9,0.102
1.41,78.9,0.113
1.54,85.2,0.123
1.67,90.5,0.134
1.77,94.5,0.141
1.85,98,0.148
1.92,100.5,0.153
1.98,102.7,0.158
2.01,103.9,0.161
2.03,103.9,0.163
2.03,103,0.163
2.01,98.9,0.161
1.98,96.4,0.158
1.93,92.7,0.154
1.85,87.7,0.148
1.77,81.7,0.141
1.66,74.8,0.133
1.55,67.6,0.124
1.41,60.4,0.113
1.27,52.6,0.102
1.11,45.1,0.089
0.95,36.9,0.076
0.77,28.5,0.062
0.6,20.3,0.048
0.45,13.1,0.036
0.2,1.9,0.016
0.02,-5.3,0.002
-0.16,-12.8,-0.013
-0.34,-20.7,-0.027
-0.54,-28.5,-0.043
-0.72,-36,-0.057
-0.89,-43.5,-0.071
-1.06,-50.7,-0.085
-1.22,-57.9,-0.098
-1.38,-63.9,-0.11
-1.52,-69.2,-0.122
-1.64,-74.5,-0.131
-1.75,-78.9,-0.14
-1.84,-82.6,-0.147
-1.92,-85.8,-0.153
-1.98,-87.7,-0.158
-2.01,-88.9,-0.161
-2.04,-89.5,-0.164
-2.04,-88.9,-0.164
-2.06,-85.5,-0.164
-2.01,-81.4,-0.161
-1.96,-77.6,-0.157
-1.9,-73.6,-0.152
-1.82,-67.9,-0.146
-1.72,-62,-0.138
-1.61,-55.7,-0.128
-1.48,-49.2,-0.118
-1.34,-42.3,-0.107
-1.18,-35.7,-0.094
-1.02,-28.5,-0.081
-0.84,-20.7,-0.067
-0.67,-13.5,-0.054
-0.49,-5.3,-0.039
-0.3,2.5,-0.024
-0.11,10.6,-0.009
-0.04,13.1,-0.003
0.02,14.4,0.002
0.01,12.8,0.001
0.01,11.6,0.001
0,10.3,0
-0.01,11.3,-0.001
-0.01,11.9,-0.001
0,13.1,0
0.3,28.2,0.024
0.48,36.3,0.039
0.66,44.1,0.053
0.85,52,0.068
1.02,59.2,0.081
1.18,66.4,0.094
1.33,72.6,0.106
1.47,78.6,0.117
1.6,84.2,0.128
1.7,89.5,0.136
1.8,93.3,0.144
1.88,97,0.151
1.94,99.6,0.155
1.99,101.7,0.159
2.02,102.4,0.162
2.03,102.4,0.163
2.03,100.5,0.163
2,97,0.16
1.96,93.9,0.157
1.9,89.5,0.152
1.83,84.5,0.146
1.73,78,0.139
1.63,70.8,0.13
1.5,63.9,0.12
1.37,57,0.11
1.22,49.2,0.098
1.06,41.3,0.085
