Test unit,test 5
Reference,Krzan et al. (2015)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.75,6.1,0.05
0.75,3.1,0.05
0.58,2.3,0.039
0.58,-0.8,0.039
0.42,-1.5,0.028
0.42,-3.8,0.028
0.25,-4.6,0.017
0.25,-7.7,0.017
0.08,-8.5,0.006
0.08,-10.8,0.006
-0.08,-11.5,-0.006
-0.08,-13.9,-0.006
-0.25,-14.6,-0.017
-0.25,-16.9,-0.017
-0.42,-17.7,-0.028
-0.42,-20,-0.028
-0.58,-20.8,-0.039
-0.58,-22.3,-0.039
-0.75,-23.1,-0.05
-0.75,-25.4,-0.05
-0.92,-26.2,-0.061
-0.92,-27.7,-0.061
-1.08,-28.5,-0.072
-1.08,-30,-0.072
-1.25,-30.8,-0.083
-1.25,-32.3,-0.083
-1.59,-33.9,-0.106
-1.42,-33.9,-0.095
-1.59,-31.5,-0.106
-1.42,-30.8,-0.095
-1.42,-31.5,-0.095
-1.42,-25.4,-0.095
-1.25,-24.6,-0.083
-1.25,-21.6,-0.083
-1.08,-20.8,-0.072
-1.08,-17.7,-0.072
-0.92,-16.9,-0.061
-0.92,-13.9,-0.061
-0.75,-13.1,-0.05
-0.75,-10.8,-0.05
-0.58,-10,-0.039
-0.58,-7.7,-0.039
-0.42,-6.9,-0.028
-0.42,-3.8,-0.028
-0.25,-3.1,-0.017
-0.25,-0.8,-0.017
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,6.1,0.006
0.25,6.9,0.017
0.25,9.2,0.017
0.42,10,0.028
0.42,13.1,0.028
0.58,13.8,0.039
0.58,16.1,0.039
0.75,16.9,0.05
0.75,19.2,0.05
0.92,18.4,0.061
0.92,23.1,0.061
1.09,23.8,0.073
1.09,26.1,0.073
1.26,26.9,0.084
1.26,29.2,0.084
1.42,30,0.095
1.42,32.3,0.095
1.76,33.8,0.117
1.76,36.2,0.117
1.92,36.9,0.128
1.92,28.5,0.128
1.76,27.7,0.117
1.76,23.8,0.117
1.59,23.1,0.106
1.59,18.4,0.106
1.42,17.7,0.095
1.42,14.6,0.095
1.26,13.8,0.084
1.26,10.8,0.084
1.09,10,0.073
1.09,6.9,0.073
0.92,6.1,0.061
0.92,3.8,0.061
0.75,3.1,0.05
0.75,0.8,0.05
0.58,-0,0.039
0.58,-3.1,0.039
0.42,-3.8,0.028
0.42,-6.2,0.028
0.25,-6.9,0.017
0.25,-9.2,0.017
0.08,-10,0.006
0.08,-12.3,0.006
-0.08,-13.1,-0.006
-0.08,-15.4,-0.006
-0.25,-16.2,-0.017
-0.25,-18.5,-0.017
-0.42,-19.2,-0.028
-0.42,-18.5,-0.028
-0.42,-20.8,-0.028
-0.58,-21.6,-0.039
-0.58,-23.9,-0.039
-0.75,-24.6,-0.05
-0.75,-26.2,-0.05
-0.92,-26.9,-0.061
-0.92,-28.5,-0.061
-1.08,-29.2,-0.072
-1.08,-30.8,-0.072
-1.25,-31.5,-0.083
-1.25,-33.1,-0.083
-1.59,-34.6,-0.106
-1.59,-35.4,-0.106
-1.76,-36.2,-0.117
-1.92,-36.9,-0.128
-1.92,-37.7,-0.128
-2.09,-36.9,-0.139
-2.09,-35.4,-0.139
-1.92,-34.6,-0.128
-1.92,-30,-0.128
-1.76,-29.2,-0.117
-1.76,-26.9,-0.117
-1.59,-26.2,-0.106
-1.59,-23.9,-0.106
-1.42,-23.1,-0.095
-1.42,-20.8,-0.095
-1.25,-20,-0.083
-1.25,-18.5,-0.083
-1.08,-17.7,-0.072
-1.08,-15.4,-0.072
-0.92,-14.6,-0.061
-0.92,-12.3,-0.061
-0.75,-11.5,-0.05
-0.75,-10,-0.05
-0.58,-9.2,-0.039
-0.58,-6.9,-0.039
-0.42,-6.2,-0.028
-0.42,-3.8,-0.028
-0.25,-3.1,-0.017
-0.25,-0.8,-0.017
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,6.1,0.006
0.25,6.9,0.017
0.25,9.2,0.017
0.42,10,0.028
0.42,12.3,0.028
0.58,13.1,0.039
0.58,15.4,0.039
0.75,16.1,0.05
0.75,17.7,0.05
0.92,18.4,0.061
0.92,21.5,0.061
1.09,22.3,0.073
1.09,23.8,0.073
1.26,24.6,0.084
1.26,26.9,0.084
1.42,27.7,0.095
1.42,30,0.095
1.59,30.8,0.106
1.59,32.3,0.106
1.76,33.1,0.117
1.76,35.4,0.117
1.92,36.2,0.128
1.92,36.9,0.128
1.92,28.5,0.128
1.76,27.7,0.117
1.76,23.8,0.117
1.59,23.1,0.106
1.59,18.4,0.106
1.42,17.7,0.095
1.42,14.6,0.095
1.26,13.8,0.084
1.26,10.8,0.084
1.09,10,0.073
1.09,6.9,0.073
0.92,6.1,0.061
0.92,3.8,0.061
0.75,3.1,0.05
0.75,0.8,0.05
0.58,-0,0.039
0.58,-3.1,0.039
0.42,-3.8,0.028
0.42,-5.4,0.028
0.25,-6.2,0.017
0.25,-8.5,0.017
0.08,-9.2,0.006
0.08,-11.5,0.006
-0.08,-12.3,-0.006
-0.08,-14.6,-0.006
-0.25,-15.4,-0.017
-0.25,-17.7,-0.017
-0.42,-18.5,-0.028
-0.42,-20,-0.028
-0.58,-20.8,-0.039
-0.58,-22.3,-0.039
-0.75,-23.1,-0.05
-0.75,-25.4,-0.05
-0.92,-26.2,-0.061
-0.92,-26.9,-0.061
-1.08,-27.7,-0.072
-1.08,-30,-0.072
-1.42,-31.5,-0.095
-1.42,-33.1,-0.095
-1.59,-33.9,-0.106
-1.59,-35.4,-0.106
-1.76,-36.2,-0.117
-2.09,-37.7,-0.139
-1.92,-37.7,-0.128
-2.09,-35.4,-0.139
-1.92,-34.6,-0.128
-1.92,-30.8,-0.128
-1.76,-30,-0.117
-1.76,-26.9,-0.117
-1.59,-26.2,-0.106
-1.59,-23.9,-0.106
-1.42,-23.1,-0.095
-1.42,-21.6,-0.095
-1.25,-20.8,-0.083
-1.25,-18.5,-0.083
-1.08,-17.7,-0.072
-1.08,-15.4,-0.072
-0.92,-14.6,-0.061
-0.92,-13.1,-0.061
-0.75,-12.3,-0.05
-0.75,-10,-0.05
-0.58,-9.2,-0.039
-0.58,-6.9,-0.039
-0.42,-6.2,-0.028
-0.42,-3.8,-0.028
-0.25,-3.1,-0.017
-0.25,-0.8,-0.017
-0.08,-0,-0.006
NaN,NaN,NaN
-0.08,-0,-0.006
-0.08,2.3,-0.006
0.08,3.1,0.006
0.08,5.4,0.006
0.25,6.1,0.017
0.25,8.4,0.017
0.42,9.2,0.028
0.42,11.5,0.028
0.58,12.3,0.039
0.58,14.6,0.039
0.75,15.4,0.05
0.75,17.7,0.05
0.92,18.4,0.061
0.92,20.8,0.061
1.09,21.5,0.073
1.09,23.8,0.073
1.26,24.6,0.084
1.26,26.1,0.084
1.42,26.9,0.095
1.42,29.2,0.095
1.59,30,0.106
1.59,32.3,0.106
1.76,33.1,0.117
1.76,34.6,0.117
1.92,35.4,0.128
1.92,36.9,0.128
1.92,28.5,0.128
1.76,27.7,0.117
1.76,23.8,0.117
1.59,23.1,0.106
1.59,18.4,0.106
1.42,17.7,0.095
1.42,14.6,0.095
1.26,13.8,0.084
1.26,10.8,0.084
1.09,10,0.073
1.09,6.9,0.073
0.92,6.1,0.061
0.92,3.8,0.061
0.75,3.1,0.05
0.75,0.8,0.05
0.58,-0,0.039
0.58,-2.3,0.039
0.42,-3.1,0.028
0.42,-6.2,0.028
0.25,-6.9,0.017
0.25,-8.5,0.017
0.08,-9.2,0.006
0.08,-11.5,0.006
-0.08,-12.3,-0.006
-0.08,-14.6,-0.006
-0.25,-15.4,-0.017
-0.25,-17.7,-0.017
-0.42,-18.5,-0.028
-0.42,-20,-0.028
-0.58,-20.8,-0.039
-0.58,-22.3,-0.039
-0.75,-23.1,-0.05
-0.75,-24.6,-0.05
-0.92,-25.4,-0.061
-0.92,-26.9,-0.061
-1.08,-27.7,-0.072
-1.08,-29.2,-0.072
-1.25,-30,-0.083
-1.25,-31.5,-0.083
-1.59,-33.1,-0.106
-1.59,-35.4,-0.106
-1.76,-36.2,-0.117
-2.09,-37.7,-0.139
-1.92,-37.7,-0.128
-2.09,-36.2,-0.139
-1.92,-35.4,-0.128
-1.92,-30.8,-0.128
