Test unit,S5
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.14,30.3,0.01
0.15,31,0.01
0.15,31.3,0.011
0.16,31.8,0.011
0.17,32.4,0.012
0.17,33,0.012
0.18,33.6,0.013
0.2,34.2,0.014
0.21,34.5,0.015
0.21,34.5,0.015
0.21,34.8,0.014
0.21,35.4,0.015
0.22,36.3,0.015
0.23,37.1,0.016
0.23,37.3,0.016
0.24,37.5,0.017
0.24,37.9,0.017
0.25,38.4,0.017
0.26,39,0.018
0.26,39.5,0.019
0.27,39.8,0.019
0.27,39.9,0.019
0.28,40.5,0.019
0.28,41,0.02
0.29,41.2,0.02
0.31,41.7,0.022
0.31,41.9,0.022
0.31,42.2,0.021
0.31,42.6,0.022
0.31,42.8,0.022
0.31,43.1,0.022
0.32,43.5,0.022
0.33,43.9,0.023
0.33,43.9,0.023
0.33,44,0.023
0.34,44.3,0.024
0.35,44.8,0.024
0.35,45.1,0.024
0.35,45.1,0.025
0.36,45.5,0.025
0.36,45.9,0.025
0.37,46.4,0.026
0.39,46.7,0.027
0.39,46.4,0.027
0.38,46.3,0.027
0.38,46.4,0.027
0.38,46.9,0.027
0.39,47.4,0.027
0.4,47.5,0.028
0.4,47.5,0.028
0.4,47.7,0.028
0.4,47.9,0.028
0.41,47.9,0.028
0.41,47.8,0.029
0.41,47.6,0.029
0.41,47.5,0.029
0.41,47.6,0.029
0.42,48,0.029
0.43,48.5,0.03
0.44,48.8,0.031
0.44,48.8,0.031
0.44,48.6,0.031
0.43,48.5,0.03
0.43,48.9,0.03
0.44,49.5,0.031
0.44,49.4,0.031
0.45,49,0.031
0.45,47.8,0.031
0.44,47,0.031
0.44,47.1,0.031
0.44,47.3,0.031
0.44,47.8,0.031
0.45,48.7,0.031
0.45,49,0.032
0.45,48.8,0.032
0.45,48.7,0.032
0.46,48.7,0.032
0.46,48.5,0.032
0.46,48.2,0.032
0.45,47.8,0.032
0.45,47.8,0.032
0.45,48,0.031
0.45,48.3,0.031
0.45,48.4,0.031
0.45,48.6,0.032
0.45,48.5,0.032
0.45,48,0.032
0.45,47.4,0.032
0.45,46.7,0.032
0.45,46.2,0.032
0.45,45.8,0.032
0.45,45.2,0.032
0.46,44.4,0.032
0.47,43.3,0.033
0.47,42.5,0.033
0.46,42,0.032
0.45,41.2,0.032
0.45,40.2,0.032
0.45,39.3,0.032
0.45,37.9,0.032
0.46,36.2,0.032
0.45,34.2,0.032
0.45,32.3,0.031
0.44,31.1,0.031
0.44,30.6,0.03
0.43,30.2,0.03
0.43,29.7,0.03
0.43,29.3,0.03
0.43,29.1,0.03
0.43,29.2,0.03
0.43,29.1,0.03
0.43,28.7,0.03
0.43,28.3,0.03
0.42,27.6,0.029
0.41,27.1,0.028
0.4,26.6,0.028
0.4,26.2,0.028
0.4,25.7,0.028
0.39,25.2,0.027
0.39,25.1,0.027
0.39,24.9,0.027
0.38,24.4,0.027
0.38,23.8,0.026
0.37,23.1,0.026
0.37,22.8,0.026
0.36,22.3,0.025
0.36,21.9,0.025
0.37,21.6,0.026
0.37,21.2,0.026
0.35,20.4,0.025
0.34,19.6,0.024
0.33,19.1,0.023
0.32,18.9,0.023
0.32,18.8,0.022
0.32,18.4,0.022
0.32,17.7,0.022
0.31,17.2,0.022
0.3,16.7,0.021
0.3,16,0.021
0.29,15.3,0.02
0.29,14.8,0.02
0.28,14.3,0.02
0.27,13.8,0.019
0.27,13.1,0.019
0.27,12.5,0.019
0.27,12.1,0.019
0.26,11.8,0.018
0.25,11.3,0.018
0.24,10.7,0.017
0.23,9.9,0.016
0.22,9.1,0.015
0.22,8.5,0.015
0.21,8,0.015
0.2,7.6,0.014
0.2,6.9,0.014
0.19,6.3,0.013
0.19,5.6,0.013
0.18,4.9,0.013
0.17,4.2,0.012
0.17,3.6,0.012
0.16,3.1,0.011
0.16,2.6,0.011
0.16,2,0.011
0.15,1.5,0.01
0.14,1,0.01
0.13,0.7,0.009
0.12,0.3,0.009
0.13,0,0.009
0.12,-0.2,0.008
0.11,-0.3,0.008
0.11,-0.4,0.008
0.11,-0.5,0.008
0.11,-0.7,0.007
0.1,-1,0.007
0.1,-1.2,0.007
0.1,-1.6,0.007
0.09,-2.4,0.006
0.08,-3.3,0.006
0.08,-4.8,0.006
0.07,-6.9,0.005
0.05,-8.2,0.003
0.03,-8.6,0.002
0.01,-10.1,0.001
-0,-11.5,-0
-0.01,-12.3,-0.001
-0.02,-12.7,-0.002
-0.03,-13.5,-0.002
-0.03,-14.1,-0.002
-0.04,-14.7,-0.003
-0.05,-15.1,-0.003
-0.05,-15.6,-0.004
-0.06,-16.1,-0.004
-0.07,-16.6,-0.005
-0.07,-17.2,-0.005
-0.08,-17.8,-0.006
