ID;Reference;Test unit name;Cyclic / Monotonic;Lab / In-situ;Stone masonry typology;Joints;Stone;H [mm];L [mm];t [mm];H0/H;?0,tot /fc
112;Krzan et al. (2015);test 10;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;0.5;0.151502504
113;Krzan et al. (2015);test 11;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.151502504
114;Krzan et al. (2015);test 12;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.151502504
115;Krzan et al. (2015);test 13;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.151502504
116;Krzan et al. (2015);test 14;Cyclic;Laboratory;E;Air lime mortar;Dolomite;1500;1000;400;1.266666667;0.151502504
117;Silva et al. (2012);PA1NR;Cyclic;Laboratory;C;Clay mortar;Granite;1600;1600;600;0.953125;0.020261044
118;Faella et al. (1992);T1-1;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.078947368
119;Faella et al. (1992);T1-2;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.078947368
120;Faella et al. (1992);T1-3;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.184210526
121;Faella et al. (1992);T1-4;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.184210526
122;Faella et al. (1992);T2-1;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.078947368
123;Faella et al. (1992);T2-2;Cyclic;Laboratory;D;Cement mortar;Tuff;1250;1300;500;0.5;0.184210526
