Test unit,R2
Reference,Mazzon (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
-0.35,-96.6,-0.028
-0.34,-99.9,-0.027
-0.33,-99.3,-0.026
-0.31,-98.3,-0.025
-0.3,-97.9,-0.024
-0.29,-97.4,-0.023
-0.27,-95.8,-0.022
-0.26,-94.7,-0.021
-0.25,-53.9,-0.02
-0.24,-58.3,-0.019
-0.22,-64.2,-0.018
-0.21,-70.3,-0.017
-0.2,-77.2,-0.016
-0.19,-80.5,-0.015
-0.18,-82.2,-0.014
-0.16,-79.9,-0.013
-0.15,-79,-0.012
-0.13,-78.6,-0.011
-0.12,-77,-0.01
-0.11,-73.7,-0.009
-0.1,-73,-0.008
-0.09,-71.9,-0.007
-0.08,-70.4,-0.006
-0.06,-68,-0.005
-0.04,16.7,-0.004
-0.01,4.2,-0.001
0,0,0
0.02,0,0.001
0.02,0,0.002
0.03,40.7,0.003
0.05,46.2,0.004
0.07,48.2,0.005
0.07,48.9,0.006
0.09,56.3,0.007
0.1,58,0.008
0.12,58.7,0.009
0.13,62,0.01
0.14,63.2,0.011
0.15,64.4,0.012
0.16,66,0.013
0.17,66,0.014
0.19,70.3,0.015
0.2,70.7,0.016
0.22,62.8,0.017
0.23,61.5,0.018
0.24,50.5,0.019
0.25,43.1,0.02
0.26,25.8,0.021
0.28,100.4,0.022
0.29,90.4,0.023
0.3,87.9,0.024
0.31,84.6,0.025
0.33,77,0.026
0.34,74.1,0.027
0.36,106.7,0.029
0.38,104.5,0.03
0.39,94.4,0.031
0.41,85.9,0.032
0.42,139,0.033
0.44,136.7,0.035
0.46,130.7,0.036
0.47,129.5,0.037
0.48,128.3,0.038
0.49,126.9,0.039
0.51,124,0.04
0.52,118.1,0.041
0.53,151.8,0.042
0.54,152.2,0.043
0.56,152.9,0.044
0.57,153,0.045
0.59,150.4,0.046
0.6,149.1,0.047
0.61,147.2,0.048
0.62,145.5,0.049
0.63,143.7,0.05
0.65,139.1,0.051
0.66,139.9,0.052
0.68,156.8,0.053
0.69,157.7,0.054
0.7,158.5,0.055
0.71,158.8,0.056
0.72,158.7,0.057
0.73,159.7,0.058
0.75,160.5,0.059
0.76,161.2,0.06
0.77,161.2,0.061
0.79,162.5,0.063
0.81,162.3,0.064
0.82,162.8,0.065
0.84,162.6,0.066
0.85,163.1,0.067
0.86,158.3,0.068
0.88,155,0.069
0.89,153.3,0.07
0.91,151.6,0.071
0.92,164.5,0.072
0.92,165,0.073
0.95,166.4,0.075
0.96,166.8,0.076
0.98,167.3,0.077
0.99,167.7,0.078
1,168.4,0.079
1.01,168.9,0.08
1.03,169,0.081
1.04,169.5,0.082
1.07,170.1,0.084
1.08,170,0.085
1.09,170.5,0.086
1.1,170.2,0.087
1.11,170.5,0.088
1.13,169.1,0.089
1.14,164.1,0.09
1.16,162.3,0.091
1.17,160.7,0.092
1.18,156.8,0.093
1.19,158.1,0.094
1.2,161.4,0.095
1.22,171.1,0.096
1.23,172,0.097
1.25,172.7,0.098
1.27,173.3,0.1
1.29,174,0.101
1.31,174.5,0.103
1.32,174.8,0.104
1.34,175,0.106
1.37,175.7,0.108
1.4,176.3,0.11
1.42,176.6,0.112
1.44,176.9,0.113
1.45,177,0.114
1.47,177.4,0.116
1.49,177.7,0.117
1.52,177.7,0.119
1.53,177.8,0.121
1.56,178.5,0.122
1.57,178.8,0.124
1.59,178.8,0.125
1.61,179.3,0.127
1.63,179.8,0.128
1.65,179.9,0.13
1.66,179.6,0.131
1.68,179.6,0.132
1.7,179.6,0.133
1.7,179.6,0.134
1.72,179.6,0.135
1.74,179.8,0.137
1.75,179.6,0.138
1.76,179.6,0.139
1.78,179.5,0.14
1.79,179.6,0.141
1.8,175,0.142
1.82,173.8,0.143
1.83,173.2,0.144
1.85,171.1,0.145
1.86,169.3,0.146
1.89,177.8,0.149
1.91,178.3,0.15
1.92,178.9,0.151
1.94,179.5,0.153
1.97,180,0.155
1.99,180.5,0.157
2.01,180.7,0.159
2.04,181.1,0.16
2.06,181.4,0.162
2.09,181.6,0.164
2.11,182,0.166
2.14,182.6,0.168
2.17,182.8,0.171
2.19,183,0.172
2.21,183.2,0.174
2.23,183.5,0.176
2.25,183.4,0.177
2.27,183.3,0.179
2.3,184.2,0.181
2.32,184.2,0.183
2.34,184.2,0.184
2.36,184.3,0.185
2.37,184.1,0.186
2.38,184,0.187
2.39,184.4,0.188
2.41,184.8,0.19
2.43,184.5,0.191
2.44,184.1,0.192
2.46,184.6,0.194
2.48,184.8,0.195
2.49,184.5,0.196
2.5,184.2,0.197
2.51,184.2,0.198
2.52,183.4,0.199
2.54,181.8,0.2
2.56,178.3,0.201
2.56,175.4,0.202
2.57,182.6,0.203
2.59,182.1,0.204
2.61,179.2,0.205
2.61,178.6,0.206
2.63,179.3,0.207
2.67,184.6,0.21
2.69,185.3,0.212
2.73,185.7,0.215
2.77,185.9,0.218
2.8,186.2,0.22
2.83,186.2,0.223
2.86,186.4,0.225
2.89,186.8,0.227
2.92,187.1,0.229
2.95,187.4,0.232
2.97,187.4,0.234
2.99,187.3,0.235
3.01,187.6,0.237
3.03,188,0.239
3.06,188.1,0.241
3.09,187.9,0.243
3.12,187.9,0.245
3.14,188.1,0.247
3.15,188.1,0.248
3.16,188,0.249
3.17,188.1,0.25
3.19,188.4,0.251
3.22,188.4,0.253
3.23,188.1,0.254
3.24,188.1,0.255
3.26,188.2,0.256
3.28,188.3,0.258
3.29,188.3,0.259
3.3,188,0.26
3.31,187.8,0.261
3.33,188.2,0.262
3.35,187.9,0.264
3.36,187.2,0.265
3.38,186.5,0.266
3.39,181.8,0.267
3.4,185.9,0.268
3.42,185.1,0.269
3.43,184.4,0.27
3.47,187.6,0.273
3.5,187.3,0.275
3.53,187.4,0.277
3.57,188.2,0.281
3.62,188.9,0.285
3.65,188.6,0.288
3.68,188.7,0.29
3.72,189.3,0.292
3.75,189.3,0.295
3.77,189.1,0.297
3.81,189.4,0.3
3.85,189.7,0.303
3.88,190,0.306
3.91,189.7,0.308
3.93,189.6,0.31
3.95,189.7,0.311
3.97,190,0.312
3.99,190.1,0.314
4.01,190.1,0.316
4.04,190.1,0.318
4.07,190,0.32
4.08,190,0.321
4.09,190,0.322
4.1,189.9,0.323
4.12,190.1,0.325
4.14,189.9,0.326
4.15,189.7,0.327
4.17,189.2,0.328
4.19,189.4,0.329
4.19,189,0.33
4.21,188.1,0.331
4.23,188.9,0.333
4.24,188.7,0.334
4.26,187.5,0.335
4.27,186.5,0.336
4.29,182.8,0.337
4.29,181.4,0.338
4.31,187,0.339
4.32,186.9,0.34
4.33,186.5,0.341
4.35,188.1,0.343
4.4,188.5,0.346
4.45,189,0.35
4.49,189.2,0.354
4.54,189.4,0.357
4.59,189.6,0.361
4.63,189.6,0.365
4.66,189.6,0.367
4.7,189.7,0.37
4.73,189.9,0.372
4.76,190.1,0.375
4.8,190.2,0.378
4.83,190.1,0.38
4.86,190.2,0.382
4.89,190.5,0.384
4.92,190.7,0.387
4.95,190.8,0.389
4.97,190.4,0.391
4.98,190,0.392
4.99,190,0.393
5.01,190.4,0.394
5.05,190.8,0.397
5.08,190.6,0.399
5.08,190.1,0.4
5.1,190.2,0.401
5.11,190.2,0.402
5.12,190,0.403
5.13,189.8,0.404
5.14,189.6,0.405
5.16,189.4,0.406
5.18,185.1,0.407
5.19,184.1,0.408
5.21,188.2,0.41
5.23,187.9,0.412
5.25,187.6,0.413
5.26,187.7,0.414
5.27,187.5,0.415
5.29,187.1,0.416
5.29,186.7,0.417
5.31,186.1,0.418
5.32,186.2,0.419
5.33,185.8,0.42
5.36,185.9,0.421
5.36,182.3,0.422
5.37,181.1,0.423
5.4,186.5,0.425
5.45,186.8,0.429
5.51,187.2,0.434
5.56,187.3,0.437
5.6,187.1,0.441
5.64,187.3,0.444
5.68,187.7,0.447
5.72,188,0.45
5.78,188,0.455
5.83,188,0.459
5.86,187.9,0.461
5.9,188.2,0.464
5.93,188.2,0.467
5.95,188,0.468
5.98,188,0.471
6.01,188.1,0.473
6.05,188.1,0.476
6.08,188.2,0.478
6.11,188.3,0.481
6.14,188.2,0.483
6.16,188.2,0.485
6.19,188.1,0.487
6.2,187.8,0.488
6.21,187.7,0.489
6.23,188,0.49
6.27,188.1,0.493
6.28,187.7,0.494
6.3,187.2,0.495
6.3,186.8,0.496
6.31,181.6,0.497
6.33,185.1,0.498
6.36,185.1,0.5
6.38,184.8,0.502
6.39,184.8,0.503
6.4,184.8,0.504
6.41,184.7,0.505
6.43,184.4,0.506
6.45,184.2,0.507
6.45,184,0.508
6.47,179.5,0.509
6.49,178.3,0.511
6.5,182.5,0.512
6.52,182.4,0.513
6.53,182.1,0.514
6.54,181.9,0.515
6.56,181.9,0.516
6.57,179.8,0.517
6.6,182.7,0.519
6.65,182.7,0.523
6.7,182.8,0.527
6.76,183.1,0.532
6.82,183.4,0.537
6.87,183.5,0.541
6.92,183.6,0.544
6.97,183.7,0.548
7.02,183.8,0.552
7.06,183.8,0.555
7.1,183.7,0.559
7.14,183.8,0.562
7.19,184.1,0.566
7.24,184.2,0.57
7.27,184.3,0.572
7.3,184.2,0.575
7.32,183.8,0.576
7.34,183.9,0.577
7.37,184.2,0.58
7.39,183.9,0.582
7.4,183.6,0.583
7.42,183.8,0.584
7.45,184.3,0.586
7.48,184.1,0.588
7.48,183.6,0.589
7.49,183.5,0.59
7.51,183.2,0.591
7.52,183.2,0.592
7.54,183.2,0.593
7.56,181.1,0.594
7.57,181,0.595
7.59,181.2,0.597
7.61,181.3,0.599
7.62,174.2,0.6
7.64,179.7,0.601
7.65,179.7,0.602
7.66,179.8,0.603
7.67,179.5,0.604
7.68,175.8,0.605
7.78,179.4,0.612
7.84,179.4,0.617
7.92,179.8,0.623
7.99,179.9,0.628
8.05,180,0.633
8.11,179.4,0.638
8.16,179,0.642
8.2,179.3,0.645
8.25,180,0.649
8.33,180.5,0.655
8.38,180.1,0.659
8.41,179.8,0.661
8.46,180.4,0.666
8.51,180.5,0.67
8.56,180.4,0.673
8.6,180.2,0.676
8.62,180,0.678
8.66,180.3,0.681
8.7,180.2,0.684
8.73,180.1,0.687
8.76,180.3,0.689
8.78,179.9,0.691
8.79,179.8,0.692
8.81,180,0.694
8.84,180,0.695
8.85,179.7,0.697
8.87,179,0.698
8.89,179.1,0.699
8.89,178.6,0.7
8.91,175.3,0.701
8.92,174.5,0.702
8.94,175.3,0.703
8.95,173.5,0.704
8.97,173.4,0.706
8.98,166.8,0.707
9.03,173,0.71
9.1,173.1,0.716
9.18,173.1,0.722
9.25,173,0.727
9.31,173.2,0.733
9.38,173.2,0.738
9.45,173.2,0.744
9.52,173.3,0.749
9.58,173.3,0.754
9.63,173.4,0.758
9.68,173.3,0.762
9.73,173.1,0.765
9.77,173.1,0.769
9.82,173.2,0.773
9.87,173.3,0.777
9.92,173.2,0.78
9.95,172.9,0.783
9.98,172.8,0.785
10.01,172.9,0.788
10.05,173,0.79
10.08,172.8,0.793
10.1,172.7,0.794
10.12,172.7,0.796
10.15,172.6,0.799
10.17,172.2,0.8
10.18,171.6,0.801
10.19,171.6,0.802
10.2,171.2,0.803
10.22,166.6,0.804
10.23,167.5,0.805
10.24,167.1,0.806
10.25,166.9,0.807
10.27,166.6,0.808
10.28,166.3,0.809
10.29,165.6,0.81
10.3,165.9,0.811
10.31,164.9,0.812
10.33,160.7,0.813
10.35,160.7,0.814
10.36,160.1,0.815
10.37,159.4,0.816
10.38,159.1,0.817
10.39,158.1,0.818
10.44,157.4,0.822
10.53,157.4,0.828
10.61,157.3,0.835
10.69,157.1,0.841
10.76,157,0.846
10.82,157,0.852
10.89,156.9,0.856
10.95,157.1,0.862
11.02,157.1,0.867
11.08,157,0.872
11.14,156.8,0.877
11.19,156.6,0.88
11.23,156.7,0.883
11.28,156.8,0.887
11.32,156.8,0.891
11.36,156.6,0.894
11.4,156.1,0.897
11.42,155.8,0.899
11.46,156,0.901
11.49,156,0.904
11.51,155.7,0.906
11.53,155.4,0.907
11.55,155.3,0.909
11.56,155.1,0.91
11.57,154.8,0.911
11.59,154.5,0.912
11.61,154.2,0.913
11.61,147,0.914
11.64,150.5,0.916
11.67,150.6,0.919
11.7,150.1,0.92
11.71,149.6,0.922
11.73,149.3,0.923
11.75,149.4,0.924
11.76,149.8,0.926
11.78,149.8,0.927
11.84,130.2,0.932
11.92,130.2,0.938
12,130.2,0.944
12.07,130.1,0.95
12.14,129.9,0.955
12.2,129.9,0.96
12.26,129.8,0.965
12.33,129.8,0.97
12.38,129.6,0.974
12.43,129.3,0.978
12.48,129.3,0.982
12.53,129.4,0.986
12.59,129.4,0.99
12.63,128.9,0.993
12.65,128.4,0.995
12.68,128.7,0.998
12.72,128.8,1.001
12.75,128.4,1.003
12.77,128.1,1.005
12.79,127.8,1.006
12.81,127.8,1.008
12.83,127.6,1.009
12.84,127.2,1.01
12.85,126.7,1.011
12.86,126.3,1.012
12.87,124.2,1.013
12.95,30.2,1.019
13.42,29.2,1.056
13.89,28.3,1.093
14.36,27.4,1.13
