Test unit;G2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0549370000000000;-42.5641;-4.39496
-0.0549245000000000;-42.5641;-4.39396
-0.0549120000000000;-42.5641;-4.39296
-0.0548995000000000;-42.5641;-4.39196
-0.0548870000000000;-42.5641;-4.39096
-0.0548745000000000;-42.5641;-4.38996
-0.0548620000000000;-42.5641;-4.38896
-0.0548495000000000;-42.5641;-4.38796
-0.0548370000000000;-42.5641;-4.38696
-0.0548245000000000;-42.5641;-4.38596
-0.0548120000000000;-42.5641;-4.38496
-0.0547995000000000;-42.5641;-4.38396
-0.0547870000000000;-42.5641;-4.38296
-0.0547745000000000;-42.5641;-4.38196
-0.0547620000000000;-42.5641;-4.38096
-0.0547495000000000;-42.5641;-4.37996
-0.0547370000000000;-42.5641;-4.37896
-0.0547245000000000;-42.5641;-4.37796
-0.0547120000000000;-42.5641;-4.37696
-0.0546995000000000;-42.5641;-4.37596
-0.0546870000000000;-42.5641;-4.37496
-0.0546745000000000;-42.5641;-4.37396
-0.0546620000000000;-42.5641;-4.37296
-0.0546495000000000;-42.5641;-4.37196
-0.0546370000000000;-42.5641;-4.37096
-0.0546245000000000;-42.5641;-4.36996
-0.0546120000000000;-42.5641;-4.36896
-0.0545995000000000;-42.5641;-4.36796
-0.0545870000000000;-42.5641;-4.36696
-0.0545745000000000;-42.5641;-4.36596
-0.0545620000000000;-42.5641;-4.36496
-0.0545495000000000;-42.5641;-4.36396
-0.0545370000000000;-42.5641;-4.36296
-0.0545245000000000;-42.5641;-4.36196
-0.0545120000000000;-42.5641;-4.36096
-0.0544995000000000;-42.5641;-4.35996
-0.0544870000000000;-42.5641;-4.35896
-0.0544745000000000;-42.5641;-4.35796
-0.0544620000000000;-42.5641;-4.35696
-0.0544495000000000;-42.5641;-4.35596
-0.0544370000000000;-42.5641;-4.35496
-0.0544245000000000;-42.5641;-4.35396
-0.0544120000000000;-42.5641;-4.35296
-0.0543995000000000;-42.5641;-4.35196
-0.0543870000000000;-42.5641;-4.35096
-0.0543745000000000;-42.5641;-4.34996
-0.0543620000000000;-42.5641;-4.34896
-0.0543495000000000;-42.5641;-4.34796
-0.0543370000000000;-42.5641;-4.34696
-0.0543245000000000;-42.5641;-4.34596
-0.0543120000000000;-42.5641;-4.34496
-0.0542995000000000;-42.5641;-4.34396
-0.0542870000000000;-42.5641;-4.34296
-0.0542745000000000;-42.5641;-4.34196
-0.0542620000000000;-42.5641;-4.34096
-0.0542495000000000;-42.5641;-4.33996
-0.0542370000000000;-42.5641;-4.33896
-0.0542245000000000;-42.5641;-4.33796
-0.0542120000000000;-42.5641;-4.33696
-0.0541995000000000;-42.5641;-4.33596
-0.0541870000000000;-42.5641;-4.33496
-0.0541745000000000;-42.5641;-4.33396
-0.0541620000000000;-42.5641;-4.33296
-0.0541495000000000;-42.5641;-4.33196
-0.0541370000000000;-42.5641;-4.33096
-0.0541245000000000;-42.5641;-4.32996
-0.0541120000000000;-42.5641;-4.32896
-0.0540995000000000;-42.5641;-4.32796
-0.0540870000000000;-42.5641;-4.32696
-0.0540745000000000;-42.5641;-4.32596
-0.0540620000000000;-42.5641;-4.32496
-0.0540495000000000;-42.5641;-4.32396
-0.0540370000000000;-42.5641;-4.32296
-0.0540245000000000;-42.5641;-4.32196
-0.0540120000000000;-42.5641;-4.32096
-0.0539995000000000;-42.5641;-4.31996
