Test unit,CT02
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
0.72,45.2,0.029
0.74,46.9,0.03
0.77,48.5,0.031
0.79,50.2,0.032
0.81,51.7,0.033
0.84,53.4,0.034
0.86,55.1,0.035
0.89,56.9,0.036
0.91,56.5,0.037
0.94,56.7,0.038
0.96,58.9,0.039
0.99,60.6,0.04
1.02,62.8,0.041
1.04,64.5,0.042
1.07,66.4,0.043
1.09,67.6,0.044
1.12,69.5,0.045
1.14,71.3,0.046
1.17,73,0.047
1.19,74.3,0.048
1.22,76,0.049
1.24,77.3,0.05
1.27,78.6,0.051
1.29,79.6,0.052
1.32,80.7,0.053
1.34,82.2,0.054
1.37,84.1,0.055
1.39,85.5,0.056
1.41,86.8,0.057
1.44,88.1,0.058
1.47,89.7,0.059
1.49,90.6,0.06
1.52,91.8,0.061
1.54,92.6,0.062
1.56,93.7,0.063
1.59,95,0.064
1.62,96.2,0.065
1.64,97.4,0.066
1.67,98.5,0.067
1.7,99.6,0.068
1.71,98.7,0.069
1.74,100.5,0.07
1.76,101.6,0.071
1.8,103.1,0.072
1.82,104.1,0.073
1.84,105.1,0.074
1.87,106.4,0.075
1.9,107.3,0.076
1.92,108.2,0.077
1.95,109.1,0.078
1.97,109.9,0.079
1.99,110.8,0.08
2.02,111.6,0.081
2.04,112.4,0.082
2.07,113.2,0.083
2.09,114,0.084
2.12,114.8,0.085
2.14,115.6,0.086
2.17,116.7,0.087
2.2,117.3,0.088
2.23,117.9,0.089
2.24,118.2,0.09
2.27,118.8,0.091
2.29,119.5,0.092
2.31,120.2,0.093
2.34,120.8,0.094
2.37,121.5,0.095
2.39,122.2,0.096
2.42,122.8,0.097
2.44,123.4,0.098
2.47,124.1,0.099
2.49,124.7,0.1
2.52,125.3,0.101
2.55,125.9,0.102
2.56,126.2,0.103
2.6,127.1,0.104
2.61,127.4,0.105
2.64,127.9,0.106
2.67,128.1,0.107
2.69,127.1,0.108
2.71,127.8,0.109
2.75,128.4,0.11
2.77,128.8,0.111
2.79,129.1,0.112
2.81,129.4,0.113
2.85,130,0.114
2.87,130.3,0.115
2.89,130.6,0.116
2.92,131.2,0.117
2.94,131.4,0.118
2.97,131.9,0.119
2.99,132.1,0.12
3.03,132.5,0.121
3.05,132.7,0.122
3.06,132.8,0.123
3.1,133.2,0.124
3.12,133.4,0.125
3.14,133.6,0.126
3.18,133.9,0.127
3.2,134.1,0.128
3.22,134.2,0.129
3.25,134.5,0.13
3.27,134.6,0.131
3.31,134.8,0.132
3.32,134.9,0.133
3.34,135,0.134
3.38,135.2,0.135
3.4,135.3,0.136
3.42,135.3,0.137
3.45,135.4,0.138
3.48,135.5,0.139
3.49,135.5,0.14
3.52,135.6,0.141
3.56,135.7,0.142
3.58,135.7,0.143
3.6,135.8,0.144
3.62,135.9,0.145
3.65,136,0.146
3.67,136,0.147
3.7,136.1,0.148
3.72,136.2,0.149
3.75,136.3,0.15
3.77,136.4,0.151
3.79,136.4,0.152
3.83,136.6,0.153
3.85,136.7,0.154
3.87,136.7,0.155
3.9,136.3,0.156
3.92,132,0.157
3.95,129.7,0.158
3.98,128.8,0.159
4,129,0.16
4.02,129.3,0.161
4.04,129.5,0.162
4.07,129.8,0.163
4.09,129.9,0.164
4.13,130.4,0.165
4.16,130.6,0.166
4.18,130.8,0.167
4.2,131,0.168
4.23,131.1,0.169
4.25,131.3,0.17
4.28,131.5,0.171
4.3,131.7,0.172
4.33,131.8,0.173
4.35,132,0.174
4.38,132.2,0.175
4.4,132.4,0.176
4.42,132.5,0.177
4.45,132.7,0.178
4.47,132.8,0.179
4.5,133,0.18
4.52,133.1,0.181
4.54,133.3,0.182
4.57,133.3,0.183
4.59,133.5,0.184
4.61,133.6,0.185
4.64,133.8,0.186
4.66,133.9,0.187
4.69,134.1,0.188
4.74,134.3,0.189
4.76,134.4,0.19
4.78,134.5,0.191
4.8,134.6,0.192
4.83,134.7,0.193
4.85,134.7,0.194
4.87,134.9,0.195
4.9,134.9,0.196
4.92,135,0.197
4.95,135.1,0.198
4.97,135.2,0.199
5,135.2,0.2
5.02,135.3,0.201
5.05,135.4,0.202
5.07,135.4,0.203
5.1,135.5,0.204
5.12,135.6,0.205
5.14,135.2,0.206
5.17,131.2,0.207
5.2,128.4,0.208
5.22,127.6,0.209
5.24,127.8,0.21
5.27,128,0.211
5.3,128.2,0.212
5.33,128.3,0.213
5.35,128.5,0.214
5.38,128.7,0.215
5.41,128.8,0.216
5.44,129,0.218
5.47,129.1,0.219
5.5,129.3,0.22
5.53,129.5,0.221
5.55,129.6,0.222
5.58,129.8,0.223
5.61,129.9,0.224
5.63,130.1,0.225
5.66,130.2,0.227
5.69,130.3,0.228
5.72,130.5,0.229
5.75,130.6,0.23
5.78,130.7,0.231
5.81,130.8,0.232
5.84,130.9,0.234
5.87,131.1,0.235
5.9,131.2,0.236
5.93,131.3,0.237
5.96,131.3,0.238
5.99,131.4,0.239
6.01,131.4,0.241
6.04,131.5,0.242
6.07,131.5,0.243
6.1,131.6,0.244
6.13,131.7,0.245
6.16,131.8,0.246
6.19,131.8,0.248
6.22,131.9,0.249
6.25,132,0.25
6.28,132,0.251
6.31,132.1,0.252
6.34,132.1,0.254
6.36,132.2,0.255
6.39,132.2,0.256
6.41,131.8,0.257
6.45,126.3,0.258
6.46,125.6,0.259
6.5,122.1,0.26
6.52,121.4,0.261
6.56,120.1,0.262
6.6,120.3,0.264
6.64,120.5,0.265
6.67,120.7,0.267
6.71,120.9,0.268
6.75,121.1,0.27
6.78,121.3,0.271
6.82,121.5,0.273
6.86,121.7,0.274
6.89,121.9,0.276
6.93,122,0.277
6.97,122.2,0.279
7.01,122.4,0.28
7.05,122.5,0.282
7.08,122.7,0.283
7.12,122.8,0.285
7.16,122.9,0.286
7.19,123.1,0.288
7.23,123.2,0.289
7.27,123.3,0.291
7.3,123.4,0.292
7.34,123.5,0.294
7.38,123.6,0.295
7.42,123.7,0.297
7.46,123.8,0.298
7.5,124,0.3
7.54,124,0.301
7.57,124.1,0.303
7.61,124.2,0.304
7.65,124.2,0.306
7.69,124.3,0.307
7.73,124.4,0.309
7.77,124.5,0.311
7.81,124.5,0.312
7.84,124.6,0.314
7.88,124.7,0.315
7.91,124.7,0.317
7.95,124.8,0.318
7.99,124.8,0.32
8.03,124.9,0.321
8.07,124.9,0.323
8.1,124.9,0.324
8.14,125,0.326
8.18,125,0.327
8.22,125.1,0.329
8.26,125.1,0.33
8.29,125.2,0.332
8.33,125.3,0.333
8.37,125.3,0.335
8.4,125.3,0.336
8.44,125.4,0.338
8.48,125.4,0.339
8.52,125.4,0.341
8.56,125.5,0.343
8.6,125.5,0.344
8.64,125.5,0.346
8.67,125.6,0.347
8.71,125.6,0.348
8.75,125.6,0.35
8.78,125.7,0.351
8.82,125.7,0.353
8.87,125.8,0.355
8.9,125.6,0.356
8.93,125,0.357
8.94,124,0.358
8.96,116.8,0.359
9,116.7,0.36
9.02,116.1,0.361
9.07,110.6,0.363
9.1,109.9,0.364
9.15,106,0.366
9.2,106.1,0.368
9.25,106.3,0.37
9.3,106.3,0.372
9.34,106.5,0.374
9.39,106.5,0.376
9.43,106.6,0.377
9.48,106.7,0.379
9.52,106.7,0.381
9.57,106.8,0.383
9.62,106.9,0.385
9.66,106.9,0.386
9.71,107,0.388
9.76,107,0.39
9.8,107.1,0.392
9.85,107.2,0.394
9.9,107.3,0.396
9.95,107.3,0.398
10,107.4,0.4
10.04,107.5,0.402
10.09,107.5,0.404
10.13,107.6,0.405
10.18,107.6,0.407
10.22,107.7,0.409
10.27,107.7,0.411
10.32,107.7,0.413
