Test unit;C_1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0385935000000000;-47.8455;-3.08748
-0.0385810000000000;-47.8509;-3.08648
-0.0385685000000000;-47.8509;-3.08548
-0.0385560000000000;-47.8509;-3.08448
-0.0385435000000000;-47.851;-3.08348
-0.0385310000000000;-47.851;-3.08248
-0.0385185000000000;-47.851;-3.08148
-0.0385060000000000;-47.851;-3.08048
-0.0384935000000000;-47.8511;-3.07948
-0.0384810000000000;-47.8511;-3.07848
-0.0384685000000000;-47.8511;-3.07748
-0.0384560000000000;-47.8512;-3.07648
-0.0384435000000000;-47.8512;-3.07548
-0.0384310000000000;-47.8512;-3.07448
-0.0384185000000000;-47.8513;-3.07348
-0.0384060000000000;-47.8513;-3.07248
-0.0383935000000000;-47.8513;-3.07148
-0.0383810000000000;-47.8514;-3.07048
-0.0383685000000000;-47.8514;-3.06948
-0.0383560000000000;-47.8514;-3.06848
-0.0383435000000000;-47.8515;-3.06748
-0.0383310000000000;-47.8515;-3.06648
-0.0383185000000000;-47.8515;-3.06548
-0.0383060000000000;-47.8516;-3.06448
-0.0382935000000000;-47.8516;-3.06348
-0.0382810000000000;-47.8516;-3.06248
-0.0382685000000000;-47.8517;-3.06148
-0.0382560000000000;-47.8517;-3.06048
-0.0382435000000000;-47.8517;-3.05948
-0.0382310000000000;-47.8518;-3.05848
-0.0382185000000000;-47.8518;-3.05748
-0.0382060000000000;-47.8518;-3.05648
-0.0381935000000000;-47.8518;-3.05548
-0.0381810000000000;-47.8519;-3.05448
-0.0381685000000000;-47.8519;-3.05348
-0.0381560000000000;-47.8519;-3.05248
-0.0381435000000000;-47.852;-3.05148
-0.0381310000000000;-47.852;-3.05048
-0.0381185000000000;-47.852;-3.04948
-0.0381060000000000;-47.8521;-3.04848
-0.0380935000000000;-47.8521;-3.04748
-0.0380810000000000;-47.8521;-3.04648
-0.0380685000000000;-47.8522;-3.04548
-0.0380560000000000;-47.8522;-3.04448
-0.0380435000000000;-47.8522;-3.04348
-0.0380310000000000;-47.8523;-3.04248
-0.0380185000000000;-47.8523;-3.04148
-0.0380060000000000;-47.8523;-3.04048
-0.0379935000000000;-47.8524;-3.03948
-0.0379810000000000;-47.8524;-3.03848
-0.0379685000000000;-47.8524;-3.03748
-0.0379560000000000;-47.8525;-3.03648
-0.0379435000000000;-47.8525;-3.03548
-0.0379310000000000;-47.8525;-3.03448
-0.0379185000000000;-47.8526;-3.03348
-0.0379060000000000;-47.8526;-3.03248
-0.0378935000000000;-47.8526;-3.03148
-0.0378810000000000;-47.8527;-3.03048
-0.0378685000000000;-47.8527;-3.02948
-0.0378560000000000;-47.8527;-3.02848
-0.0378435000000000;-47.8527;-3.02748
-0.0378310000000000;-47.8528;-3.02648
-0.0378185000000000;-47.8528;-3.02548
-0.0378060000000000;-47.8528;-3.02448
-0.0377935000000000;-47.8529;-3.02348
-0.0377810000000000;-47.8529;-3.02248
-0.0377685000000000;-47.8529;-3.02148
-0.0377560000000000;-47.8571;-3.02048
-0.0377435000000000;-47.8726;-3.01948
-0.0377310000000000;-47.8881;-3.01848
-0.0377185000000000;-47.9035;-3.01748
-0.0377060000000000;-47.919;-3.01648
-0.0376935000000000;-47.9345;-3.01548
-0.0376810000000000;-47.95;-3.01448
-0.0376685000000000;-47.9655;-3.01348
-0.0376560000000000;-47.9809;-3.01248
-0.0376435000000000;-47.9964;-3.01148
-0.0376310000000000;-48.0119;-3.01048
-0.0376185000000000;-48.0274;-3.00948
-0.0376060000000000;-48.0429;-3.00848
-0.0375935000000000;-48.0583;-3.00748
-0.0375810000000000;-48.0738;-3.00648
-0.0375685000000000;-48.0893;-3.00548
-0.0375560000000000;-48.1048;-3.00448
-0.0375435000000000;-48.1203;-3.00348
-0.0375310000000000;-48.1357;-3.00248
