Test unit;IG1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0574781250000000;-42.5641;-4.59825
-0.0574656250000000;-42.5641;-4.59725
-0.0574531250000000;-42.5641;-4.59625
-0.0574406250000000;-42.5641;-4.59525
-0.0574281250000000;-42.5641;-4.59425
-0.0574156250000000;-42.5641;-4.59325
-0.0574031250000000;-42.5641;-4.59225
-0.0573906250000000;-42.5641;-4.59125
-0.0573781250000000;-42.5641;-4.59025
-0.0573656250000000;-42.5641;-4.58925
-0.0573531250000000;-42.5641;-4.58825
-0.0573406250000000;-42.5641;-4.58725
-0.0573281250000000;-42.5641;-4.58625
-0.0573156250000000;-42.5641;-4.58525
-0.0573031250000000;-42.5641;-4.58425
-0.0572906250000000;-42.5641;-4.58325
-0.0572781250000000;-42.5641;-4.58225
-0.0572656250000000;-42.5641;-4.58125
-0.0572531250000000;-42.5641;-4.58025
-0.0572406250000000;-42.5641;-4.57925
-0.0572281250000000;-42.5641;-4.57825
-0.0572156250000000;-42.5641;-4.57725
-0.0572031250000000;-42.5641;-4.57625
-0.0571906250000000;-42.5641;-4.57525
-0.0571781250000000;-42.5641;-4.57425
-0.0571656250000000;-42.5641;-4.57325
-0.0571531250000000;-42.5641;-4.57225
-0.0571406250000000;-42.5641;-4.57125
-0.0571281250000000;-42.5641;-4.57025
-0.0571156250000000;-42.5641;-4.56925
-0.0571031250000000;-42.5641;-4.56825
-0.0570906250000000;-42.5641;-4.56725
-0.0570781250000000;-42.5641;-4.56625
-0.0570656250000000;-42.5641;-4.56525
-0.0570531250000000;-42.5641;-4.56425
-0.0570406250000000;-42.5641;-4.56325
-0.0570281250000000;-42.5641;-4.56225
-0.0570156250000000;-42.5641;-4.56125
-0.0570031250000000;-42.5641;-4.56025
-0.0569906250000000;-42.5641;-4.55925
-0.0569781250000000;-42.5641;-4.55825
-0.0569656250000000;-42.5641;-4.55725
-0.0569531250000000;-42.5641;-4.55625
-0.0569406250000000;-42.5641;-4.55525
-0.0569281250000000;-42.5736;-4.55425
-0.0569156250000000;-42.5891;-4.55325
-0.0569031250000000;-42.6046;-4.55225
-0.0568906250000000;-42.6201;-4.55125
-0.0568781250000000;-42.6356;-4.55025
-0.0568656250000000;-42.651;-4.54925
-0.0568531250000000;-42.6665;-4.54825
-0.0568406250000000;-42.682;-4.54725
-0.0568281250000000;-42.6975;-4.54625
-0.0568156250000000;-42.713;-4.54525
-0.0568031250000000;-42.7284;-4.54425
-0.0567906250000000;-42.7439;-4.54325
-0.0567781250000000;-42.7594;-4.54225
-0.0567656250000000;-42.7749;-4.54125
-0.0567531250000000;-42.7904;-4.54025
-0.0567406250000000;-42.8058;-4.53925
-0.0567281250000000;-42.8213;-4.53825
-0.0567156250000000;-42.8368;-4.53725
-0.0567031250000000;-42.8523;-4.53625
-0.0566906250000000;-42.8678;-4.53525
-0.0566781250000000;-42.8832;-4.53425
-0.0566656250000000;-42.8987;-4.53325
-0.0566531250000000;-42.9142;-4.53225
-0.0566406250000000;-42.9297;-4.53125
-0.0566281250000000;-42.9452;-4.53025
-0.0566156250000000;-42.9606;-4.52925
-0.0566031250000000;-42.9761;-4.52825
-0.0565906250000000;-42.9916;-4.52725
-0.0565781250000000;-43.0071;-4.52625
-0.0565656250000000;-43.0226;-4.52525
-0.0565531250000000;-43.0381;-4.52425
-0.0565406250000000;-43.0535;-4.52325
-0.0565281250000000;-43.069;-4.52225
-0.0565156250000000;-43.0845;-4.52125
-0.0565031250000000;-43.1;-4.52025
-0.0564906250000000;-43.1155;-4.51925
-0.0564781250000000;-43.1309;-4.51825
-0.0564656250000000;-43.1464;-4.51725
-0.0564531250000000;-43.1619;-4.51625
-0.0564406250000000;-43.1774;-4.51525
-0.0564281250000000;-43.1929;-4.51425
-0.0564156250000000;-43.2083;-4.51325
-0.0564031250000000;-43.2238;-4.51225
-0.0563906250000000;-43.2393;-4.51125
-0.0563781250000000;-43.2548;-4.51025
-0.0563656250000000;-43.2703;-4.50925
-0.0563531250000000;-43.2857;-4.50825
-0.0563406250000000;-43.3012;-4.50725
-0.0563281250000000;-43.3167;-4.50625
-0.0563156250000000;-43.3322;-4.50525
-0.0563031250000000;-43.3477;-4.50425
-0.0562906250000000;-43.3631;-4.50325
-0.0562781250000000;-43.3786;-4.50225
-0.0562656250000000;-43.3941;-4.50125
-0.0562531250000000;-43.4096;-4.50025
-0.0562406250000000;-43.4251;-4.49925
-0.0562281250000000;-43.4406;-4.49825
-0.0562156250000000;-43.456;-4.49725
-0.0562031250000000;-43.4715;-4.49625
-0.0561906250000000;-43.487;-4.49525
-0.0561781250000000;-43.5025;-4.49425
-0.0561656250000000;-43.518;-4.49325
-0.0561531250000000;-43.5334;-4.49225
-0.0561406250000000;-43.5489;-4.49125
-0.0561281250000000;-43.5644;-4.49025
-0.0561156250000000;-43.5799;-4.48925
-0.0561031250000000;-43.5897;-4.48825
-0.0560906250000000;-43.5897;-4.48725
-0.0560781250000000;-43.5897;-4.48625
-0.0560656250000000;-43.5897;-4.48525
-0.0560531250000000;-43.5897;-4.48425
-0.0560406250000000;-43.5897;-4.48325
-0.0560281250000000;-43.5897;-4.48225
-0.0560156250000000;-43.5897;-4.48125
-0.0560031250000000;-43.5897;-4.48025
-0.0559906250000000;-43.5897;-4.47925
-0.0559781250000000;-43.5897;-4.47825
-0.0559656250000000;-43.5897;-4.47725
-0.0559531250000000;-43.5897;-4.47625
-0.0559406250000000;-43.5897;-4.47525
-0.0559281250000000;-43.5897;-4.47425
-0.0559156250000000;-43.5897;-4.47325
-0.0559031250000000;-43.5897;-4.47225
-0.0558906250000000;-43.5897;-4.47125
-0.0558781250000000;-43.5897;-4.47025
-0.0558656250000000;-43.5897;-4.46925
-0.0558531250000000;-43.5897;-4.46825
-0.0558406250000000;-43.5897;-4.46725
-0.0558281250000000;-43.5897;-4.46625
-0.0558156250000000;-43.5897;-4.46525
-0.0558031250000000;-43.5897;-4.46425
-0.0557906250000000;-43.5897;-4.46325
-0.0557781250000000;-43.5897;-4.46225
-0.0557656250000000;-43.5897;-4.46125
-0.0557531250000000;-43.5897;-4.46025
-0.0557406250000000;-43.5897;-4.45925
-0.0557281250000000;-43.5897;-4.45825
-0.0557156250000000;-43.5897;-4.45725
-0.0557031250000000;-43.5897;-4.45625
-0.0556906250000000;-43.5897;-4.45525
-0.0556781250000000;-43.5897;-4.45425
-0.0556656250000000;-43.5897;-4.45325
-0.0556531250000000;-43.5897;-4.45225
-0.0556406250000000;-43.5897;-4.45125
-0.0556281250000000;-43.5897;-4.45025
-0.0556156250000000;-43.5897;-4.44925
-0.0556031250000000;-43.5897;-4.44825
-0.0555906250000000;-43.5897;-4.44725
-0.0555781250000000;-43.5897;-4.44625
-0.0555656250000000;-43.5897;-4.44525
-0.0555531250000000;-43.5897;-4.44425
-0.0555406250000000;-43.5897;-4.44325
-0.0555281250000000;-43.5897;-4.44225
-0.0555156250000000;-43.5897;-4.44125
-0.0555031250000000;-43.5897;-4.44025
