Test unit,CS01
Reference,Magenes et al. (2010)
top_displacement,horizontal_force,drift
[mm],[kN],[%]
4.67,78.1,0.187
4.69,78.2,0.188
4.71,78.3,0.189
4.76,78.6,0.19
4.78,78.6,0.191
4.8,78.8,0.192
4.82,78.9,0.193
4.84,79,0.194
4.87,79.1,0.195
4.89,79.2,0.196
4.93,79.4,0.197
4.96,79.5,0.198
4.99,79.6,0.199
5.01,79.7,0.2
5.03,79.8,0.201
5.05,79.8,0.202
5.07,80,0.203
5.1,80,0.204
5.12,80.2,0.205
5.14,80.2,0.206
5.18,80.4,0.207
5.21,80.5,0.208
5.23,80.5,0.209
5.26,80.6,0.21
5.28,80.7,0.211
5.3,80.8,0.212
5.32,80.8,0.213
5.35,80.9,0.214
5.37,81,0.215
5.39,81.1,0.216
5.42,81.1,0.217
5.44,81.2,0.218
5.47,81.3,0.219
5.49,81.3,0.22
5.52,81.3,0.221
5.54,80.6,0.222
5.56,80,0.223
5.59,80.8,0.224
5.62,81,0.225
5.65,81.1,0.226
5.68,81.2,0.227
5.71,81.3,0.228
5.74,81.4,0.23
5.77,81.5,0.231
5.79,81.6,0.232
5.82,81.7,0.233
5.85,81.7,0.234
5.87,81.8,0.235
5.9,81.9,0.236
5.93,82,0.237
5.96,82.1,0.238
5.98,82.2,0.239
6.01,82.3,0.24
6.04,82.3,0.242
6.07,82.4,0.243
6.09,82.5,0.244
6.12,82.6,0.245
6.15,82.6,0.246
6.18,82.7,0.247
6.21,82.8,0.248
6.24,82.9,0.25
6.27,83,0.251
6.3,83,0.252
6.33,83.1,0.253
6.36,83.2,0.254
6.38,83.2,0.255
6.41,83.3,0.257
6.44,83.4,0.258
6.47,83.4,0.259
6.5,83.5,0.26
6.53,83.6,0.261
6.56,83.6,0.262
6.59,83.6,0.263
6.61,83.7,0.264
6.64,83.8,0.266
6.67,83.8,0.267
6.69,83.9,0.268
6.72,83.7,0.269
6.74,83.2,0.27
6.76,82.4,0.271
6.8,81.9,0.272
6.85,82.6,0.274
6.89,82.7,0.275
6.92,82.8,0.277
6.96,82.9,0.278
6.99,82.9,0.28
7.03,83,0.281
7.07,83.1,0.283
7.12,83.1,0.285
7.16,83.2,0.286
7.2,83.3,0.288
7.24,83.3,0.29
7.27,83.4,0.291
7.31,83.5,0.292
7.34,83.5,0.294
7.38,83.6,0.295
7.41,83.7,0.297
7.45,83.7,0.298
7.49,83.8,0.3
7.54,83.9,0.301
7.58,84,0.303
7.62,84,0.305
7.66,84.1,0.306
7.69,84.1,0.308
7.73,84.2,0.309
7.77,84.2,0.311
7.81,84.3,0.313
7.85,84.3,0.314
7.89,84.4,0.316
7.93,84.4,0.317
7.96,84.5,0.319
8,84.6,0.32
8.04,84.6,0.322
8.08,84.6,0.323
8.11,84.7,0.325
8.15,84.8,0.326
