Test unit;CS01;
Reference;Senaldi et al. (2018);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
Displacement,Force,Drift
-8.340406,-18.069386,-0.463356
-8.311333,-18.053986,-0.461741
-8.282174,-18.030208,-0.460121
-8.252687,-18.000121,-0.458483
-8.223284,-17.969142,-0.456849
-8.194064,-17.940940,-0.455226
-8.164696,-17.912889,-0.453594
-8.135566,-17.882317,-0.451976
-8.106600,-17.840552,-0.450367
-8.077991,-17.804349,-0.448777
-8.049023,-17.765657,-0.447168
-8.019937,-17.726524,-0.445552
-7.990906,-17.706510,-0.443939
-7.962225,-17.697510,-0.442346
-7.933544,-17.687036,-0.440752
-7.904983,-17.675229,-0.439166
-7.876759,-17.664873,-0.437598
-7.848297,-17.654380,-0.436016
-7.819608,-17.668486,-0.434423
-7.791074,-17.683616,-0.432837
-7.762779,-17.700060,-0.431266
-7.734590,-17.732406,-0.429699
-7.706520,-17.758713,-0.428140
-7.678318,-17.771480,-0.426573
-7.650249,-17.781885,-0.425014
-7.622011,-17.792153,-0.423445
-7.593534,-17.792712,-0.421863
-7.565409,-17.787799,-0.420300
-7.537446,-17.769024,-0.418747
-7.509363,-17.749368,-0.417187
-7.481485,-17.729992,-0.415638
-7.453550,-17.695285,-0.414086
-7.425467,-17.644070,-0.412526
-7.397426,-17.600362,-0.410968
-7.369097,-17.556957,-0.409394
-7.340731,-17.513840,-0.407818
-7.312556,-17.488402,-0.406253
-7.284086,-17.476247,-0.404671
-7.255488,-17.448906,-0.403083
-7.226686,-17.420833,-0.401483
-7.197750,-17.392614,-0.399875
-7.168899,-17.364533,-0.398272
-7.140133,-17.363738,-0.396674
-7.111163,-17.362954,-0.395065
-7.096326,-16.895239,-0.394240
-7.093266,-17.040165,-0.394070
-7.085428,-17.150524,-0.393635
-7.073500,-17.237497,-0.392972
-7.058306,-17.310486,-0.392128
-7.040445,-17.363998,-0.391136
-7.020762,-17.398574,-0.390042
-6.999931,-17.419932,-0.388885
-6.978475,-17.434093,-0.387693
-6.956525,-17.442821,-0.386474
-6.934308,-17.448317,-0.385239
-6.911914,-17.440829,-0.383995
-6.889379,-17.432905,-0.382743
-6.866639,-17.424548,-0.381480
-6.843872,-17.417224,-0.380215
-6.821217,-17.404725,-0.378957
-6.798562,-17.402267,-0.377698
-6.775787,-17.402769,-0.376433
-6.752981,-17.388796,-0.375166
-6.729922,-17.376607,-0.373885
-6.706948,-17.362786,-0.372608
-6.683946,-17.356501,-0.371330
