Test unit;URM 1;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0104027500000000;-37.4359;-0.83222
-0.0103902500000000;-37.4359;-0.83122
-0.0103777500000000;-37.4359;-0.83022
-0.0103652500000000;-37.4359;-0.82922
-0.0103527500000000;-37.4359;-0.82822
-0.0103402500000000;-37.4359;-0.82722
-0.0103277500000000;-37.4359;-0.82622
-0.0103152500000000;-37.4359;-0.82522
-0.0103027500000000;-37.4359;-0.82422
-0.0102902500000000;-37.4359;-0.82322
-0.0102777500000000;-37.4359;-0.82222
-0.0102652500000000;-37.4359;-0.82122
-0.0102527500000000;-37.4359;-0.82022
-0.0102402500000000;-37.4359;-0.81922
-0.0102277500000000;-37.4359;-0.81822
-0.0102152500000000;-37.4359;-0.81722
-0.0102027500000000;-37.4359;-0.81622
-0.0101902500000000;-37.4359;-0.81522
-0.0101777500000000;-37.4359;-0.81422
-0.0101652500000000;-37.4359;-0.81322
-0.0101527500000000;-37.4359;-0.81222
-0.0101402500000000;-37.4359;-0.81122
-0.0101277500000000;-37.4359;-0.81022
-0.0101152500000000;-37.4359;-0.80922
-0.0101027500000000;-37.4359;-0.80822
-0.0100902500000000;-37.4359;-0.80722
-0.0100777500000000;-37.4359;-0.80622
-0.0100652500000000;-37.4359;-0.80522
-0.0100527500000000;-37.4359;-0.80422
-0.0100402500000000;-37.4359;-0.80322
-0.0100277500000000;-37.4359;-0.80222
-0.0100152500000000;-37.4359;-0.80122
-0.0100027500000000;-37.4359;-0.80022
-0.00999025000000000;-37.4359;-0.79922
-0.00997775000000000;-37.4359;-0.79822
-0.00996525000000000;-37.4359;-0.79722
-0.00995275000000000;-37.443;-0.79622
-0.00994025000000000;-37.4585;-0.79522
-0.00992775000000000;-37.4739;-0.79422
-0.00991525000000000;-37.4894;-0.79322
-0.00990275000000000;-37.5048;-0.79222
-0.00989025000000000;-37.5203;-0.79122
-0.00987775000000000;-37.5357;-0.79022
-0.00986525000000000;-37.5512;-0.78922
-0.00985275000000000;-37.5666;-0.78822
-0.00984025000000000;-37.582;-0.78722
-0.00982775000000000;-37.5975;-0.78622
-0.00981525000000000;-37.6129;-0.78522
-0.00980275000000000;-37.6284;-0.78422
-0.00979025000000000;-37.6438;-0.78322
-0.00977775000000000;-37.6593;-0.78222
-0.00976525000000000;-37.6747;-0.78122
-0.00975275000000000;-37.6902;-0.78022
-0.00974025000000000;-37.7056;-0.77922
-0.00972775000000000;-37.7211;-0.77822
-0.00971525000000000;-37.7365;-0.77722
-0.00970275000000000;-37.752;-0.77622
-0.00969025000000000;-37.7674;-0.77522
-0.00967775000000000;-37.7829;-0.77422
-0.00966525000000000;-37.7983;-0.77322
-0.00965275000000000;-37.8138;-0.77222
-0.00964025000000000;-37.8292;-0.77122
-0.00962775000000000;-37.8447;-0.77022
-0.00961525000000000;-37.8601;-0.76922
-0.00960275000000000;-37.8756;-0.76822
-0.00959025000000000;-37.891;-0.76722
-0.00957775000000000;-37.9065;-0.76622
-0.00956525000000000;-37.9219;-0.76522
-0.00955275000000000;-37.9374;-0.76422
-0.00954025000000000;-37.9692;-0.76322
-0.00952775000000000;-38.0465;-0.76222
-0.00951525000000000;-38.1237;-0.76122
-0.00950275000000000;-38.201;-0.76022
-0.00949025000000000;-38.2782;-0.75922
-0.00947775000000000;-38.3554;-0.75822
-0.00946525000000000;-38.4327;-0.75722
-0.00945275000000000;-38.5099;-0.75622
-0.00944025000000000;-38.5872;-0.75522
-0.00942775000000000;-38.6644;-0.75422
-0.00941525000000000;-38.7417;-0.75322
-0.00940275000000000;-38.8189;-0.75222
-0.00939025000000000;-38.8961;-0.75122
-0.00937775000000000;-38.9734;-0.75022
-0.00936525000000000;-39.0506;-0.74922
-0.00935275000000000;-39.1279;-0.74822
-0.00934025000000000;-39.2051;-0.74722
-0.00932775000000000;-39.2824;-0.74622
-0.00931525000000000;-39.3596;-0.74522
-0.00930275000000000;-39.4369;-0.74422
-0.00929025000000000;-39.5141;-0.74322
-0.00927775000000000;-39.5913;-0.74222
-0.00926525000000000;-39.6686;-0.74122
-0.00925275000000000;-39.7458;-0.74022
-0.00924025000000000;-39.8231;-0.73922
-0.00922775000000000;-39.9003;-0.73822
-0.00921525000000000;-39.9776;-0.73722
-0.00920275000000000;-40.0548;-0.73622
-0.00919025000000000;-40.132;-0.73522
-0.00917775000000000;-40.2093;-0.73422
-0.00916525000000000;-40.2865;-0.73322
-0.00915275000000000;-40.3638;-0.73222
-0.00914025000000000;-40.441;-0.73122
-0.00912775000000000;-40.5161;-0.73022
-0.00911525000000000;-40.5624;-0.72922
-0.00910275000000000;-40.6088;-0.72822
-0.00909025000000000;-40.6551;-0.72722
-0.00907775000000000;-40.7015;-0.72622
-0.00906525000000000;-40.7478;-0.72522
-0.00905275000000000;-40.7942;-0.72422
-0.00904025000000000;-40.8405;-0.72322
-0.00902775000000000;-40.8869;-0.72222
-0.00901525000000000;-40.9332;-0.72122
-0.00900275000000000;-40.9795;-0.72022
-0.00899025000000000;-41.0259;-0.71922
-0.00897775000000000;-41.0722;-0.71822
-0.00896525000000000;-41.1186;-0.71722
-0.00895275000000000;-41.1649;-0.71622
-0.00894025000000000;-41.2113;-0.71522
-0.00892775000000000;-41.2576;-0.71422
-0.00891525000000000;-41.304;-0.71322
-0.00890275000000000;-41.3503;-0.71222
-0.00889025000000000;-41.3967;-0.71122
-0.00887775000000000;-41.443;-0.71022
-0.00886525000000000;-41.4894;-0.70922
-0.00885275000000000;-41.5357;-0.70822
-0.00884025000000000;-41.582;-0.70722
-0.00882775000000000;-41.6284;-0.70622
-0.00881525000000000;-41.6747;-0.70522
-0.00880275000000000;-41.7211;-0.70422
-0.00879025000000000;-41.7674;-0.70322
-0.00877775000000000;-41.8138;-0.70222
-0.00876525000000000;-41.8601;-0.70122
-0.00875275000000000;-41.9065;-0.70022
-0.00874025000000000;-41.9528;-0.69922
-0.00872775000000000;-41.9992;-0.69822
-0.00871525000000000;-42.0455;-0.69722
