Test unit;C2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
0.00693862500000000;37.9302;0.55509
0.00706362500000000;38.3925;0.56509
0.00718862500000000;38.8548;0.57509
0.00731362500000000;39.4831;0.58509
0.00743862500000000;40.2541;0.59509
0.00756362500000000;41.025;0.60509
0.00768862500000000;41.7611;0.61509
0.00781362500000000;42.3778;0.62509
0.00793862500000000;42.9944;0.63509
0.00806362500000000;43.611;0.64509
0.00818862500000000;44.0867;0.65509
0.00831362500000000;44.549;0.66509
0.00843862500000000;45.0113;0.67509
0.00856362500000000;45.4736;0.68509
0.00868862500000000;45.9359;0.69509
0.00881362500000000;46.3983;0.70509
0.00893862500000000;46.7718;0.71509
0.00906362500000000;46.9255;0.72509
0.00918862500000000;47.0792;0.73509
0.00931362500000000;47.2329;0.74509
0.00943862500000000;47.3865;0.75509
0.00956362500000000;47.5402;0.76509
0.00968862500000000;47.6939;0.77509
