Test unit;URM2;
Reference;Ponte et al. (2023);
top_displacement;horizontal_force;drift
[mm];[kN];[%]
-0.0193063750000000;-35.9106;-1.54451
-0.0192938750000000;-35.9415;-1.54351
-0.0192813750000000;-35.9724;-1.54251
-0.0192688750000000;-36.0032;-1.54151
-0.0192563750000000;-36.0341;-1.54051
-0.0192438750000000;-36.0517;-1.53951
-0.0192313750000000;-36.0671;-1.53851
-0.0192188750000000;-36.0825;-1.53751
-0.0192063750000000;-36.0979;-1.53651
-0.0191938750000000;-36.1134;-1.53551
-0.0191813750000000;-36.1288;-1.53451
-0.0191688750000000;-36.1442;-1.53351
-0.0191563750000000;-36.1597;-1.53251
-0.0191438750000000;-36.1751;-1.53151
-0.0191313750000000;-36.1905;-1.53051
-0.0191188750000000;-36.206;-1.52951
-0.0191063750000000;-36.2214;-1.52851
-0.0190938750000000;-36.2368;-1.52751
-0.0190813750000000;-36.2523;-1.52651
-0.0190688750000000;-36.2677;-1.52551
-0.0190563750000000;-36.2831;-1.52451
-0.0190438750000000;-36.2986;-1.52351
-0.0190313750000000;-36.314;-1.52251
-0.0190188750000000;-36.3294;-1.52151
-0.0190063750000000;-36.3448;-1.52051
-0.0189938750000000;-36.3603;-1.51951
-0.0189813750000000;-36.3757;-1.51851
-0.0189688750000000;-36.3911;-1.51751
-0.0189563750000000;-36.4066;-1.51651
-0.0189438750000000;-36.422;-1.51551
-0.0189313750000000;-36.4374;-1.51451
-0.0189188750000000;-36.4529;-1.51351
-0.0189063750000000;-36.4683;-1.51251
-0.0188938750000000;-36.4837;-1.51151
-0.0188813750000000;-36.4992;-1.51051
-0.0188688750000000;-36.5146;-1.50951
-0.0188563750000000;-36.53;-1.50851
-0.0188438750000000;-36.5455;-1.50751
-0.0188313750000000;-36.5609;-1.50651
-0.0188188750000000;-36.5763;-1.50551
-0.0188063750000000;-36.5917;-1.50451
-0.0187938750000000;-36.6072;-1.50351
-0.0187813750000000;-36.6226;-1.50251
-0.0187688750000000;-36.638;-1.50151
-0.0187563750000000;-36.6535;-1.50051
-0.0187438750000000;-36.6689;-1.49951
-0.0187313750000000;-36.6843;-1.49851
-0.0187188750000000;-36.6998;-1.49751
-0.0187063750000000;-36.7152;-1.49651
-0.0186938750000000;-36.7306;-1.49551
-0.0186813750000000;-36.7461;-1.49451
-0.0186688750000000;-36.7615;-1.49351
-0.0186563750000000;-36.7769;-1.49251
-0.0186438750000000;-36.7924;-1.49151
-0.0186313750000000;-36.8078;-1.49051
-0.0186188750000000;-36.8232;-1.48951
-0.0186063750000000;-36.8386;-1.48851
-0.0185938750000000;-36.8541;-1.48751
-0.0185813750000000;-36.8695;-1.48651
-0.0185688750000000;-36.8849;-1.48551
-0.0185563750000000;-36.9004;-1.48451
-0.0185438750000000;-36.9158;-1.48351
-0.0185313750000000;-36.9312;-1.48251
-0.0185188750000000;-36.9467;-1.48151
-0.0185063750000000;-36.9621;-1.48051
-0.0184938750000000;-36.9775;-1.47951
-0.0184813750000000;-36.993;-1.47851
-0.0184688750000000;-37.0084;-1.47751
-0.0184563750000000;-37.0238;-1.47651
-0.0184438750000000;-37.0393;-1.47551
-0.0184313750000000;-37.0547;-1.47451
-0.0184188750000000;-37.0701;-1.47351
-0.0184063750000000;-37.0855;-1.47251
-0.0183938750000000;-37.101;-1.47151
-0.0183813750000000;-37.1164;-1.47051
-0.0183688750000000;-37.1318;-1.46951
-0.0183563750000000;-37.1473;-1.46851
-0.0183438750000000;-37.1627;-1.46751
-0.0183313750000000;-37.1781;-1.46651
-0.0183188750000000;-37.1936;-1.46551
-0.0183063750000000;-37.209;-1.46451
-0.0182938750000000;-37.2244;-1.46351
-0.0182813750000000;-37.2399;-1.46251
-0.0182688750000000;-37.2553;-1.46151
-0.0182563750000000;-37.2707;-1.46051
-0.0182438750000000;-37.2862;-1.45951
-0.0182313750000000;-37.3016;-1.45851
-0.0182188750000000;-37.317;-1.45751
-0.0182063750000000;-37.3324;-1.45651
-0.0181938750000000;-37.3479;-1.45551
-0.0181813750000000;-37.3633;-1.45451
-0.0181688750000000;-37.3787;-1.45351
-0.0181563750000000;-37.3942;-1.45251
-0.0181438750000000;-37.4096;-1.45151
-0.0181313750000000;-37.425;-1.45051
-0.0181188750000000;-37.4405;-1.44951
-0.0181063750000000;-37.4559;-1.44851
-0.0180938750000000;-37.4713;-1.44751
-0.0180813750000000;-37.4868;-1.44651
-0.0180688750000000;-37.5022;-1.44551
-0.0180563750000000;-37.5176;-1.44451
-0.0180438750000000;-37.5331;-1.44351
-0.0180313750000000;-37.5485;-1.44251
-0.0180188750000000;-37.5639;-1.44151
-0.0180063750000000;-37.5719;-1.44051
-0.0179938750000000;-37.5719;-1.43951
-0.0179813750000000;-37.5719;-1.43851
-0.0179688750000000;-37.5719;-1.43751
-0.0179563750000000;-37.5719;-1.43651
-0.0179438750000000;-37.5719;-1.43551
-0.0179313750000000;-37.5719;-1.43451
-0.0179188750000000;-37.5719;-1.43351
-0.0179063750000000;-37.5719;-1.43251
-0.0178938750000000;-37.5719;-1.43151
-0.0178813750000000;-37.5719;-1.43051
-0.0178688750000000;-37.5719;-1.42951
-0.0178563750000000;-37.5719;-1.42851
-0.0178438750000000;-37.5719;-1.42751
-0.0178313750000000;-37.5719;-1.42651
-0.0178188750000000;-37.5719;-1.42551
-0.0178063750000000;-37.5719;-1.42451
-0.0177938750000000;-37.5719;-1.42351
-0.0177813750000000;-37.5719;-1.42251
-0.0177688750000000;-37.5719;-1.42151
-0.0177563750000000;-37.5719;-1.42051
-0.0177438750000000;-37.5719;-1.41951
-0.0177313750000000;-37.5719;-1.41851
-0.0177188750000000;-37.5719;-1.41751
-0.0177063750000000;-37.5719;-1.41651
-0.0176938750000000;-37.5719;-1.41551
-0.0176813750000000;-37.5719;-1.41451
-0.0176688750000000;-37.5719;-1.41351
-0.0176563750000000;-37.5719;-1.41251
-0.0176438750000000;-37.5719;-1.41151
-0.0176313750000000;-37.5719;-1.41051
-0.0176188750000000;-37.5719;-1.40951
-0.0176063750000000;-37.5719;-1.40851
-0.0175938750000000;-37.5719;-1.40751
-0.0175813750000000;-37.5719;-1.40651
-0.0175688750000000;-37.5719;-1.40551
-0.0175563750000000;-37.5719;-1.40451
-0.0175438750000000;-37.5719;-1.40351
-0.0175313750000000;-37.5719;-1.40251
